City,Datetime,Text,DistilBERT_Label,DistilBERT_Score,BERT_Label,BERT_Score
Adelaide,2019-03-15 02:08:54+00:00,"#BREAKING New Zealand police are responding to reports of multiple people being shot in Central Christchurch. 

Schools have been put in lockdown around the area.",NEGATIVE,0.963929355,Mostly Negative,1
Adelaide,2019-03-27 08:40:31+00:00,@knowleslornak So nice to hear a female reporter with such a beautiful voice. So rare in this world of the hideous vocal fry pandemic,POSITIVE,0.998383045,Mostly Positive,5
Adelaide,2019-03-29 01:31:57+00:00,"#DEVELOPING

The @SydneyAirport control tower has been evacuated following a fire.

@AirservicesNews has advised arrivals are being processed at a slow rate. Departures are not currently operating.

The Airport is NOT in lockdown! https://t.co/uCLbAvxoiF",NEGATIVE,0.998493314,Mostly Negative,1
Adelaide,2019-04-07 23:14:19+00:00,"Went on studio lockdown over the weekend, got 3 new tracks down 🤘🏻",NEGATIVE,0.997652113,Mostly Negative,1
Adelaide,2019-04-30 23:06:02+00:00,@coynejp Ugh it’s like a pandemic.,NEGATIVE,0.997695148,Mostly Negative,1
Adelaide,2019-06-16 05:39:15+00:00,Been an amazing weekend thus far...great gig Friday night/Paranormal lockdown in the Old Adelaide Jail with my gal pal Bernie Saturday night got some great pics and communication and tonight my birthday dinner with my gorgeous family...life is good...T xoxo,POSITIVE,0.999786794,Mostly Positive,5
Adelaide,2019-06-30 23:58:12+00:00,Next up is Prof. Anthony Cunningham from the @WestmeadInst talking us through the #HIV pandemic &amp; the road to developing a vaccine https://t.co/0RmfUPnIp2,POSITIVE,0.85400337,Slightly Positive,4
Adelaide,2019-09-01 00:12:15+00:00,"Another atrocity. Another town in lockdown and riddled with fear. More deaths, more injuries. My heart breaks for Odessa. #Odessatx #odessastrong  #GunControlNow https://t.co/i3MSPGIVGi",POSITIVE,0.822077572,Mostly Negative,1
Adelaide,2019-09-17 02:16:57+00:00,"&amp; once more, Hay Fever season is upon us. Here’s to 4 months of itchy eyes, runny nose &amp; non-stop sneezing!
All good, have my prescription nasal spray ready to go.
In fact, I’m pretty sure I bought every single medicine money can buy for this hay fever pandemic.
Good luck folks!",POSITIVE,0.973240972,Mostly Negative,1
Adelaide,2019-10-28 01:18:12+00:00,A Mansfield Park street is in lockdown following an assault this morning. Police say a search was launched in the area following reports a man had been stabbed. @9NewsAdel https://t.co/BWkytCFi1M,NEGATIVE,0.997685671,Mostly Negative,1
Adelaide,2019-11-04 00:35:40+00:00,@please_b_nice I think you just subtweeted social media #pandemic,NEGATIVE,0.981896281,Mostly Negative,1
Adelaide,2020-01-21 08:52:42+00:00,"So just when we recovered from bushfire alerts and warnings, we have #coronavirus to start worrying about since we have ample influx of people coming in from China. Great.",POSITIVE,0.995789587,Mostly Positive,5
Adelaide,2020-01-22 22:15:56+00:00,Con tan buena suerte y con eso del Coronavirus vuelven a cancelar la feria meca de mi pueblo bicicletero.,NEGATIVE,0.979597628,Mostly Positive,5
Adelaide,2020-01-23 10:03:49+00:00,"Jeremy Cordeaux....8223 0000. Tonight: selling live koalas to eat may be cause of coronavirus + cost of beer has risen for the last 35 years but, the money goes to the Govt, not the seller + win @AhbeardAu @HarveyNormanAU pillows! #fiveaa #jeremycordeaux",NEGATIVE,0.991176724,Mostly Negative,1
Adelaide,2020-01-23 15:18:04+00:00,@WSJ Apparently the 1918 Spanish influenza pandemic had a fatality rate of between 3 to 5%. Scary,NEGATIVE,0.99227339,Mostly Negative,1
Adelaide,2020-01-23 19:58:05+00:00,"Just a friendly heads up, the coronavirus that caused airports to shut down and cost millions of dollars was caused by animal agricultural. https://t.co/0s0BNNAHwG",NEGATIVE,0.995456457,Slightly Negative,2
Adelaide,2020-01-24 06:50:28+00:00,@MelodyY56071305 @Cat_Kapow @Cherry68450215 @ManuelWeberMX Yes they do. No Animal Welfare laws in China.#coronavirus,NEGATIVE,0.967767298,Mostly Negative,1
Adelaide,2020-01-24 11:36:09+00:00,There is a Resident Evil or 28 Days later smell about all this. - minus the living dead or crazys of course  #coronavirus,NEGATIVE,0.996983349,Mostly Negative,1
Adelaide,2020-01-25 10:58:35+00:00,“Coronavirus? Nah mate I’ve come down with the Coopersvirus” I chuckle to myself while I crack open a pale ale,POSITIVE,0.60866487,Mostly Negative,1
Adelaide,2020-01-25 23:54:50+00:00,Coronavirus: Melbourne Chinese national first Australian to be diagnosed with virus https://t.co/X4NV6awOCW,NEGATIVE,0.955102861,Mostly Negative,1
Adelaide,2020-01-26 04:47:43+00:00,"Herr Dutton keeping our borders safe 🙄 Brown Aussie babies slung to Christmas Island, Coronavirus open door policy. You couldn’t make this shit up. https://t.co/reIOmUU7RQ",NEGATIVE,0.998491645,Mostly Positive,5
Adelaide,2020-01-26 22:28:51+00:00,"@ScottMorrisonMP @PeterDutton_MP
Bill&amp;Melinda Gates Foundation had an event late last Year where they did a scenario called “Event 201” dealing with a virus that spreads through the world and kills millions, which requires “global coordination” to combat it. Named “Coronavirus” https://t.co/1oiqOgn5gr",NEGATIVE,0.992109358,Slightly Positive,4
Adelaide,2020-01-27 04:09:57+00:00,ISN breaking news: Just notified by the organizers of the Chinese 🇨🇳 Tour of Hainan that the race ( due to start feb 23) will be postponed due to the #coronavirus epidemic .Totally understandable. The world is a global village. For good and for bad. #CoronaOutbreak . https://t.co/LzMjsLDBEl,NEGATIVE,0.976857007,Mostly Negative,1
Adelaide,2020-01-27 07:18:50+00:00,"When a vaccine is available anti-vaxxers, the ball is in your court. #coronavirus #ChinaziVirus #china https://t.co/1R7nisS0oK",NEGATIVE,0.980412543,Mostly Negative,1
Adelaide,2020-01-27 09:25:18+00:00,"Y a des gens je les débloques sur insta ils reviennent dans la minute qui suit, vous êtes pire que le coronavirus",NEGATIVE,0.785455585,Mostly Negative,1
Adelaide,2020-01-28 04:44:40+00:00,"JUST IN: Lunar New Year Festival celebrations WILL still go ahead in Adelaide despite calls to cancel it amid coronavirus fears. 

#7NEWS https://t.co/VVhTzEisKS",POSITIVE,0.951198697,Mostly Negative,1
Adelaide,2020-01-28 08:04:01+00:00,"Public Notice

Novel Coronavirus Infection

Clinpath Pathology are unable to accept requests of pathology collection for this virus. All patients are to be referred to their local public hospital emergency department for this test.

On advice from @SAHealth CDC https://t.co/OYp9gm2dMg",NEGATIVE,0.997236729,Mostly Negative,1
Adelaide,2020-01-28 11:34:40+00:00,This has to be the best flyer I’ve seen in a long time! #coronavirus https://t.co/0JJmwUzmJc,POSITIVE,0.995074928,Mostly Positive,5
Adelaide,2020-01-28 21:15:14+00:00,#coronavirus  We got it!!!!!   Australia recreates corona virus! https://t.co/YXF9CzW29E,POSITIVE,0.959571123,Mostly Positive,5
Adelaide,2020-01-28 23:15:29+00:00,"Aussie medical scientists leading the way on more scientific breakthroughs

#coronavirus
#coronavirusaustralia

https://t.co/JbIFEKuce6",POSITIVE,0.946599305,Mostly Positive,5
