City,Datetime,Text,BERT_Score
Adelaide,2019-03-15 02:08:54+00:00,"#BREAKING New Zealand police are responding to reports of multiple people being shot in Central Christchurch. 

Schools have been put in lockdown around the area.",1
Adelaide,2019-03-27 08:40:31+00:00,@knowleslornak So nice to hear a female reporter with such a beautiful voice. So rare in this world of the hideous vocal fry pandemic,5
Adelaide,2019-03-29 01:31:57+00:00,"#DEVELOPING

The @SydneyAirport control tower has been evacuated following a fire.

@AirservicesNews has advised arrivals are being processed at a slow rate. Departures are not currently operating.

The Airport is NOT in lockdown! https://t.co/uCLbAvxoiF",1
Adelaide,2019-04-07 23:14:19+00:00,"Went on studio lockdown over the weekend, got 3 new tracks down 🤘🏻",1
Adelaide,2019-04-30 23:06:02+00:00,@coynejp Ugh it’s like a pandemic.,1
Adelaide,2019-06-16 05:39:15+00:00,Been an amazing weekend thus far...great gig Friday night/Paranormal lockdown in the Old Adelaide Jail with my gal pal Bernie Saturday night got some great pics and communication and tonight my birthday dinner with my gorgeous family...life is good...T xoxo,5
Adelaide,2019-06-30 23:58:12+00:00,Next up is Prof. Anthony Cunningham from the @WestmeadInst talking us through the #HIV pandemic &amp; the road to developing a vaccine https://t.co/0RmfUPnIp2,4
Adelaide,2019-09-01 00:12:15+00:00,"Another atrocity. Another town in lockdown and riddled with fear. More deaths, more injuries. My heart breaks for Odessa. #Odessatx #odessastrong  #GunControlNow https://t.co/i3MSPGIVGi",1
Adelaide,2019-09-17 02:16:57+00:00,"&amp; once more, Hay Fever season is upon us. Here’s to 4 months of itchy eyes, runny nose &amp; non-stop sneezing!
All good, have my prescription nasal spray ready to go.
In fact, I’m pretty sure I bought every single medicine money can buy for this hay fever pandemic.
Good luck folks!",1
Adelaide,2019-10-28 01:18:12+00:00,A Mansfield Park street is in lockdown following an assault this morning. Police say a search was launched in the area following reports a man had been stabbed. @9NewsAdel https://t.co/BWkytCFi1M,1
Adelaide,2019-11-04 00:35:40+00:00,@please_b_nice I think you just subtweeted social media #pandemic,1
Adelaide,2020-01-21 08:52:42+00:00,"So just when we recovered from bushfire alerts and warnings, we have #coronavirus to start worrying about since we have ample influx of people coming in from China. Great.",5
Adelaide,2020-01-22 22:15:56+00:00,Con tan buena suerte y con eso del Coronavirus vuelven a cancelar la feria meca de mi pueblo bicicletero.,5
Adelaide,2020-01-23 10:03:49+00:00,"Jeremy Cordeaux....8223 0000. Tonight: selling live koalas to eat may be cause of coronavirus + cost of beer has risen for the last 35 years but, the money goes to the Govt, not the seller + win @AhbeardAu @HarveyNormanAU pillows! #fiveaa #jeremycordeaux",1
Adelaide,2020-01-23 15:18:04+00:00,@WSJ Apparently the 1918 Spanish influenza pandemic had a fatality rate of between 3 to 5%. Scary,1
Adelaide,2020-01-23 19:58:05+00:00,"Just a friendly heads up, the coronavirus that caused airports to shut down and cost millions of dollars was caused by animal agricultural. https://t.co/0s0BNNAHwG",2
Adelaide,2020-01-24 06:50:28+00:00,@MelodyY56071305 @Cat_Kapow @Cherry68450215 @ManuelWeberMX Yes they do. No Animal Welfare laws in China.#coronavirus,1
Adelaide,2020-01-24 11:36:09+00:00,There is a Resident Evil or 28 Days later smell about all this. - minus the living dead or crazys of course  #coronavirus,1
Adelaide,2020-01-25 10:58:35+00:00,“Coronavirus? Nah mate I’ve come down with the Coopersvirus” I chuckle to myself while I crack open a pale ale,1
Adelaide,2020-01-25 23:54:50+00:00,Coronavirus: Melbourne Chinese national first Australian to be diagnosed with virus https://t.co/X4NV6awOCW,1
Adelaide,2020-01-26 04:47:43+00:00,"Herr Dutton keeping our borders safe 🙄 Brown Aussie babies slung to Christmas Island, Coronavirus open door policy. You couldn’t make this shit up. https://t.co/reIOmUU7RQ",5
Adelaide,2020-01-26 22:28:51+00:00,"@ScottMorrisonMP @PeterDutton_MP
Bill&amp;Melinda Gates Foundation had an event late last Year where they did a scenario called “Event 201” dealing with a virus that spreads through the world and kills millions, which requires “global coordination” to combat it. Named “Coronavirus” https://t.co/1oiqOgn5gr",4
Adelaide,2020-01-27 04:09:57+00:00,ISN breaking news: Just notified by the organizers of the Chinese 🇨🇳 Tour of Hainan that the race ( due to start feb 23) will be postponed due to the #coronavirus epidemic .Totally understandable. The world is a global village. For good and for bad. #CoronaOutbreak . https://t.co/LzMjsLDBEl,1
Adelaide,2020-01-27 07:18:50+00:00,"When a vaccine is available anti-vaxxers, the ball is in your court. #coronavirus #ChinaziVirus #china https://t.co/1R7nisS0oK",1
Adelaide,2020-01-27 09:25:18+00:00,"Y a des gens je les débloques sur insta ils reviennent dans la minute qui suit, vous êtes pire que le coronavirus",1
Adelaide,2020-01-28 04:44:40+00:00,"JUST IN: Lunar New Year Festival celebrations WILL still go ahead in Adelaide despite calls to cancel it amid coronavirus fears. 

#7NEWS https://t.co/VVhTzEisKS",1
Adelaide,2020-01-28 08:04:01+00:00,"Public Notice

Novel Coronavirus Infection

Clinpath Pathology are unable to accept requests of pathology collection for this virus. All patients are to be referred to their local public hospital emergency department for this test.

On advice from @SAHealth CDC https://t.co/OYp9gm2dMg",1
Adelaide,2020-01-28 11:34:40+00:00,This has to be the best flyer I’ve seen in a long time! #coronavirus https://t.co/0JJmwUzmJc,5
Adelaide,2020-01-28 21:15:14+00:00,#coronavirus  We got it!!!!!   Australia recreates corona virus! https://t.co/YXF9CzW29E,5
Adelaide,2020-01-28 23:15:29+00:00,"Aussie medical scientists leading the way on more scientific breakthroughs

#coronavirus
#coronavirusaustralia

https://t.co/JbIFEKuce6",5
Adelaide,2020-01-29 01:38:22+00:00,"I would rather stay in China than be locked up on Christmas Island! #coronavirus 

https://t.co/Fvyu5IftA0",1
Adelaide,2020-01-29 06:34:05+00:00,@ASPI_org Executive Director Peter Jennings considers #2019_nCov #WuhanVirus #coronavirus and #China in ‘The Strategist’ https://t.co/Uvy7SIckwn,4
Adelaide,2020-01-29 07:08:20+00:00,#2019_nCov #coronavirus #WuhanCoronovirus thread https://t.co/xrYzfDcBd6,1
Adelaide,2020-01-29 07:39:41+00:00,"@Nrg8000 Could it be they know the real situation but won’t acknowledge that publicly? After all, were they to do so, it would mean acknowledging their current screening measures and policy response to #2019_nCov #coronavirus is completely ineffectual. CYA!",1
Adelaide,2020-01-29 14:19:19+00:00,"Pretty scary how the #Wuhan #coronavirus has spread throughout many parts of the world! Let’s hope this can be contained &amp; not spread further to other countries. V important for hygiene to be practised @ a time like this-washing hands regularly, covering mouth when coughing etc. https://t.co/TeNbrxpCDt",4
Adelaide,2020-01-29 23:52:15+00:00,"Coronavirus experts explain the symptoms, how it spreads and how to prevent the disease https://t.co/OkcJGb31w4 via @abcnews",5
Adelaide,2020-01-31 08:07:35+00:00,"@Absurd_Penguin @sunriseon7 @AnnastaciaMP WOW!! 80,000 Death's in USA re Coronavirus😱😱😱Thought China had the most at 5,000 last Count!!",1
Adelaide,2020-02-01 00:16:13+00:00,Coronavirus adds to Scott Morrison's many political woes as Parliament prepares for 2020 https://t.co/wOvsAZU63q via @abcnews,4
Adelaide,2020-02-01 01:13:20+00:00,"Bart Simpson claiming 1.5?
claiming coronavirus too?",1
Adelaide,2020-02-01 07:24:02+00:00,".@SAHealth has confirmed TWO cases of coronavirus in South Australia. The pair aged in their 60s, arrived in Adelaide from Wuhan China to visit relatives. @9NewsAdel",1
Adelaide,2020-02-01 08:12:18+00:00,"Australians told not to travel to mainland China due to coronavirus threat, border restrictions tightened considerably https://t.co/iYUBDIayUY via @abcnews",1
Adelaide,2020-02-01 08:18:54+00:00,"SA Pathology staff are working around the clock to help diagnose 
possible patients with #coronavirus. They provide a critical service and need job security and fair working conditions.

Australia coronavirus update: Two cases confirmed in South Australia https://t.co/EU6VMsDj0Q",4
Adelaide,2020-02-01 09:16:12+00:00,"This kind of dangerous misinformation can lead to people dying. Anthony Mundine needs to leave the medical advice to the experts.

#coronavirus
#WuhanVirus
#CoronavirusOutbreak

https://t.co/liCuVgroTr",1
Adelaide,2020-02-01 17:21:43+00:00,"Cancelei minha passagem por causa do Coronavirus, duas horas depois sai a notícia que aqui ja tem dois confirmados. Sorte ta grande",1
Adelaide,2020-02-01 22:51:33+00:00,Give him some Mut &amp;  Gobar(Cow shit &amp; Urine) and send him china to help #coronavirus affected people. https://t.co/IoIHhBcLRK,1
Adelaide,2020-02-02 01:07:01+00:00,"The number of people tested for the deadly coronavirus in SA has climbed to 34. 

There have been 2 confirmed cases, 15 negative tests and 17 people awaiting results. 

The infected couple, from China, are being treated in isolation at the RAH. #7NEWS https://t.co/ysOSxptFjt",1
Adelaide,2020-02-02 09:06:47+00:00,This is very scary it's a pandemic now https://t.co/VsgOuEXRy7,1
Adelaide,2020-02-03 01:53:10+00:00,"Passengers on a flight from China have sat on the tarmac for more than an hour as authorities in protective wear escorted a man &amp; his family from the plane, with suspected Coronavirus. Passengers say he came down with a fever during the flight from Guangzhou. @9NewsAdel https://t.co/KxiVd5O6kW",1
Adelaide,2020-02-03 03:01:22+00:00,"This is the SA Pathology lab now set up to test for #coronavirus inside the RAH. 

It takes approx. 5 hours to get a result. 

#7NEWS https://t.co/jULeXmFbXk",5
Adelaide,2020-02-03 04:52:15+00:00,"SA #coronavirus update: 
- 56 people are being tested
- 15 returned negative tests
- 2 confirmed cases
@abcadelaide https://t.co/fxOFI6zJmt",1
Adelaide,2020-02-03 05:04:15+00:00,Authorities are urging anyone on the CZ669 South China Flight from Guangzhou to Adelaide showing symptoms of #coronavirus to contact them. A couple on that flight has been diagnosed with #coronavirus and one was already showing symptoms on the aircraft. @abcadelaide,1
Adelaide,2020-02-03 10:22:51+00:00,"Racism is spreading everywhere with coronavirus.  FYI, not all asians are chinese and still it doesn't give us the right to racial bullying. 
#StandingUptoRacism",1
Adelaide,2020-02-03 21:29:38+00:00,"China completes coronavirus hospital in Wuhan in 10 days, with a second hospital almost finished - ABC News https://t.co/QKgJT9xx2I That is AMAZING! BOOM 💥🔊🔬🚮🚾",5
Adelaide,2020-02-03 22:23:01+00:00,"SA Pathology staff are on the front line of #coronavirus detection. Next time someone wants to impugn their good work of even consider funding cuts let's remember times like this

Coronavirus fears in SA after 60-year-old couple diagnosed with deadly virus https://t.co/dWx1XWFGzZ",1
Adelaide,2020-02-04 01:58:49+00:00,"It’s been revealed Adelaide’s coronavirus victims attended an auction at 4 Pam St, Firle on January 22. 

Health authorities are scrambling to contact the two dozen people who were there, including neighbours who are now self-isolating. #7NEWS #CoronavirusOutbreak https://t.co/g7nCWSDgh1",1
Adelaide,2020-02-04 12:07:01+00:00,"My Uber driver seemed a very, very intelligent man. He thinks there will be millions of deaths from Coronavirus within a year... Good night",4
Adelaide,2020-02-05 01:41:53+00:00,"Coronavirus found on Diamond Princess cruise ship in Japan, with 10 passengers testing positive - ABC News https://t.co/m0eL1veku6",1
Adelaide,2020-02-05 04:54:05+00:00,".@SAHealth has advised that from tomorrow coronavirus testing will become part of routine respiratory infection tests. 

32 South Australians are currently awaiting test results for coronavirus. @9NewsAdel https://t.co/Mf7YbZupsb",1
Adelaide,2020-02-05 07:40:50+00:00,"Is the Coronavirus outbreak a massive beat up?

I have a feeling it is.  The media scaremongering as usual 🤷🏻‍♀️",2
Adelaide,2020-02-06 10:39:58+00:00,"So the @FIAFormulaE planned for March 21 in Sanya, a city in Hainan province, has been cancelled due to #coronavirus   So why not leave the Feb #Clipsal500 track set up and run the #FormulaE race in #Adelaide on Mar 21? Perfect. #ElectricVehicles @CityofAdelaide @marshall_steven",3
Adelaide,2020-02-07 04:48:32+00:00,Five Australians reportedly among the 41 *new* #coronavirus cases onboard the Diamond Princess cruise ship. 61 people in total have been infected on the ship. https://t.co/vBYS8J6sks,1
Adelaide,2020-02-07 15:30:06+00:00,@BaderChamakh Chacal ça fait 4j tu tweets dessus on dirait le coronavirus,1
Adelaide,2020-02-08 04:40:17+00:00,"#Coronavirus news paralleled #onthisday 8 Feb 1919 when Vic and SouthAustralia were declared infected by the Spanish Flu pandemic. It killed more people than World War I. The #Adelaide Exhibition Building on North Tce became an isolation hospital. #myadelaide 
📸 @SLSA https://t.co/R4NcGr6vlR",1
Adelaide,2020-02-08 04:40:17+00:00,"#Coronavirus news paralleled #onthisday 8 Feb 1919 when Vic and SouthAustralia were declared infected by the Spanish Flu pandemic. It killed more people than World War I. The #Adelaide Exhibition Building on North Tce became an isolation hospital. #myadelaide 
📸 @SLSA https://t.co/R4NcGr6vlR",1
Adelaide,2020-02-08 07:27:45+00:00,"#OTD 8 Feb 1919  the Spanish Flu pandemic officially arrived in Victoria &amp; South Australia (NSW earlier). A third of the population was infected, with nearly 15000 deaths. About 540 died in SA. Isolation hospital in #Adelaide was the Exhibition Building. #aushistory 
📸 @SLSA https://t.co/ZHuOznBisS",1
Adelaide,2020-02-09 01:33:45+00:00,"The situation on Christmas Island is precarious. The AMA and other respected organisations agree the medical facilities are subpar, no negative pressure isolation, ICU, paediatric specialist or #pathology on site
#auspol
#coronavirusaustralia
#coronavirus
https://t.co/uqVN6qlgXH",2
Adelaide,2020-02-09 03:03:27+00:00,Wuhan at night 😳 time the @AFL woke up #AFL #coronavirus #CoronavirusOutbreak #WuhanLockDown https://t.co/VDL8OUeRW8,1
Adelaide,2020-02-09 06:13:00+00:00,"@TheTweetOfGod Droughts, fires, torrential rain, floods, a pandemic

Must be really pissed off with Australia",1
Adelaide,2020-02-09 06:55:33+00:00,"Coronavirus deaths surpass SARS outbreak, hitting 811 across China https://t.co/hOt7wXa0GL via @abcnews",1
Adelaide,2020-02-10 06:29:52+00:00,"This month back in 1919, the Spanish flu pandemic arrived in #Adelaide. Talking to @Julesschiller on @abcadelaide after 5.45 pm about the quarantine camp mounted on the Jubilee Oval - now part of the @UniofAdelaide campus. 
#heritagesa #historysa https://t.co/VcQwQVS0PY",5
Adelaide,2020-02-11 02:35:23+00:00,"SA Pathology staff join other public pathology laboratories around Australia in testing for the 2019 novel #coronavirus and helping the public remain safe. Government labs are on the front line of the battle against infectious outbreaks.

#coronavirusaustralia 
#health
#pathology https://t.co/r44C4rL5Lv",4
Adelaide,2020-02-11 03:59:22+00:00,@SukaliDarsa J’arrive avec le coronavirus !,5
Adelaide,2020-02-11 05:56:28+00:00,".@SAHealth say a person that returned a ‘weak positive’ result for coronavirus at the RAH has been cleared after subsequent testing came back negative. 35 South Australians are still awaiting results, 2 remain positive for the virus. @9NewsAdel https://t.co/diSJ2ky4CC",1
Adelaide,2020-02-11 19:56:27+00:00,Coronavirus: WHO says outbreak poses a 'very grave threat for the rest of the world'  https://t.co/ebksyxjMGE,1
Adelaide,2020-02-12 02:15:45+00:00,"Coronavirus now has an official name: COVID-19

I feel like we got this backwards",5
Adelaide,2020-02-12 22:24:15+00:00,"@ProfPaulYoung This would also prevent any emerging coronavirus being called nCoV20xx for a period of time during the outbreak, only to change names in the middle of huge media coverage",1
Adelaide,2020-02-13 07:38:46+00:00,@StephenWadeMLC Where is the SA Health update on the couple with Coronavirus and where they travelled. The people deserve to know. Time to resign Mr Wade. You're out of your depth.,1
Adelaide,2020-02-13 09:05:45+00:00,@spideyalphs @di_deelicious That doesn't mean that there are any coronavirus cases in Bali,1
Adelaide,2020-02-14 07:25:09+00:00,If you’ve been following the Coronavirus outbreak and are interested to learn how chemistry can aid in the battle against it then this free seminar is for you! Monday 17th at 5pm @UniofAdelaide hosted by the SA JCEC - register here https://t.co/gxJPcWlsse https://t.co/OLOYKQhmxh,5
Adelaide,2020-02-15 08:08:37+00:00,"Wuhan's cat rescuer: the man saving pets abandoned during coronavirus outbreak – video

https://t.co/FUmy78Hg5k",4
Adelaide,2020-02-16 08:54:44+00:00,@knarfnamduh True but have to know that you have a pandemic on your hands,3
Adelaide,2020-02-16 11:44:52+00:00,"Despite doctor's orders that we're safe to eat out, Asian restaurants are going under because of Coronavirus fears. Each of us can make a difference, by pledging #IWillEatWithYou https://t.co/qNZsOWerSG via @GetUp",4
Adelaide,2020-02-16 22:39:59+00:00,"Despite doctor's orders that we're safe to eat out, Asian restaurants are going under because of Coronavirus fears. Each of us can make a difference, by pledging #IWillEatWithYou https://t.co/YhJn0UaDrH via @GetUp",4
Adelaide,2020-02-16 23:11:11+00:00,"@SingaporeAir Hello, I have a flight from Adelaide to Singapore, SQ 278 and SQ 421, which is a return flight back from Mumbai to Adelaide. Are there any travel restrictions for students due to the coronavirus outbreak? Would love to hear back from you. Cheers.",1
Adelaide,2020-02-17 09:58:18+00:00,"REUNITED: After spending 2 weeks in quarantine on Christmas Island, Amy Xia and her 2 kids are finally home, much to the delight of her husband Stanley. 

About 10 South Australians were on the charter flight that touched down in Adelaide tonight. #coronavirus #7NEWS https://t.co/fFR5cAzZdM",4
Adelaide,2020-02-17 21:29:58+00:00,Here at @Xero Roadshow 2020 breakfast with @felicity_emmett's market report. Coronavirus and bushfires impacting Australian markets. #xeroroadshow2020 #globaleconomy https://t.co/OnEQvEnolB,5
Adelaide,2020-02-18 04:07:31+00:00,.@sephoraaus has cancelled all upcoming makeup appointments due to fears of the coronavirus. Staff say they don’t know when they’ll start up again. @10NewsFirstAdl https://t.co/CLF426gqe7,1
