City,Datetime,Tweet Id,Text,Username
Bendigo,2020-03-09 18:42:16+00:00,1237086316816265216,"@DrTinaLam_AU Hello friends! You give me hope that I might be able to travel for business/conference, even though currently my university has stopped all ‘non essential’ travel #COVID19 - hope the conference is going well!",monicabarratt
Bendigo,2020-03-01 09:32:02+00:00,1234048744619937792,"#澳洲 #art #bendigo #shots #streetphotography #streetstyle #fly #flying #bats #covid19 
#australia #photo #photographer  #nature #victoria #tbt #photography #animals 
#moodygrams #film #tree 
#illgrammers… https://t.co/kmQdUtEDle",Fu_Yuan
Bendigo,2020-03-08 08:32:16+00:00,1236570416136589312,"So my sister is planning to go to Seattle during the WA school holidays returning on Anzac Day to travel to Busselton for my Dad’s 80th
What do I do Twitter? Do I tell her not to go? Or if she goes not to come back?
#seattlecovid19 #family #coronavirus",Nigelmk1
Bendigo,2020-03-07 02:54:26+00:00,1236123010593103874,Man selling toilet paper for $100 EACH amid coronavirus fears exposed https://t.co/M3o661ryqj @MailOnline,IreneSochacki
Bendigo,2020-03-07 01:30:09+00:00,1236101801910272000,Man selling toilet paper for $100 EACH amid coronavirus fears exposed https://t.co/M3o661J9hR @MailOnline,IreneSochacki
Bendigo,2020-03-05 07:00:12+00:00,1235460082424406018,"Going to buy shares in toothpaste, and spread a massive rumour that it protects from #coronavirus 
The world is that stupid I will make a fortune.",jamesrouel
Bendigo,2020-02-27 11:34:53+00:00,1232992494641532928,"So now what will happen to all the climate protests now that the Coronavirus emergency measures  are active?
Protests banned?
Protesters rounded up for fear of virus?
Hmmm!",Nigelmk1
Bendigo,2020-02-23 03:02:28+00:00,1231413991810879488,"Woken up with a good batch of Coronavirus (man flu) and I’m on holidays..
There isn’t a god.",jamesrouel
Bendigo,2020-02-07 22:20:29+00:00,1225907210716250112,"@borneoaction I love that there is some potential research that might save then.,, in the form of the coronavirus .,.",jsandi27
Bendigo,2020-01-27 20:44:20+00:00,1221896745677774848,"#coronavirus @ScottMorrisonMP is sitting on his hands secretly pleased. After all, isn't Pestilence one of the harbingers of the last judgement? A #happyclappers dream (of sorts).",SleepingPooch
Bendigo,2019-10-04 04:49:06+00:00,1179981747280236544,"#Malmsbury Youth Justice Centre’s been in lockdown all day, after staff ceased work due to health and safety concerns. 

Staff have had meetings with management, OHS and the union @CPSU_Vic 

The union says worksafe’s also onsite. @WINNews_Ben https://t.co/SbdUC4aBYd",s_schubert2
