City,Datetime,Tweet Id,Text,Username
Central Coast,2020-03-10 19:56:08+00:00,1237467291849068544,"Ther teleconferencing medical appointments recently approved for #Medicare #bulkbilling should extend to phone calls, not just video conferencing. This is another LNP #SNAFU Many potential sufferers just don’t have access! #auspol #covid19",JeffSundstrom
Central Coast,2020-03-10 10:57:35+00:00,1237331762314743809,"Trust in @ScottMorrisonMP is now Absolutely lost. Anyone dealing with him or his office should seriously think if they want to be associated with him.
#auspol
#COVID19 
@foxnewsalert https://t.co/Nia0m6y1Xg",GovIn21st
Central Coast,2020-03-09 21:04:15+00:00,1237122046372397056,Participants contacted and patiently taught the process. On-line courts- longtime effects and change way after Covid19 has run its course #legaltech #legaled https://t.co/BiW60PePau,CampbellSher
Central Coast,2020-03-09 15:01:26+00:00,1237030741906583552,"@realDonaldTrump He and his greedy incompetent criminals have no idea what they are doing. Keystone crooks. The World needs Leaders they can Trust.
#oil
#COVID19 
#recession
#ClimateCrisis 
@GretaThunberg",GovIn21st
Central Coast,2020-03-09 14:46:34+00:00,1237026998809030657,"In a tme crisis the World needs cooperation, not competition #oil
#COVID19 https://t.co/0L5feUXh3v",GovIn21st
Central Coast,2020-03-08 07:45:00+00:00,1236558520486526976,"BREAKING NEWS ...
John Travolta was hospitalized for suspected COVID-19, but doctors now confirm that it was a rare Phenomenon of Saturday Night Fever. Rest assured that he is Staying Alive &amp; for everyone to Stay Cool. #JohnTravolta #COVID19 #SaturdayNightFever #stayingalive https://t.co/JbqSPjIG9l",SuzandDay
Central Coast,2020-03-07 22:26:47+00:00,1236418041828855808,Good to see all the stock piling pricks are choosing the healthy options for the kids! FFS you’ve crossed the line when you start messing with my tommy!! #insane #getsomesense #covid19 @ Dee Why https://t.co/opB45IE94i,Big_No7
Central Coast,2020-03-07 10:51:12+00:00,1236242992014323713,Fantastic move for #publichealth! @TwitterGov working hard with the global health community to combat the spread of misinformation during #COVID19 by directing people to evidence-based sources (@WHO &amp; country-specific Dept/Min of Health) when they need it most. Thanks @Twitter!👏🏼 https://t.co/bxr77rpPUN https://t.co/dsQ413TD8l,s_wheeler_
Central Coast,2020-03-06 16:40:58+00:00,1235968628266168325,"@AustinAbravos @CalebJHull @STUinSD Trump is just a virus. The World hates him. Wake up America. #COVID19
#AmericaFirst",GovIn21st
Central Coast,2020-03-06 16:34:59+00:00,1235967120740978688,"@Amy_Siskind Sounds like @realDonaldTrump is really messing up the management of the #COVID19 crisis.
@GOP 
@JoeBiden",GovIn21st
Central Coast,2020-03-04 20:09:48+00:00,1235296405180354561,"@BarackObama @CDCgov HOORAY-Finally, someone speaking sense. I hope you are heard #obama because the world seems to have slipped a little into #covid19 insanity",Blanch68L
Central Coast,2020-03-01 09:53:09+00:00,1234054056802312194,"Went shopping today. My local woollies was packed with ppl buying up. Mrs Ball said get extra toilet paper just in case...of what I gather is an apocalyptic covid19 pandemic. 

Is anyone else slowing picking up “extras” just in case and if so what? 

#auspol 
#COVID2019",mrbishe
Central Coast,2020-03-01 06:14:56+00:00,1233999142063460354,"@woolworths - Glenorie- please explain why the essential ranges of pasta, tin tomato’s and the alike have all jumped by between 25 &amp; 35% in the last fortnight?

Gouging on covid19? 

#auspol",mrbishe
