City,Datetime,Tweet Id,Text,Username
Melbourne,2020-03-10 23:33:05+00:00,1237521890811375616,Coronavirus is a big torment for those  who are misguided living against the laws of nature.Almighty Godlord has fixed His boundaries and asked not to cross them. Godlord save all of us from all of the torments. Ameen.,Amirahm31867029
Melbourne,2020-03-10 23:31:01+00:00,1237521370709278720,BREAKING: Travel ban now extended to Italy. Takes effect from 6pm. @abcnews #coronavirus,mjrowland68
Melbourne,2020-03-10 23:19:57+00:00,1237518587268456450,"It was a superb day in #Melbourne yesterday at a time that usually excites  footy fans, but the coronavirus crisis cast a shadow over the @AFL season launch amid the prospect matches could be played without fans in attendance. https://t.co/YSgKsNR9be",walshcee
Melbourne,2020-03-10 23:13:46+00:00,1237517029092941824,@joegarra61 @dee_ryall @alexwhitelive I have lost confidence in the doctors who reckon it was ok for Higgins to return from a Coronavirus hotspot with flu like symptoms and wait 2 days to do a test,JohnnyLydon
Melbourne,2020-03-10 22:54:00+00:00,1237512056242237440,"No of coronavirus tests conducted yesterday: 
265 @AlfredHealth 
224 @TheRMH 
114 - @Austin_Health 
41 - Sunshine Hospital @western_health 
49 - @easternhealthau 
49 - Monash Clayton @MonashHealth 
160 - Box Hill Hospital 

14,500 calls to hotline

#springst @10NewsFirstMelb",SimoLove
Melbourne,2020-03-10 22:47:16+00:00,1237510359742726144,What do we think the odds are that &lt;multiple&gt; team members here for the #MelbourneGP  @ausgrandprix from the European #F1 support crews  are #COVID19 positive....and that by #BahrainGP will be in isolation.... #coronavirus,Sheeds_au
Melbourne,2020-03-10 22:31:40+00:00,1237506436768231424,"“It’s likely that nothing will happen. June will roll up, COVID-19 will die down, and I’ll look (more) like a fool...But that’s the best thing that could happen”. RIP Dark Mofo. May you rise again #coronavirus #darkmofo https://t.co/UbFnWLQh0h",AndieHamblin
Melbourne,2020-03-10 22:26:33+00:00,1237505149318221824,@sunriseon7 #coronavirus A big lesson from this is we should not be relying on so much crap being made in China! Bring back more local production and pay a few extra cents for better quality products 🤬,pbphoto1
Melbourne,2020-03-10 22:25:45+00:00,1237504946368442368,"@urbancreature My partner is also has a cold but unlikely to be Coronavirus. She called up the GP to let them know she was exhibiting symptoms and they have a separate isolation waiting room set up, and doctor will take extra precautions. Call up your GP and see if they’re doing similar?",mattdarveniza
Melbourne,2020-03-10 22:23:22+00:00,1237504347937705984,@sunriseon7 #coronavirus A big lesson from this is we should not be relying on so much crap being made in China! Bring back more local production and pay a few extra cents for better quality products 🤬,pbphoto1
Melbourne,2020-03-10 22:22:51+00:00,1237504216207216640,#coronavirus A big lesson from this is we should not be relying on so much crap being made in China! Bring back more local production and pay a few extra cents for better quality products 🤬,pbphoto1
Melbourne,2020-03-10 22:22:31+00:00,1237504131788492800,"Great article on racism, race relations and paranoia. The real disease is racism. 
Opinion | Coronavirus reveals how quickly ""model minority"" Asians become the ""yellow peril"" https://t.co/EWlHGo2eSf via @NBCNewsTHINK",valentinathinks
Melbourne,2020-03-10 22:21:51+00:00,1237503963391356928,This decade sucks already... can we have a mulligan? #2020sucks #coronavirus,adamseeary
Melbourne,2020-03-10 21:17:08+00:00,1237487679048048640,Business NSW sends legal advice to employers that paid personal/carers leave is “not available” for workers forced into isolation after being in China or in contact with a person with #coronavirus if the workers are “not yet sick themselves”. @australian https://t.co/Y97FwoNPpK https://t.co/vTv0GqvsIj,EwinHannan
Melbourne,2020-03-10 21:13:03+00:00,1237486651690987520,"@leahmcelrath @MrNixonsWife Good idea. Best not to kill off ones voters.
#COVID2019 
#coronavirus 
#DemocraticPrimary",saysgrumpysuzie
Melbourne,2020-03-10 21:07:47+00:00,1237485325485629440,"Is it safe to fly?
“It is very safe to fly,” Thomas claims. “The air on an airplane is replaced every two minutes - nobody has caught coronavirus on an airplane.”",GetLostMag
Melbourne,2020-03-10 20:59:39+00:00,1237483276270366720,Coronavirus couldn’t have came at a better time for me.. can’t believe Delta actually paid ME to fly back home,EmilyyPonder
Melbourne,2020-03-10 20:57:33+00:00,1237482751067996160,Waiting for the pyramid scheme girls of instagram to say that arbonne can cure coronavirus too,EmilyyPonder
Melbourne,2020-03-10 20:54:26+00:00,1237481966351482880,@PercyKaren Oh thank you. I just read a terribly scary thread about coronavirus in Italy and I needed to see that,kathylord2
Melbourne,2020-03-10 20:53:31+00:00,1237481735052570626,"Lo interesante es que Australia, uno de los países donde antes llegó el coronavirus desde China, tiene solo 100 casos. La prohibición de viajes, pese al impacto económico, parece que ha funcionado. Cierto es que hacer lo mismo en la UE no es viable.",TannexanderAled
Melbourne,2020-03-10 20:42:34+00:00,1237478978018926592,Facts and data about the Coronavirus putting things in perspective https://t.co/XkrTlQyHj0,_drei
Melbourne,2020-03-10 20:37:06+00:00,1237477605273526272,"We are going to #NewZealand!!!
 📝✅😆

I hate to say thank you to the #Coronavirus, but as a result we found some fabulous flight and campervan deals we just couldn’t ignore!! 

#traveltribe, I’m looking for all your favorite places to visit on NZ’s South Island!!",wanderwthlisa
Melbourne,2020-03-10 20:20:18+00:00,1237473376777601024,Will #coronavirus travel restrictions sink Korean Air? https://t.co/8eU5JUGfzi,AsiaSocietyAus
Melbourne,2020-03-10 20:19:16+00:00,1237473113748541440,100 #coronavirus patients out of 25 million population and nobody will bother to tell the world about the number of patients already recovered. #coronavirusfear #covid19australia #fearmongering #coronavirusaustralia #CoronaPanic #ToiletPaperApocalypse https://t.co/OAAFMzkio2,amitchaudhry1
Melbourne,2020-03-10 20:06:06+00:00,1237469800848175104,@BenFordham So there is now a risk of getting Coroanvirus when you swarm in a pack to get toilet paper for when we are in lock down because of coronavirus spreading 😳,RusCoight
Melbourne,2020-03-10 19:24:03+00:00,1237459218015248384,#Coronavirus response ‘a shambles’: #Australian #doctors and #patients complain of confusing processes https://t.co/gvZJzVzrkA #health #medicine #infectiousdiseases #covid19 via @guardiannews,Karamarkos
Melbourne,2020-03-10 17:53:09+00:00,1237436341933109248,"Yes, the coronavirus is worse than the flu  https://t.co/kDrm23GSid",GarryJGray
Melbourne,2020-03-10 17:20:02+00:00,1237428010485080064,"Straw hats in winter !! When US stocks were rising he took the credit but Coronavirus plus decline in oil prices impacting on stocks , so he doesn’t want to know! Good ole socialism https://t.co/2ixKR5hZLz https://t.co/3GsaQZdH07",willicash
Melbourne,2020-03-10 14:11:02+00:00,1237380445928484864,"@nadinevoncohen This is why I’m barracking for  #Coronavirus. I haven’t seen one redeeming feature in an Australian politician since Keating. On May 18, 2019 we proved that we are a selfish racist country being dumbed down further by the scumbags in charge.",MelbFabulist
Melbourne,2020-03-10 13:11:08+00:00,1237365373474766848,So now Scomo wants to hand over $30m to his advertising mates to advise on coronavirus. Keep the money. Use ABC/SBS. Use time on talk back radio &amp; use the money better. That's insane! https://t.co/rE9k1mUzxT,ayelbee1
Melbourne,2020-03-10 13:05:10+00:00,1237363872144617472,"If the @AFL decides to play games in front of empty stadiums, does this give the Gold Coast Suns an unfair advantage?!?! #AFL #coronavirus #onlyjokin’",sportpaul
Melbourne,2020-03-10 12:39:59+00:00,1237357531158044672,"The AFL is considering significant measures to protect players and club staff from #coronavirus 

https://t.co/TUGKuuyjAF",ClarkyHeraldSun
Melbourne,2020-03-10 12:28:43+00:00,1237354698933301248,Coronavirus is totally unforeseeable event. Super human( resistant to bugs) ideology needs to be resurrected.,Hho39682157
Melbourne,2020-03-10 11:47:30+00:00,1237344326226563073,China and Korea were able to finally slow the spread of Coronavirus with a community that generally does what the authorities tell them to do. Will Western communities follow the same levels of self-isolation or will we not listen and disobey. #coronavirus,Hauser_Mike
Melbourne,2020-03-10 11:47:04+00:00,1237344215144660992,Poor take. COVID-19 literally entered the global arena out of China’s 5 week cover-up. Collectivism allowed the CCP to maintain its facade of efficiency and good governance when facts on the ground differed greatly. #coronavirus https://t.co/wEgjUnJDOF,tomakhurst
Melbourne,2020-03-10 11:44:41+00:00,1237343616860688385,アデレードのあるサウスオーストラリアに最初の新型コロナのドライブスルーの検査センターがオープンしました。First 'drive-thru' coronavirus testing station opens in South Australia https://t.co/bqdmyZ2Pl7,DNA_PAPA
Melbourne,2020-03-10 11:40:17+00:00,1237342509824499712,JAJAJAJAJAJAJAJAJJA EL CORONAVIRUS ES ANTIESPAÑOL!!,TannexanderAled
Melbourne,2020-03-10 11:36:12+00:00,1237341479325937664,"How the league and clubs will attempt to protect the game’s stars from #coronavirus 

https://t.co/TUGKuuyjAF",ClarkyHeraldSun
Melbourne,2020-03-10 11:20:35+00:00,1237337550076776448,"You fucking what, mate? 

Coronavirus, @BorisJohnson’s  advocating that a possible measure is to “take you on the chin” &amp; allow you “to move through” the population.

The UK’s prime minister has literally challenged you personally, #coronavirus. Your move

https://t.co/ymSY8ouf2M",LeGateauChoc
Melbourne,2020-03-10 11:00:18+00:00,1237332448897167362,"In the Coronavirus era, what should we do instead of shaking hands?  https://t.co/YxVywLZWM8",GarryJGray
Melbourne,2020-03-10 10:56:29+00:00,1237331487684362241,"The other issue here is WHY do none of us not have enough health supplies to treat everyone? Decades of underfunding catching up with us - and let’s be real, those affected aren’t the ones who gutted health budgets 🙃 anyone have a spare ventilator hanging around? #coronavirus https://t.co/9adjy9e0UU",georgieclairep
Melbourne,2020-03-10 10:33:25+00:00,1237325680880185345,"#Trump promising relief from #coronavirus - on WHAT basis. A cure is 18 months away. 

Buy some toilet paper Trump and stay home.",pittworldwide
Melbourne,2020-03-10 10:18:43+00:00,1237321982993027075,"@consumervic do we have any mechanism in place for insane ppl, bulk buying essential commodities and selling on exorbitant prices ?  @Facebook market place is best example
#coronavirusaustralia #coronavirus #toiletpaper #ToiletPaperPanic #auspol @DanielAndrewsMP",amitchaudhry1
Melbourne,2020-03-10 10:00:55+00:00,1237317501622484992,I’m watching #Bluey with my son and just realised they’re in the only supermarket in Australia with toilet paper on its shelves #ToiletPaperPanic #toiletpapercrisis #ToiletPaperApocalypse #coronavirus #COVIDー19 @abcbrisbane https://t.co/bCn2ToTW9M,NickBernabei
Melbourne,2020-03-10 09:53:40+00:00,1237315678937350144,"#coronavirus go back, go back...go back 😄
Video from #Assam being circulated on @TwitterIndia 

#CoronavirusOutbreak #coronavirusinindia #coronavirusitalIa https://t.co/PreFJi1LOd",amitchaudhry1
Melbourne,2020-03-10 09:48:52+00:00,1237314468926967809,'All schools will close': Victorians warned to brace for 'extreme' coronavirus response https://t.co/TVYNwq84ej via @theage,inquisitiveGyn
Melbourne,2020-03-10 09:46:40+00:00,1237313916595662853,Chinese Government closes last of 14 temporary hospitals in Wuhan as #Coronavirus rates collapse. https://t.co/6AWpSQMxoo,tomwoodau
Melbourne,2020-03-10 09:42:43+00:00,1237312920234520576,"So, you say we have it under control @ScottMorrisonMP What is your response to this? 👇@abcnews @SBSNews @SkyNewsAust @Channel7 @channel9 @Channel10AU @GuardianAus @RadioNational #auspoI #coronavirusaustralia #PublicHealth #coronavirus https://t.co/mBVjSag8wV",JenBFootscray
Melbourne,2020-03-10 09:39:09+00:00,1237312023425191946,"Ice-T- Shut Up, Be Happy https://t.co/4fFoU7ByNa via @YouTube 
Was @FINALLEVEL a visionary? #coronavirus",simo4cindy
Melbourne,2020-03-10 09:35:38+00:00,1237311139026886656,"Day 1 of self isolation. Feeling fine, no symptoms, got work done. Main issue, beer stocks are very low! #coronavirus #SelfIsolation",Hauser_Mike
Melbourne,2020-03-10 09:11:35+00:00,1237305086549741569,I can’t wait to watch the AFL Grand final with no fans. Just 100k media people and non competing MCC members. #coronavirus #afl #AFL360,AFLNow
Melbourne,2020-03-10 09:06:50+00:00,1237303893874229249,"If we're aware of the worst coming out way, why are we not acting according.
Saying too late for it wouldn't help or reduce panic! 
Take a pinch of hint from countries like Singapore and India where every person who travels have to self isolate
#coronavirus 
#CoronavirusOutbreak https://t.co/UksRH3dsPO",Debs_mrsasia
Melbourne,2020-03-10 08:56:46+00:00,1237301357817638912,"@LaTrioli enjoying you on mornings on @abcmelbourne I would like to see some more balanced/contextual reporting around #coronavirus 2019 was described as deadly flu season by May ‘19 we had 59,000 positive recordings across four states and 100 deaths and far less hyperbole",browndog1939
