City,Datetime,Tweet Id,Text,Username
Newcastle,2020-03-05 09:47:41+00:00,1235502233254612992,"#coronavírus #australia #toiletpaper #emergency #pandemic #idiotic #woolworths @ Aberglasslyn, New South Wales, Australia https://t.co/WmoPauphxl",DoctorStu
Newcastle,2020-03-05 09:24:53+00:00,1235496494737682437,"Toilet paper, people are arguing over fcken toilet paper🤪
Scary to think what would happen if this coronavirus actually does turn into a pandemic. To think what previous generations had to endure to overcome two World Wars. https://t.co/HEhJKqgqjF",hecivan70
Newcastle,2020-03-03 09:31:34+00:00,1234773401085997057,"Serious question... why?

I genuinely don't understand why people are panic buying TP to prepare for a respiratory pandemic. 

Went to Woolies today to grab the groceries. Every other product amply well stocked as always... not a sheet of bog roll in the place. 

Mystifying. https://t.co/hLB6hOydAD",KitaandMat
Newcastle,2020-02-29 22:26:31+00:00,1233881260423970816,A fascinating and unexpected benefit of a pandemic .Space images show drastic drop in China pollution as coronavirus shuts factories https://t.co/UaqQnNZE00,Lethaleigh
Newcastle,2020-02-27 11:42:13+00:00,1232994339439009792,"Australia's Nightmare 
Relying on Crime Minister Morrison and his gang of industrial strength Thieves to manage the Coronavirus PANDEMIC https://t.co/W2pWJ47MqG",RoyanWg
Newcastle,2020-02-27 08:20:06+00:00,1232943476389531648,"@JosieMcskimming @ScottMorrisonMP Can anyone believe that this Prime Minister and Government are capable of managing the oncoming Pandemic of Coronavirus.Their Journal,The Daily Telecrap has offered up those from Aged Care Facilities as the first sacrificial Lambs, how handy, to be able to reduce the Pensioners",RoyanWg
Newcastle,2020-02-26 01:45:42+00:00,1232481835944267776,"@DonaldJTrumpJr @realDonaldTrump If only the White House had a pandemic response team.
They used to before your father fired them all in 2018 &amp; didn’t replace them. Sure the wall will help stop people flying in with the virus though. Great plan.",paullyfromaus
Newcastle,2020-02-23 00:58:38+00:00,1231382825464553478,"""Fears of a global coronavirus pandemic as cases of reported infections surge"" 
Cases now as widespread as South Korea, Iran and Italy. 11 towns in northern Italy in lockdown!!!
This is absolutely frightening. https://t.co/030ItuHCrK",hecivan70
Newcastle,2020-02-06 10:18:40+00:00,1225363171956817920,FASD the hidden pandemic https://t.co/KGeR6dnMFv,tony4newcastle
Newcastle,2020-01-24 22:14:49+00:00,1220832352022065152,Looking for a tip this weekend . Randwick Race 8 Horse 10 - Pandemic  and aptly named horse 🐴,Lethaleigh
Newcastle,2019-04-13 19:30:57+00:00,1117148183027572736,Pandemic https://t.co/UbMCElQVxg,tony4newcastle
