City,Datetime,Tweet Id,Text,Username
Sydney,2020-03-10 21:52:38+00:00,1237496613209284610,"Without podcasts , what are we to do when we’re in lockdown ??? https://t.co/Ju2R63vXiV",msmansk
Sydney,2020-03-10 12:21:06+00:00,1237352780949360640,"@gutolage Kkkkkk verdade, só imagino o Tiago Leifert chegando na hora do paredão e avisando pra eles, não vai sair ninguém, o país tá em Lockdown, ta rolando um vírus louco que se espalhou e está causando uma Pandemia...o pessoal de dentro ia achar que era zueira isso. Ninguem acreditaria",marcolosada1
Sydney,2020-03-10 12:10:19+00:00,1237350066764918785,"@gutolage Podemos dizer que eles estão em uma casa que é um dos locais mais seguros do mundo no momento? 🤔
Estão em lockdown há 7 semanas...",marcolosada1
Sydney,2020-03-10 08:27:09+00:00,1237293906099728386,@JoshFrydenberg @JoshFrydenberg You are keeping business in business and Australians in jobs.  Yet you don’t seem to care that the VIRUS is spreading and people are dying.  Australia should be in lockdown in major cities right now. The government is a joke.,mkarakiozis
Sydney,2020-03-10 06:32:17+00:00,1237264997845213186,"Italy's in lockdown.
So I'm able to sell at the Sydney Fair after all! 
Rome or Randwick??
Venice or Vintage??
Arezzo or Art Déco??
Sorrento or Sydney....
.
. @ Randwick Racecourse Ajc Members Lounge https://t.co/dJxyNf5ppZ",recycologyy
Sydney,2020-03-10 01:45:49+00:00,1237192905246117888,The thing that terrifies me the most (beyond the obvious public health and economic concerns) is the thought of going into lockdown with 2-year-old twins.,Hannah_Stenning
Sydney,2020-03-09 21:24:22+00:00,1237127110067548160,"So Italy is on total lockdown... but flights full of people are free to leave without health checks?

Global community, lol.",forexbrokr
Sydney,2020-03-09 21:08:51+00:00,1237123205879320576,"#BreakingNews this morning- lThe whole of ITALY is in lockdown. 60 million people. 

Live details on #Headlinenews on #skynewsonwin on @WIN_TV &amp; @Foxtel Ch 603 

#CoronavirusOutbreak",samanthachiari
Sydney,2020-03-09 09:18:40+00:00,1236944481103933447,"@ScottMorrisonMP we need Australia on lockdown! We need overseas planes stop landing onto Australian airports, before it will become more terrible and uncontrollable. Look, What is been happening in Italy 133 deaths in one day  #coronavirus #StopTheSpread",incachef_peru
Sydney,2020-03-09 00:17:01+00:00,1236808169529028609,Italian government announces lockdown for parts of northern Italy due to coronavirus  https://t.co/Gs3Jbna5F3,Midni13
Sydney,2020-03-08 21:48:43+00:00,1236770850440761346,@drjennings A quarter of the Italian population is in lockdown. There’s been a huge public policy response in some places. It is just not evenly spread.,mds49
Sydney,2020-03-08 21:40:40+00:00,1236768824600309761,"Chatting to a mate working on a startup in Milan last night who is currently under lockdown there... 
1. They went from 3 cases to 5000 in a matter of weeks
2. Thinks that the lockdown will last till June/July
3. A coworkers father 50yo recovered from it - similar to the flu",petehanssens
Sydney,2020-03-07 21:46:00+00:00,1236407777657942016,"@rowanshole @Sysngn Social media and rumours:

(1) The false belief that toilet paper in Australia is made in China here (it is in Hong Kong, for example).

(2) The immediate fear that putting people in lockdown will mean people will run out to essentials - like toilet paper.

#TheGreatPaperCaper",jtwnz
Sydney,2020-03-06 08:24:27+00:00,1235843675621490689,You see THIS I understand. If I was in a 14 day lockdown I reckon I would need 15-20 Lego kits to get me through 🤔😎😂 https://t.co/CNNTwv9tMf,trevorlong
Sydney,2020-03-05 02:11:34+00:00,1235387449343238145,I’m sitting next to a delightful lady at #IWD2020 lunch who is from #hubeiprovince having a very frank conversation about what it’s like for her family in lockdown.,katiebmarketing
Sydney,2020-03-04 04:37:28+00:00,1235061776036679680,@EmilyZFeng @NPR And yet the infection rate suggests the lockdown is ineffective internally.,keanfei47
Sydney,2020-03-04 03:50:17+00:00,1235049902352130048,It was only a matter of time: meet the Australians who skated Wuhan during the coronavirus lockdown https://t.co/0IbbFwubdj,GavinCoote
Sydney,2020-03-04 02:14:34+00:00,1235025814858522624,If we go into lockdown just know I’m gonna be having coffee and Mel withdrawals for the entire time.,laureneveexo
Sydney,2020-03-03 11:16:29+00:00,1234799804074450946,@guardian Overreacting? Or Practical? Arrive at supermarket... live with 5 men...4 teenagers one husband...potential lockdown for 14 plus days..?? Add extra loo paper to list.,melgianoutsos
Sydney,2020-03-02 07:54:33+00:00,1234386599867060225,"Wuhan is in lockdown, so of course everyone's going to try to steal the rest of the planet's online gaming accounts.

Does anyone want my Boxee login? https://t.co/X3CMeICv2q",JM77
Sydney,2020-02-29 11:38:27+00:00,1233718169874776065,"Having no internet on Opening Weekend is the inverse of the  #UAETour lockdown: I have unlimited freedom of movement, but no Netflix. #OHN20",RyanHMiu
Sydney,2020-02-29 10:37:19+00:00,1233702784752439296,"@TraderSimon Was the huge drop this week not somewhat pricing this in? China has their New Years break, then the virus lockdown. New infections falling, markets are forward looking, just another view",tkft7
Sydney,2020-02-16 10:48:32+00:00,1228994564813312001,@Dr_Lockdown I didn't know if you wanted to be tagged! Lol,JM77
Sydney,2020-02-16 05:00:28+00:00,1228906971652182018,Painstakingly carefully applied by @Dr_Lockdown,JM77
Sydney,2020-02-09 23:03:13+00:00,1226642740361908225,"A great set of illustrations by Tiny Eyes comics on the unsung heroes of the Wuhan lockdown - food delivery drivers
https://t.co/NNDv5L4yil",AmandasAudit
Sydney,2020-02-09 00:45:31+00:00,1226306096156962816,# corona virus apparently Singapore in lockdown at the airport. Every passenger is being a screened. And police escort off planes.,hitinman
Sydney,2020-02-06 23:16:02+00:00,1225558798867292162,Love Lockdown (Tom Budin Remix) out now! https://t.co/YLRw3kCncM https://t.co/eI9Vp1NuXl,TomBudinMusic
Sydney,2020-02-06 05:02:16+00:00,1225283545037328385,My brand new remix of love lockdown by @Nelsaanmusic is out now on @DJcity #lovelockdown #remix https://t.co/hT1JO2SJbm,TomBudinMusic
Sydney,2020-02-06 00:23:30+00:00,1225213389393121281,@daxa_tw We did the Majestic in Oct and Saphire last year and nearly booked Jan asian cruise rjis year as well. Id hate to be in an inside cabin right now on lockdown. Level 8 Minisuites looking good.,Just_Westy
Sydney,2020-02-04 07:21:49+00:00,1224593888607784961,@IamMADRECKLESS Lockdown remix,Skaireemusic
Sydney,2020-02-01 04:15:43+00:00,1223459892096163840,@DrSeanOMara @DietHeartNews Factories close for Lunar Year and on lockdown. When Wuhan is full bore it is 👇👇👇 https://t.co/VdlVJEQ3ic,OZmandia
Sydney,2020-01-23 20:30:34+00:00,1220443729015820290,"Morning mail: sports grants outrage, coronavirus lockdown, TV rituals https://t.co/kZAJlFbpKr",GeorgeManka
Sydney,2020-01-23 12:07:47+00:00,1220317200243773440,Ah oh! Just found out Huanggang is famous for snake and turtle dishes! Bam 💥 Snakes on lockdown,OZmandia
Sydney,2020-01-22 22:03:40+00:00,1220104771056484352,"Deaths from coronavirus double as Chinese city goes into lockdown
https://t.co/24asLupip3",TraceyLPiriz05
Sydney,2020-01-22 20:20:21+00:00,1220078768817164290,"It’s now an official lockdown! #Wuhan, the central China city at the heart of the coronavirus outbreak, has been put in quarantine, starting 1pm (AEDT) on Thursday. The local city bus, long distance buses, ferries,  subways, and flights will be closed https://t.co/VL5SbKnFoC https://t.co/dPGoSTucxO",heidi_han
Sydney,2020-01-22 07:41:31+00:00,1219887802994712576,"China has suggested an “in principle” lockdown of #Wuhan, the city that is the suspected source of the #coronavirus, as the latest death toll of the deadly virus rises to nine. https://t.co/afPSdwAWmB",heidi_han
Sydney,2020-01-12 05:17:42+00:00,1216227733031665664,@MiseryEater101 @BW_Champion @CULTOFIMPACT @IMPACTWRESTLING Didn't they use to have the full card in the lockdown cage originally?,The_Cyantist
Sydney,2020-01-02 10:00:09+00:00,1212674933819527168,Lethal lockdown with weapons hanging from the cage https://t.co/TsCJcR9y5F,The_Cyantist
