City,Datetime,Tweet Id,Text,Username
Ballarat,2021-02-03 08:58:58+00:00,1356889908527341568,"Morrison, 24 hours apart, answering the same question on Craig Kelly’s Covid19 conspiracy crap... 

See if you can spot the real duplicitous, misogynistic #Smugmo?

30 secs -🔊 On 

#ScottyFromMarketing 
#Auspol https://t.co/yr0OvS0Tzm",EmergencyBK
Ballarat,2021-01-17 11:47:32+00:00,1350771736954900481,"2/ I also want to thank @Tweetmags for reminding me to honour &amp; reflect on the:
- 909 Australians who have lost their lives to Covid19
- Tens of thousands of Australians mourning the loss of their loved ones
#CovidLoveAus",EmergencyBK
Ballarat,2021-01-17 11:35:06+00:00,1350768604606709761,"Those affected by Covid19 in Australia

- quarantined
- waiting test results
- diagnosed -unwell/in hospital
- recovering, still suffering
- separated fm family/friends
- stuck overseas/interstate 
- isolated
- lost job, biz, income

So sorry, thinking of you💜

#CovidLoveAus",EmergencyBK
Ballarat,2020-12-31 00:27:50+00:00,1344440090529939458,"We started 2020 with a few hundred #covid19 cases worldwide. We’re starting 2021 with over 77 million. And still agonising over wearing masks, social distancing &amp; approp. quarantine procedures. But oh yeah, let’s celebrate beginning 2021 like it’s magically going to be better 😒",BornABulldog
Ballarat,2020-12-09 23:31:33+00:00,1336815779191275520,"Any who minimises/doubt severity of #Covid19 worldwide, esp. in the US...

Now accounts for 5 of the 10 Deadliest Days in US history

Most devastating’s how many of their 286k deaths to date, could’ve been avoided, w/ science based, ethical, consistent leadership

Source LinkedIn https://t.co/x1vIQaF7Mg",EmergencyBK
Ballarat,2020-11-04 01:57:46+00:00,1323806611748524038,Gladys full of shit. Victoria has welcomed all throughout. #covid19,BornABulldog
Ballarat,2020-11-04 00:10:04+00:00,1323779511532482560,"So proud of my fellow Victorians. We stuck it right up ‘em, that’s what we did!! #covid19 #COVID19Vic #zerocases #vicdonutstreak",BornABulldog
Ballarat,2020-10-29 20:34:50+00:00,1321913406450929665,@BreakfastNews here’s our Halloween advice to families. An excerpt from our weekly newsletter. #COVID19 #Halloween2020 https://t.co/OFB3wbQG32,michellejoywils
Ballarat,2020-10-24 23:38:26+00:00,1320147672301400065,Dan Andrews and the Victorian government do not have the capacity to manage low #covid19  case numbers like the rest of the country with NSW being a perfect comparison.,MrCricketAust
Ballarat,2020-09-30 06:47:25+00:00,1311195931077873664,Ballarat couple David and Lennyce Westaway have an incredible love story. Lennyce has dementia and recently survived COVID19. For every step of the way David was by her side. Today they were reunited. @9NewsWesternVictoria https://t.co/7ydbU4g0tp,ZoeMcLaughlin9
Ballarat,2020-09-26 01:07:22+00:00,1309660803587481605,Im of the belief that hotel quarantine serviced to slow the spread. Look at countries without quarantine &amp; look at their #COVID19 data. Any loss of life is awful &amp; mistakes were made as stated by @DanielAndrewsMP. If there was no quarantine one can only imagine the death toll. https://t.co/UGfLG01Rzs,michellejoywils
Ballarat,2020-09-21 06:11:30+00:00,1307925402006876160,"Thanks @NDARCNEWS for hosting me, and especially to Prof Shane Darke for his excellent facilitation!  And if you missed it... here’s the recording of @GlobalDrugSurvy #COVID19 and drug market shifts. https://t.co/g2h8iTnSou",monicabarratt
Ballarat,2020-08-29 14:15:38+00:00,1299712316573769733,"Tengo un tío internado en terapia intensiva con #covid19 , médicos que mueren en servicio con 35 años apenas, más de 10mil casos en un día. Sigan yendo a bares, sigan juntándose por motivos políticos. Si no se cuidan ustedes mismos, nadie lo va a hacer por ustedes.",Superlet
Ballarat,2020-08-19 22:21:01+00:00,1296210587995656194,#letssticktogether    #communityiseverything #covid19 #coronavirus #hope #community #everything #daylesford #graffiti #slogangraffiti @graffiterati @sevenbreaths https://t.co/7adAHR6BK5,graffiterati
Ballarat,2020-08-11 02:47:47+00:00,1293016232460001280,Think I've had this #mask on pre-order since forever in my mind then #covid19 and #lockdown2 came along thanks  farkew_official for making my feelings know and #walkies safe and compliant @ Soldiers Hill https://t.co/pNfWPP0lal,daveada77
