City,Datetime,Tweet Id,Text,Username
Gold Coast,2021-03-09 01:32:21+00:00,1369098701935812609,Can someone give me Covid Update. All I am hearing is about Megs &amp; Harry lol 😂 #MeghanandHarryonOprah #COVID19,lesley_morgan25
Gold Coast,2021-03-08 22:14:02+00:00,1369048791999946753,"Guess the media has forgot about Covid now &amp; main story is all about Harry, Meghan &amp; Royals. Just got up turned on tv &amp; thats all I am seeing lol!! #MeghanandHarryonOprah #COVID19",lesley_morgan25
Gold Coast,2021-03-08 02:46:59+00:00,1368755094934618115,Mmm I think it might take the Gold Coast a while to get back to its best! Certainly missing the international tourists. #Australia #COVID19,GAVKEEGAN01
Gold Coast,2021-03-07 10:28:57+00:00,1368508962849644547,"#im #imgonna #imgonnacoof ! #okcoofer #usa #corona #covid #covid19 #coronavirus #shitisreal #auspol #west #western #degeneracy #obesity #morbidobesity @ Gold Coast, Queensland https://t.co/7bP52QBbN2",Tayzlor
Gold Coast,2021-03-07 10:27:31+00:00,1368508604643426304,"She is #stunningandbrave #women #womxn #corona #covid #covid19 #coof #okcoofer #imgonnacoof @ Gold Coast, Queensland https://t.co/IJE8C4fv2h",Tayzlor
Gold Coast,2021-03-04 07:14:59+00:00,1367372989235306498,.@FundInstituteAu @PhilanthropyAus @ACOSS @ACNC_gov_au From the outset of #covid19 in #Australia this has been looming large. Seems a #pandemic will achieve what inquiries into the #charitable sector could not. #timeforcommonlegislation #rationalisation https://t.co/29g9SPnYkF,MendotaMarkH
Gold Coast,2021-03-04 02:26:17+00:00,1367300335950258181,It’s a #clownworld they’re very very good they’re taking us western hand wringing pearl clutching so gooders for a ride #usa #australia #europe #auspol #china #chinavirus #okcoofer #coof #corona #covid #covid19 https://t.co/JTokHTO9Op,Tayzlor
Gold Coast,2021-03-03 02:40:17+00:00,1366941469026643968,#Breaking: A letter seen by .@SkyNewsAust shows there are fears the new Russian variant of Covid19 has made its way into Qld. Passengers on flight QR898 which arrived in Brisbane from Doha last month must quarantine for an additional five days https://t.co/N6HTPw5HH5,_juliabradley
Gold Coast,2021-03-02 06:08:36+00:00,1366631508014948363,"Even when the lockdown ends they control your mind, and taxation is theft. #okcoofer #coof #corona #covid #covid19 #auspol #usa #MAGA #trump #biden #brexit #doublemask #fauci #australia @ Gold Coast, Queensland https://t.co/j2FeFS30wX",Tayzlor
Gold Coast,2021-02-17 00:54:28+00:00,1361841409137856515,"Here to share the news you already suspected #okcoofer #davidicke #londonreal #coof #infowars #stefanmolyneux #covid #covid19 #corona @ Gold Coast, Queensland https://t.co/ZNNlpgBKfc",Tayzlor
Gold Coast,2021-02-13 10:20:19+00:00,1360534259522363396,#Covid19 has been used as a mechanism to liquidate the middle class - paving the way for #theGreatReset😔,BeachGirlJan
Gold Coast,2021-02-12 23:41:50+00:00,1360373577510313986,"@DorianG13447992 @DHughesy @DanielAndrewsMP @ScottMorrisonMP He’s kept your nonnas safe which is more than Morrison has done. Dan Andrews took action to fix the Covid19 situation while Morrison &amp; the little Hunt heckled from the side. If it wasn’t for Dan Andrews, Victoria would resemble the UK or Florida with bodies piling up everywhere.",FlatEarthGang
Gold Coast,2021-02-12 02:35:09+00:00,1360054807919120386,So Sorry my Victorian Friends on here after everything you been through!! Guess Oz Open will have no Crowds as of tomorrow. I am Tennis Tragic follow 24/7 365 days of year but this year the Oz Open should never of been on! #A02021 #COVID19,lesley_morgan25
