City,Datetime,Tweet Id,Text,Username
Gold Coast,2021-03-02 09:42:02+00:00,1366685216568348675,The Labour Party Love Lockdown. https://t.co/xAdBAg4pSZ,crynbrian
Gold Coast,2021-03-02 06:08:36+00:00,1366631508014948363,"Even when the lockdown ends they control your mind, and taxation is theft. #okcoofer #coof #corona #covid #covid19 #auspol #usa #MAGA #trump #biden #brexit #doublemask #fauci #australia @ Gold Coast, Queensland https://t.co/j2FeFS30wX",Tayzlor
Gold Coast,2021-03-01 06:44:53+00:00,1366278247638441984,@woolkebb Ahhhh! It was soooo important to be at a #HighCourt ceremony during #Covid lockdown but not today. Says it all. #PorterinHiding,sacarlin48
Gold Coast,2021-02-28 10:34:26+00:00,1365973631138865153,ONE WHOLE YEAR AGO was Queen and Adam Lambert’s last show before lockdown happened. Best weekend of my life 🖤 @QueenWillRock @adamlambert https://t.co/mmGw7AGoco,kazbybrekker
Gold Coast,2021-02-28 02:20:06+00:00,1365849225553080320,Is NSW the Only State in The world Not to Lockdown Thier own Citizens. https://t.co/50W5i854nB,crynbrian
Gold Coast,2021-02-27 10:25:57+00:00,1365609108720607238,@UKAUSVeteran thought you might enjoy this beautiful piece saying thank you for looking after us during #covid lockdown. https://t.co/xbRdlUZN1Y,MendotaMarkH
Gold Coast,2021-02-25 06:13:56+00:00,1364820910327300100,@Giltinis @ExpertsSideline @wallabies @usmlr @AdamCoopy @mazmcm A trip to the US once lockdown ends? 😀,JuliaTempler
Gold Coast,2021-02-22 10:46:05+00:00,1363802236145389568,"@nick_hodkinson @katewillett As an Australian, we got $3,000AUD/month for as long as we needed it. And most of us didn't need it long because we left lockdown in June",BlurredMystic
Gold Coast,2021-02-22 03:55:28+00:00,1363698898225688580,"@PFTompkins @danlmantheman Lockdown worked in Australia.. 
But yea, we followed the rules",BlurredMystic
Gold Coast,2021-02-21 09:09:17+00:00,1363415486180982787,@belle_mich1 It's beyond bull shit. We aren't stupid and have to stand against all this lockdown and control rubbish.,BeachGirlJan
Gold Coast,2021-02-19 22:49:38+00:00,1362897159847247874,@TennisTV @DaniilMedwed So many in the crowd without a mask on yepp Melbourne will be in lockdown again in a few days,deanjohnson__
Gold Coast,2021-02-18 01:01:56+00:00,1362205678346018820,"@BlackMilkTweets @9NewsAUS Their definition of ""news"" is ridiculously broad - if you post about any events (aka national holidays/relevant situations that affect you such as lockdown information) you can technically fall under that umbrella 🙃",xFaeryPrincessx
