City,Datetime,Tweet Id,Text,Username
Hobart,2021-02-20 05:43:17+00:00,1363001257611259908,"@Texas_AU Even to 9-10th men, ANY one from either team could be a difference maker. Lights out shooting, lockdown D, rim protection &amp; then there’s the outstanding strategy of both coaches",stickers52
Hobart,2021-02-15 04:15:18+00:00,1361167174295982082,"@abcmelbourne All except household dogs left frustrated by snap lockdown but we just get on with it, news cycle moving to vaccine obsession soon and then silly stories about normality by footy finals",Magsa00
Hobart,2021-02-14 18:05:08+00:00,1361013620700708865,@MissCaseyCes Hopefully this will be Victoria's last lockdown. Take care,bloodhammer155
Hobart,2021-02-14 10:57:18+00:00,1360905954837991427,"Also some friends from work dropped off weights for @Creating_Cait and I to exercise with! 💪🏻🏋🏻

Might need some heavier ones though... 😂

#Hobart #HomeQuarantine #COVID19 #LockDown https://t.co/WfYJfx88Qw",nathan_warner
Hobart,2021-02-14 05:50:20+00:00,1360828702972514307,"Punt Road Oval is good because you can watch the footy from outside the ground behind the fence. I see you people on tv 👀 &amp; even in lockdown 😭😂
Tbh I’m that desperate for footy I’d probably go watch too even if I got in trouble for it lmao 🤷🏻‍♀️",3921Eagles
Hobart,2021-02-12 09:28:12+00:00,1360158756311494659,Well I nearly got there  #lockdown put and end to that,tasmudger10
Hobart,2021-02-12 06:41:24+00:00,1360116778299346945,C'mon mention lockdown a nd you know you best get to that toilet roll isle otherwise your in the SHIT https://t.co/rUPiSRWoP8,Jan_sydneysider
Hobart,2021-02-05 06:31:46+00:00,1357577638601101314,@PrincessMattie1 @marcuskelson I read the lockdown and fire evacuation plans that were sent out today and told the manager there were mistakes and they said they were in there to see if anyone actually read them.,bloodhammer155
Hobart,2021-02-03 18:56:43+00:00,1357040338196602880,@ADHDemon @AnneLouisaRix1 @JoshuaStokesITV It's just the same as it was this time last year in Tasmania. It's not hard to lockdown your boarders if you live on an island so your people then can live their lives.,Tassieyellow
Hobart,2021-02-01 09:38:09+00:00,1356174991813820416,@rachaellehr Fire and lockdown. Seems WA cannot take a trick ATM. Thinking of all,bloodhammer155
Hobart,2021-01-31 07:37:18+00:00,1355782191461015558,"In light of today's news in Perth WA, I'm sure Mark McGowan will continue to lecture other states like NSW et al on COVID management now and into the future...??
Or not?
But we'll wait for the woke crap when the lockdown ends and the ""tough decisions"" etc etc.",duckybester85
Hobart,2021-01-29 20:07:20+00:00,1355246168259739650,@jenswaine @theidahochef I live in a cul de sac too⭐️. Everyone knows someone will be there to help out if there’s a need. Each year in Dec we have a Christmas party. During the recent (2020) Lockdown there were many signs of kindness shown. Celebrated  significant occasions - no weddings as yet though!,cjhenri
Hobart,2021-01-09 23:09:14+00:00,1348044187912921088,"If QLD continues its lockdown of Brisbane past Monday to combat the new strain of the virus, consider this.
As per State budget papers, the QLD Govts COVID Response in 20-21 is  total $363.5 million. 
That much to close for 1 case..??
Think about that and the value for money...",duckybester85
Hobart,2021-01-01 04:59:47+00:00,1344870917449502721,"I've managed to miss out on lockdown here in Tasmania not once have I been told to stay indoors 2020 has been very kind to me and my family.
Here's to 2021 being a little fairer.",Tassieyellow
Hobart,2020-12-31 05:23:07+00:00,1344514399696916486,"@RealMarkLatham She hopes to destroy Australian lives. There was a nutter on morning tv, saying the best thing about Covid was the lockdown. She  (  on FULL PAY ) said she sleep.  better.",TTwible
Hobart,2020-12-21 22:35:40+00:00,1341150369317982208,But then of course 2020 happened and during early lockdown Josh became concerned about the quickly developing situation with the Arts. At the same time he became re-enamoured with puzzles after decades of not doing many.,ComicArtWkshop
Hobart,2020-12-21 05:29:21+00:00,1340892089261780993,@Peter_Fitz Worked a treat in Melbourne a few exceptions made of course for medical reasons. Only a political football by some Libs but pathway out of lockdown was clear just do right things.,Magsa00
