City,Datetime,Tweet Id,Text,Username
Newcastle,2021-03-03 05:00:08+00:00,1366976663599243264,"@DavidHodgettMP Last circuit breaker state wide lockdown was state wide, because Vicpol could or would not just do Melb. 

COVID free Ballarat, Bendigo, bright, Latrobe Valley, peninsula, alps, Murray valley, shep, Wodonga... how’s it feel giving them another 9 months of this arbitrary power",davidcgrey
Newcastle,2021-03-02 20:06:22+00:00,1366842335946969091,"@twb2468 @birdie_11 @Tank9999 @Milliganreports Didn't some rich bastard fly into Perth from Aspen, exempted from quarantine, then flew to Canberra for some event, all through lockdown?",novahollandia
Newcastle,2021-02-27 09:54:27+00:00,1365601177761509383,"@Adam_Creighton @JohnDoe22458241 @MDosNK So how many of those 460k deaths were avoidable if Lockdown measures were imposed and by advocating the wearing of face masks? How many deaths would there have been in Australia if these measures were not taken?...10k, 20k, 50k???
#context",hecivan70
Newcastle,2021-02-26 06:19:24+00:00,1365184670707580933,"@VicGovDH ‘State lockdown, close the state borders’",jwdew
Newcastle,2021-02-23 10:16:12+00:00,1364157101359042563,Perseverance made it all the way to Mars... here’s to all in Covid lockdown who can’t go see their next door neighbours xx,lizillustrator
Newcastle,2021-02-23 03:51:52+00:00,1364060379475705861,@21WIRE @naomirwolf Pseudo science? Isn't that more to do with drinking disinfectant and refusing to obey lockdown public health orders? You're throwing your health workers under a bus with this rubbish.,djmarley6
Newcastle,2021-02-17 08:38:28+00:00,1361958178364162049,@SkyNewsAust @DanielAndrewsMP So the lockdown was for what??,2Burg27
Newcastle,2021-02-15 05:05:14+00:00,1361179739608686596,"Checked in and killing time at the airport before my flight, and return to lockdown from paradise. https://t.co/We8i2Lso8O",gricey81
Newcastle,2021-02-12 09:34:37+00:00,1360160369285558278,"Check out the crowd at the Kyrgios match. They all know they're going into lockdown in 3 hours.

6th best state in Australia 🥰",cue_volta
Newcastle,2021-02-12 08:46:50+00:00,1360148347340771329,@MarkMcGowanMP You had one case and didn't need to lockdown. Maybe take your fair share of HQ.,mediahunter
Newcastle,2021-02-12 00:48:59+00:00,1360028088776622081,@GlennHampson @AshleyLeahy We're fortunate not to live in fear of snap lockdown here. There are always going to be small outbreaks. It's the nature of a pandemic. We need to manage without lockdowns.,mediahunter
Newcastle,2021-02-12 00:46:36+00:00,1360027491511934976,@GlennHampson @AshleyLeahy I understand. Meanwhile we had Victorians telling NSW to lockdown before Xmas otherwise the numbers would be out of control. We didn't and the numbers were controlled quickly. Now were at 25 days of donuts. Point being...it doesn't need to be that way.,mediahunter
Newcastle,2021-02-12 00:40:32+00:00,1360025962134470656,@GlennHampson @AshleyLeahy It's rubbing both ways. Dan and Qld &amp; WA snipe constantly while NSW processes the bulk of quarantine for returning Australians. Nobody wants to see another Melb lockdown.,mediahunter
Newcastle,2021-02-12 00:30:43+00:00,1360023494444998658,@GlennHampson @AshleyLeahy Will you enjoy another lockdown?,mediahunter
Newcastle,2021-02-10 09:01:45+00:00,1359427323057950720,"Distronica Out Friday!!🎉
.
.
.
.
.
.
.
.
.
.
.
#electronica #distronica #distortion #flstudio #music #track #friday #photo #photoshop #mask #purple #blue #banger #instagood #instadaily #lockdown #black #electro #house #coverart #single #cover #friday #spotify #applemusic https://t.co/sXbo3Qw6R3",MackrMusic
Newcastle,2021-02-03 20:55:54+00:00,1357070328267116545,This aged well. Perth went into lockdown a few hours later and now Melbourne on tenterhooks. https://t.co/sv8NhnLIqH,mediahunter
