City,Datetime,Tweet Id,Text,Username
Sunshine Coast,2021-01-30 22:21:11+00:00,1355642240777875456,"I love how some People /NewsCorp/Government think we have beaten COVID-19 um newsflash it’s still summer, say that to me in June/July when winter is at its peak and no outbreaks then I might agree , 3rd wave will come !! #Insiders #coronavirus #JobKeeper #Dontgetcomplacent",camo2572
Sunshine Coast,2021-01-26 07:19:57+00:00,1353965887401811968,Thousands protest in Amsterdam against Dutch coronavirus lockdown https://t.co/KEyMtSiihb,spotonme
Sunshine Coast,2021-01-01 00:59:45+00:00,1344810511381061632,"@ForeverBored_AU So we agree. The States (well, most of them) are doing the heavy lifting to keep us safe from #coronavirus. 

Also, #ScottyNeverHelped.",MikeFitzAU
Sunshine Coast,2020-12-31 23:19:22+00:00,1344785245950812160,"Today’s cut to the coronavirus payment will put the most pressure on those with the least ability to cope with it.

You can help...

https://t.co/3dWeV367QE",MikeFitzAU
Sunshine Coast,2020-12-21 11:08:55+00:00,1340977545198542854,"Omg that was a very confusing night...Confused by Queensland's coronavirus border rules with New South Wales? Here's what you need to know
https://t.co/5SOULiH1hd",jennifermacey
Sunshine Coast,2020-11-25 23:23:54+00:00,1331740424390656003,"Here we go... the pardons have started.
Who predicted Trump to resign before January &amp; Pence to pardon him?

US politics live news: Donald Trump pardons Michael Flynn as Joe Biden delivers Thanksgiving coronavirus warning
https://t.co/Ju0whe3XVc",t_coxsen
Sunshine Coast,2020-11-07 04:13:38+00:00,1324927969601572864,WH chief of Staff Mark Meadows has coronavirus! The irony of it is that 2 reasons why Trump has lost the White House is 1 the denial and lack of plan over Covid no social distancing and 2 the lack of empathy of the George Floyd death and BLM movement. #Election2020 #COVID__19,camo2572
Sunshine Coast,2020-10-25 09:55:00+00:00,1320302833451757568,"Lol I told my papa the supposed beginning of coronavirus and he’s like oh, we eat bats all the time in Samoa 🥴😂😂😂",kokokopai
Sunshine Coast,2020-10-01 03:28:01+00:00,1311508138311311360,"Not surprisingly, Abbott either lied, or was grossly negligent in researching his false claims. Kinda sums up his entire career.

Tony Abbott says Victoria's coronavirus lockdown is the most severe tried in the world outside Wuhan. Is he correct?
https://t.co/oH02FHr2Xg",t_coxsen
Sunshine Coast,2020-09-25 08:33:35+00:00,1309410710103883776,Aust. Fed Government borrowed $314 billion for Jobseeker and Jobkeeper coronavirus supplement program https://t.co/QofyBrPbOr,SimonNichols7
