City,Datetime,Tweet Id,Text,Username
Sunshine Coast,2021-03-04 23:17:05+00:00,1367615108118048769,@BombingDodongos Most movie release dates got delayed which is fantastic for people who are/were stuck in lockdown,belt_go
Sunshine Coast,2021-02-26 06:13:09+00:00,1365183101035421696,@darwinb0y @BazzaCC ... in a city under Covid lockdown.,MikeFitzAU
Sunshine Coast,2021-02-25 14:51:25+00:00,1364951136978022405,@KYMISTWALKER Yes it must be hard but spread of virus is so aggressive it’s either measured lockdown or many hundred thousand more deaths I sure neither Trump Nor Biden wanted to but it has worked so well in Australia,mary_warming
Sunshine Coast,2021-02-23 03:30:39+00:00,1364055040244150275,"@MichaelPSenger To be anti-lockdown doesn’t mean you are a COVID denier. It simply means there is another way of looking at &amp; managing this crisis. There is an incessant need to make this a scenario where you are either for or against, dismissing other saner options.",urbanexploreMEL
Sunshine Coast,2021-02-18 03:30:01+00:00,1362242944187518983,"@COVID_Australia Avalanche of ""lockdown was an overreaction!"" complaints and Aussies abroad screaming ""we need to live with more risk!"" in 3.. 2..",thomsoash
Sunshine Coast,2021-02-17 23:00:33+00:00,1362175129715793924,@Jen2310 @WatsonsTroops1 @Mattys123 @TheDak04 @nyy_cate @beertaster3 It’s true missed it this week due to lockdown 😀,camo2572
Sunshine Coast,2021-02-16 21:46:22+00:00,1361794071593820162,Put your hands up if you posted ridiculous statements over 5 days lockdown and give yourself a slap 👋🏻 if you said and posted shit the lockdown will go weeks and went into hyperactive overdrive 🤦🏻 hope you enjoyed your extra long weekend #melbournelockdown #lockdown #COVID19Vic,camo2572
Sunshine Coast,2021-02-15 01:42:01+00:00,1361128601643487236,"@leighsales @abc730 I got no issue with you being at a presser and asking hard questions, that’s what 99% of Journalists today is lacking, and being in lockdown deserve hard questions asked ,I will watch as usual and I welcome the day when hard questions are asked to Peter Dutton, McKenzie,Morrison",camo2572
Sunshine Coast,2021-02-11 17:01:36+00:00,1359910469096509441,"Definitely to late to lockdown ,Boris Johnson was spruking at the time that COVID was only a flue ,pandering to big business now you’ve got a disaster https://t.co/W4NbvS0jtl",PeroNasteski
Sunshine Coast,2021-02-03 11:43:30+00:00,1356931314541158405,"@Mattys123 @bridgerollo @abcmelbourne Least it’s not a total lockdown people can take a chill pill now , got the feeling a few were hoping for bad news to sling shit at Andrew’s again",camo2572
Sunshine Coast,2021-01-29 01:10:03+00:00,1354959963064426501,Strong borders + strong tracing means we can move about in Australia quite freely. Masks required if a case pops up and it’s squashed quickly by a rapid lockdown. So far the wack-a-mole strategy is working well. I’m so bloody proud of Australia this past year. 🙏 https://t.co/q7xlImkobS,LynnGilmartin
Sunshine Coast,2021-01-26 07:19:57+00:00,1353965887401811968,Thousands protest in Amsterdam against Dutch coronavirus lockdown https://t.co/KEyMtSiihb,spotonme
Sunshine Coast,2021-01-19 03:38:03+00:00,1351373329840521216,@Jen2310 @Mattys123 @GregBaum Especially in a city which was in full lockdown for 6 months !!,camo2572
Sunshine Coast,2021-01-16 10:05:05+00:00,1350383566786465792,And yes I am crying my way through season 2 of @ZoeysPlaylist. Sweet and happy making.  First season got me through first lockdown and this one looks just as good. ❤️ https://t.co/LW3bEl90vB,flusterbird
Sunshine Coast,2021-01-14 11:49:22+00:00,1349685033234100226,@servicerotties V responsible - my mumma is out of lockdown in Queensland but have had TV torture watching Jaws and Wahlberg Planet of the Apes - Panadol isn’t strong enough - bring on the white wine! Haven’t kids any pigeons today 😇 https://t.co/Qcw9E5FhU2,mary_warming
Sunshine Coast,2021-01-11 08:11:30+00:00,1348543040059711490,@ScottishSully Me handler just got released from 3 day lockdown - no covid cases here diagnosed in last 3 days - mummy getting v good at home made meals and endless tv watching plus veggie garden and me haven’t killed any more pigeons - mummy doesn’t like,mary_warming
