City,Datetime,Tweet Id,Text,Username
Toowoomba,2021-01-16 21:02:59+00:00,1350549131706548227,@brianstelter @ddale8 Agreed but his lies about the seriousness of the coronavirus leading to 100's of 1000's of unnecessary deaths are especially notable,MadVet2000
Toowoomba,2020-11-02 20:25:17+00:00,1323360551917875201,Queensland's coronavirus border restrictions ease for people from regional NSW — Sydney and Victoria remain hotspots https://t.co/nYgZW6UKbk #Toowoomba @SouthernDowns,BelindaJSanders
Toowoomba,2020-11-02 06:02:19+00:00,1323143381489381377,Fauci rips White House coronavirus approach https://t.co/uJ9xb95Fma,DavidR_23
Toowoomba,2020-08-18 01:03:14+00:00,1295526637841182721,It will take a coronavirus Christmas miracle for Queensland's borders to reopen in time for the festive season https://t.co/0HZboAEXyn @SouthernDowns #COVID19 #toowoomba,BelindaJSanders
Toowoomba,2020-08-18 00:54:53+00:00,1295524534871707648,Queensland records no new coronavirus cases overnight as the state reaches 29 days without community transmission https://t.co/31y5XmjNtG @DDWMPHN #toowoomba,BelindaJSanders
Toowoomba,2020-06-18 01:47:13+00:00,1273432044819767296,"@LesStonehouse I think he has divine protection Les. I asked for the coronavirus to take him away, but he is still on Earth persecuting us and our friends.",BushyJohn
Toowoomba,2020-06-10 01:56:44+00:00,1270535338163757057,"""COVID-19: Brazil restores detailed COVID-19 data"" #Coronavirus https://t.co/6VfYUDI9XI",DavidR_23
Toowoomba,2020-05-16 23:53:58+00:00,1261807132392878081,"""COVID-19: Obama says the virus has 'torn back the curtain' on US leadership"" #Coronavirus https://t.co/6VfYUDI9XI",DavidR_23
Toowoomba,2020-05-16 08:54:59+00:00,1261580895728828417,"Free at last.... (Within a minimum of 150km) #lockdown #coronavirus #roadtrip @ Toowoomba, Queensland https://t.co/grWvzoVjwh",JTSpurs
Toowoomba,2020-05-05 07:06:08+00:00,1257567235578777600,"Day 136. Behold! Clean juice of disinfectant!
.
.
.
#amateurphotography #aphotoaday #handsanitizer #clean #quarantine #covid_19 #coronavirus #visualsoflife #CreateCommune #AGameofTones #artofvisuals #aov… https://t.co/7AgwJR5nv1",CamReisPhoto
Toowoomba,2020-05-02 02:34:58+00:00,1256411831154827264,@darlingdownshhs @WePublicHealth And the last COVID 19 contact we were looking after comes off the board! Great effort Darling Downs PHU team - keeping the community safe. Been an intense 6 weeks - and now we wait #COVID19 #coronavirus https://t.co/qeFuPmY7ht,KPanaretto
Toowoomba,2020-05-02 02:01:23+00:00,1256403382404874241,The great Australian Saturday morning tradition. Lining up outside Bunnings ! #coronavirus #lockdown2020 @ Bunnings Warehouse Australia https://t.co/wIWvlqKDID,davidiliffe
Toowoomba,2020-05-01 13:47:36+00:00,1256218717530316802,"""Australia to make decision next Friday on whether to ease coronavirus restrictions""  https://t.co/G0IuYaFzEk",DavidR_23
Toowoomba,2020-04-28 08:53:04+00:00,1255057434718044165,Toowoomba North MP Trevor Watts has been fined for breaching Coronavirus restrictions after a gathering on Saturday. He’s resigned as the Shadow Minister for Police. @7NewsToowoomba https://t.co/O73uBQAyen,CarissaKemp_7
