City,Datetime,Tweet Id,Text,Username
Wollongong,2021-03-09 23:42:24+00:00,1369433416907776005,@KateMfD @ChrisComerford3 ‘Turn your cameras on and take this quiz’: policing learning and pandemic pedagogies.,CL_Moore
Wollongong,2021-03-04 20:43:14+00:00,1367576392418816001,@ServalCandle Many Chinese students escaped back to China during this pandemic from Australia.,kylechine
Wollongong,2021-02-27 10:49:17+00:00,1365614978896519169,"@Popher @Benjimoni Pigs too. Plus it is still circulating slowly somewhere in people especially where covid restrictions are not in place/being applied. So once the pandemic is gone, we stop wearing masks, start big indoor crowds, shake hands etc.. it will be back.",PalliThordarson
Wollongong,2021-02-26 12:56:57+00:00,1365284719168950275,"Defence forces can always be called out to deal with a national emergency as they were to evacuate the people cut off by the bush fire in Eden NSW and Mallacoota VIC in the summer fires of 2020:
Surely a world pandemic constitutes a national emergency. https://t.co/wdyeZkbwLg",VernVerass
Wollongong,2021-02-26 05:56:45+00:00,1365178973961940993,"@SaintFrankly I understand your position but isn’t Harvey Norman legally entitled to Job Keeper? Like every other business, the  pandemic wasn’t their fault and they have employees with mortgages, child care, education expenses etc needing to be paid.?",JamieWarren09
Wollongong,2021-02-21 04:14:26+00:00,1363341283947806723,@jkalbrechtsen Excellent article. Not everyone is ok with this. The Australian passport has to stand for something. It is a basic human right to assist our citizens to return given the consequences of the pandemic.,immsollawyers
Wollongong,2021-02-20 23:06:07+00:00,1363263692712812548,A reminder that all Aussie governments - including the Fed Govt - use snap border closures to contain the spread of #COVID19. You don’t need to be a sleuth to know these decisions use the best scientific evidence. Tourism bounces back the shorter the pandemic lasts. #qldpol,ElliotJStein
Wollongong,2021-02-16 00:36:00+00:00,1361474372620349441,Yet again the States are taking the lead on a Federal Government responsibility. The pandemic response is driven by the Premiers not Hawaii Scott. https://t.co/hPyQBEuFeZ,ElliotJStein
Wollongong,2021-01-28 21:08:26+00:00,1354899158348390403,"During the election @GladysB admitted the LNP wanted to open the border during a pandemic - letting the virus rip.

Today they attack Australian tourism operators and small businesses - wanting to send them to the wall.

The LNP just don’t care. #auspol #qldpol #auspol #jobkeeper https://t.co/SXVG6U04VM",ElliotJStein
Wollongong,2021-01-28 00:38:13+00:00,1354589564925485058,"At the next @Wollongong_City #councilmeeting I am calling for a post-COVID economic taskforce to be established with local peak bodies, to work together on building our economy as we come through this pandemic. #StrongerTogether",tanbrown1
Wollongong,2021-01-26 07:32:11+00:00,1353968964066398210,Foreign workers flee UK as pandemic and Brexit bite https://t.co/NlaNBDIypZ,immsollawyers
Wollongong,2021-01-24 20:30:28+00:00,1353440049048633346,"Prime Minister Scott Morrison appeared on the brink of tears when he addressed the nation this afternoon, revealing a rare glimpse of the personal toll the coronavirus pandemic is inflicting on Australia’s leader.' 
Take a break @ScottMorrisonMP ...
Oh you have !!!! #auspol",ajf247
Wollongong,2021-01-24 20:29:06+00:00,1353439705858150401,"The last thing we need is the Prime Minister praying alongside religious fanatics or weeping over the personal cost of the pandemic he is supposed to be leading us through, writes Dr Jennifer Wilson.
#Covid19 #pandemic #auspol",ajf247
Wollongong,2021-01-23 11:32:22+00:00,1352942247650627584,"‘Our World’

By Nikos Laios 

https://t.co/3RtyxL72Ld

#poetrycommunity #poet #poetry #author #artist #magazine #COVID19 #pandemic #lockdowns #Covidpoetry",NikosLaios
Wollongong,2021-01-03 10:18:26+00:00,1345675881436463105,"How can the average human possibly decipher all the political agenda’s behind “The Great Pandemic .
It always has and always will be divide and conquer .",JulieDiGregorio
Wollongong,2021-01-02 07:25:39+00:00,1345270014144774146,"@SingUnsungSongs @Wollongong_City @NSWHealth @ALeague @SydneyFC @WgtnPhoenixFC We’re all packed in to 2 stands, no social distancing - clearly the ticket allocation software is not accounting for the pandemic",_Munk_SEA
Wollongong,2020-12-30 22:55:41+00:00,1344416900072103936,"Thanks @eveecars for helping me hire out my Tesla to the broader Aussie public. This past six months have been good, pandemic not withstanding!!",TeslaGong
Wollongong,2020-12-30 22:30:02+00:00,1344410445700993025,Massive thank u to my mates in arms : truely Aussie mate ship here. During peak pandemic here when I was in immense stress the laughs and the talks in @PhantomLaneFour was such a godsend. Can’t thank u all enough mates @_TeslaTom @DrSallyL @sydney_ev @TeslaStraya 😭🙏🏾😭 https://t.co/z3Of2pY35A,TeslaGong
Wollongong,2020-12-23 06:19:24+00:00,1341629460693434368,"Labor thinkers haven’t wasted the pandemic to lay the markers for a better Oz. 

From the excellent collection of @DawsonEJ &amp; @JanetMccalman to @tanya_plibersek’s edited book and now the contributions gathered by @dyrenfurth &amp; @mishazelinsky - plenty to read over the break. https://t.co/JFYVEU3u8V",ElliotJStein
Wollongong,2020-11-29 06:48:41+00:00,1332939523697893377,"Put masks in machine at height of pandemic? No. Put masks in vending machine when recommended on public transport No? No more cases. &gt; (@ Campbelltown Station - @131500trains in Campbelltown, NSW) https://t.co/6Bre2toSPY https://t.co/qo6GWB1e6C",Diond408
Wollongong,2020-11-28 10:31:51+00:00,1332633294358208516,"‘Empty Harbour’

By Nikos Laios 

https://t.co/opVix2YPcx

#poetrycommunity #poetry #fiction #literature #humanity #wisdom #humancondition #earth #pandemic #coronavirus #justice",NikosLaios
Wollongong,2020-11-15 20:27:30+00:00,1328072155641257985,"#ScottyFromMarketting the #LiarFromTheShire, and Angus Taylor, get caught abusing the COVID19 pandemic to line the #LNPCrimeSyndicate's pockets, again
https://t.co/Wqs3k9Q3LW",Quinny1S
Wollongong,2020-11-11 20:55:55+00:00,1326629755337105408,Tomorrow I’ll be speaking at the #WomenConnectGlobalSummit. Women are most affected by the global pandemic. The work we are doing for our sisters today will have consequences on gender equality for decades to come. Tune in live for the virtual summit: https://t.co/8KFMaJDDue,MichelleTCurry
Wollongong,2020-11-01 00:57:43+00:00,1322704337248821248,"Who would of thought a party that supports antivaxxers would lose votes in this pandemic era?
😳😳😳😳 https://t.co/tmxR0bhDdT",Bente_Andersen1
Wollongong,2020-10-30 22:11:02+00:00,1322300004246069248,"So, today’s election is between a state government who has kept the state relatively sheltered from the pandemic and the party that whinged and moaned about it... who will win?! #QLDvotes",mylesdavies
Wollongong,2020-10-19 12:20:00+00:00,1318164997130760194,FEATURE: Human Trafficking &amp; Exploitation - Risks Surge During Pandemic - US Embassy to Holy See Organizes Virtual Symposium Across Globe - ZENIT - English https://t.co/BMIlL7BzLo @KevinHyland63 @JohnRichmond1,immsollawyers
Wollongong,2020-10-14 04:58:26+00:00,1316241934273245186,Sir we are in a pandemic! https://t.co/lfUbZBMcYs,rubygboland
Wollongong,2020-10-08 01:16:32+00:00,1314011765697519617,@monica_clare1 You would think we had a pandemic or something,MickinGong
Wollongong,2020-10-06 05:23:25+00:00,1313349119679762433,@AlboMP Pandemic.,MickinGong
Wollongong,2020-10-04 16:33:40+00:00,1312793017107898368,@BastienFachan @drivevolleys Alpha/beta ... sure! It’s an opinion! Not an untrue assessment though! I don’t agree with everything Ben says but he’s a pretty thorough journalist! And Zverev has demonstrated through a year of the worst Pandemic in a century how selfish he is!,ozisobe
Wollongong,2020-09-28 23:30:32+00:00,1310723598873583618,I'm doing everything I can to stay optimistic - it's the best response to a pandemic https://t.co/eOOet0Apm3,immsollawyers
Wollongong,2020-09-28 21:19:07+00:00,1310690525163343872,"""It is very tough on travellers,"" he said, ""and my heart goes out"" to those who moved to Ireland before the travel caps that have followed the pandemic.
Mr Gary Gray The Australian Ambassador to #Ireland https://t.co/WFYtEVCCLh",immsollawyers
Wollongong,2020-09-28 21:14:00+00:00,1310689237998600192,"""It is very tough on travellers,"" he said, ""and my heart goes out"" to those who moved to Ireland before the travel caps that have followed the pandemic.
Mr Gary Gray The Australian Ambassador to #Ireland https://t.co/Ytg3ikh6wg",immsollawyers
Wollongong,2020-09-26 21:40:21+00:00,1309971095383019520,How has the pandemic impacted your teaching this year? #teach,MissWoodbury
Wollongong,2020-09-22 04:52:57+00:00,1308268021991890945,"@NewstalkZB Both Mike and Jacinda are under illusion. Mike thinks there is some perfect way of handling the pandemic, and Jacinda is oblivious that NZ economy is affected far more by global realities than by her government's action.",GideonKibret
Wollongong,2020-09-21 22:58:24+00:00,1308178796328095744,@AntarcticSF supporting #PhD #research in the face of the #pandemic. I am one of the lucky #grant recipients. Thank you for your support! 🇦🇶🌱 https://t.co/b6BubCqQT0,micro_clim8
Wollongong,2020-09-11 10:49:58+00:00,1304371602272862208,"Clearly health is not a priority for some - Cancer screening, heart attack and stroke presentations down in Victoria during coronavirus pandemic https://t.co/NoHZawWwnP",michael50lodge
Wollongong,2020-09-05 04:46:57+00:00,1302105920143413248,"@2KAY_90 @SamCucchiara9 @ACurrentAffair9 @9NewsAUS @9NewsMelb Your 100% right, the media gathering seems so over the top throughout the pandemic... like when they report on people not wearing a mask when they are standing in the same spot with no mask on. 🤷‍♀️🤦‍♀️",laurajmcdiarmid
Wollongong,2020-08-24 22:14:42+00:00,1298020939179806720,@elonmusk @NASASpaceflight SpaceX terrestrial venture will change the face air travel. This pandemic too shall pass we will take to the skys again. Won’t it be better to dramatically reduce flight time. That Sydney to London trip looks so inviting.,TeslaGong
Wollongong,2020-08-21 02:20:40+00:00,1296633287947870214,"@sn80 @AnnastaciaMP @nytopinion That’s the funniest thing I have read to date. I am not sure how you can compare Jacinta &amp; Annastacia. Jacinta managed the pandemic of a whole country and did it with out dividing the country, Annastacia has a diff rule for whoever can bring her money.",laurajmcdiarmid
Wollongong,2020-08-20 08:48:04+00:00,1296368391490375680,The time to close the gate is before the horse has bolted. The time to introduce Pandemic Leave is before the pandemic hits your workplace. https://t.co/TFkMXVrHuq,StephenJonesMP
Wollongong,2020-08-18 21:46:56+00:00,1295839624049258497,Is the Plaid Model S ETA affected by the pandemic shutdown?? @elonmusk https://t.co/ucJUP3v03y,TeslaGong
Wollongong,2020-08-14 04:00:31+00:00,1294121701194608641,"Quelle Surprise 😒
Health secretary Brendan Murphy rejects attack on government's handling of aged care during pandemic
https://t.co/R6JVwhandZ
via @SBSNews",mariewalsh18
Wollongong,2020-08-13 21:25:02+00:00,1294022174559240192,Pandemic! Got that pandemic! https://t.co/inCPE8vNPy via @YouTube,benjamingeddes3
Wollongong,2020-08-07 12:10:56+00:00,1291708402939224064,@TomBurkeDarwin @MadFckingWitch Your post assumes Hazzard is an asset as a Health Minister. He’s not - he’s an incompetent liability who in a pandemic crisis can’t answer a simple question and so infers @JodiMcKayMP should be caned like the kids he used to teach. He’s got to go immediately #FireHazzard @GladysB,MichelleTCurry
Wollongong,2020-08-07 09:13:13+00:00,1291663677758701573,"Physical distancing during a pandemic - modelled by those who tell the rest of us to physically distance. Interesting - I’ve clearly been doing it wrong keeping 1.5m between other adults and myself, and between myself and students, and asking my staff to do the same. https://t.co/D0qWCTWuvp",EllieDonovan
Wollongong,2020-08-02 08:18:21+00:00,1289837930387660800,"“The response of the #Nicaraguan Gov to #Covid19 pandemic has been perhaps the most erratic of any country in the world to date. Directly contradicting mitigation strategies recommended by WHO, President Daniel Ortega has refused to encourage any physical distancing measures. “",immsollawyers
Wollongong,2020-07-31 22:39:55+00:00,1289329974919352320,"Budget problems of an aging population and declining productivity haven’t gone away. They’ve got worse. 

The Morrison Govt looked for a shortcut in the pandemic response and has created a another world of pain for the next generation. https://t.co/WwNyvPsRLL",StephenJonesMP
Wollongong,2020-07-30 10:33:05+00:00,1288784673884143616,@e__l__l__a I have that like every other week. It’s awesome. Being a newbie to postgrad during a pandemic is A LOT.,teanielmarie
Wollongong,2020-07-30 08:51:39+00:00,1288759147048050689,@AnthonyLindley9 Hahaha - For even without a Pandemic....,mariewalsh18
Wollongong,2020-07-27 09:57:13+00:00,1287688486670106624,"It's a failure of regulation, that is putting businesses at risk - Hand sanitiser manufacturers warned not to breach rules during coronavirus pandemic https://t.co/6CELCpF5yL",michael50lodge
Wollongong,2020-07-27 03:11:18+00:00,1287586330822586369,"It's been BS since it started - Economic reform prompted by pandemic must improve lives of all Australians, not just privileged few https://t.co/tU5WZY8QLM",michael50lodge
Wollongong,2020-07-18 06:28:28+00:00,1284374458426253312,"@TimesTrivial @MyFirstCousin Hopefully, This Pandemic has 'softened' folk's attitude - as the Majority have become or close to, becoming Unemployed themselves. Business Owners, No longer are - &amp; are competing with their former Staff for the few jobs available.
The Truth of Tax% is ""Rainy Day"" money - for All",mariewalsh18
Wollongong,2020-07-18 01:48:38+00:00,1284304038217973760,"Fear causes hesitation and hesitation will cause your worst fears to come true due to the pandemic.
#COVID19 https://t.co/RQw4iH3FPv",babroadhead
Wollongong,2020-07-17 20:43:33+00:00,1284227259608346624,"I'm stoked to announce that I am joining the team at @Oracle  building apps to help with the pandemic.  DBA, Consultant, Support, InfoSec, APEX.  Now development. Excited to join @dmcghan @sspendol @DougAGault and more @oracle #orclapex",milobandit
Wollongong,2020-07-15 13:08:26+00:00,1283387952488345600,"@nick_kapur @8510samj Phew....thank god the Pandemic is now OVER 🥳
No New Cases reported &amp; all those Dead Folks - 'natural causes' 😍",mariewalsh18
Wollongong,2020-07-13 12:29:43+00:00,1282653432730402816,"@LouDobbs @realDonaldTrump Mr president you’ve done nothing but lie, you’ve lied to Congress about your collusion with Russia, you lied about how serious the covid pandemic is you should be in prison",MccannSumon
Wollongong,2020-07-08 10:22:27+00:00,1280809463763484676,"@ICCBelgium @ICCSecGen @iccwbo @wef The pandemic has also highlighted the immense social, economic &amp; innov’n value &amp; contribution of micro-small enterprises of the informal economy. Beyond a welfare concern, they shd be economically optimised, included &amp; formalisation is not the only response @APECBiz @jcfparrenas",MichelleTCurry
