City,Datetime,Tweet Id,Text,Username
Adelaide,2020-03-10 12:05:49+00:00,1237348933849870337,Shoutout to everyone making progress that no one recognised because you never let anyone see your darkest moments I see you and I’m so so proud of every little step your making in the right direction ❤️ #Mentalhealth #WordsOfWisdom,officialmatty00
Adelaide,2020-03-10 09:01:14+00:00,1237302483673726976,"@pseudofijian @hockeyloversim @angry_kpra Correction. The ED IS NOT the place for such presentations. Acute behavioural emergencies such as delirium, psychosis, withdrawal yes. Other mental health issues need to be seen at SGH as outpatients",AnuraagSharmaMD
Adelaide,2020-03-10 03:05:50+00:00,1237213041885728768,"@bykemp @ashleyHnttw Trump has mental health issues. This has been highlighted over time. So the term “nut case” is correct in this tweet. 

And it shows you are trying to deflect from Murdoch’s rule. It’s ok.",Kymbo82_SA
Adelaide,2020-03-09 01:34:08+00:00,1236827578712739841,"@aurynn 💙💙💙💙💙

I have this problem when I'm taking breaks from things to allow my mental health to recover.

It's... counterproductive.",ExcitedLeigh
Adelaide,2020-03-08 01:26:34+00:00,1236463285559410688,"@tveastman If you're curious how good SAPOL are at dealing with mental health issues, not long ago I learned that if you are hyperventilating between fearful glances at them and screams of ""MAKE THEM GO AWAY, GET THEM OUT OF MY HOUSE"" they... go further into your house.",ExcitedLeigh
Adelaide,2020-03-06 07:48:01+00:00,1235834507158097920,"i usually upload these kinds of videos where i talk about issues (e.g: mental health, social media toxicity) on my instagram! follow me on instagram @qistinazainal17 for more videos if you’re interested! ✨",qistinazainal17
Adelaide,2020-03-05 01:41:58+00:00,1235379997012983808,"@MayneReport @JoshFrydenberg $50 a week for newstart, oz study &amp; increases for pensioners. Every cent will go straight back into the economy and numerous mental health/ anxiety levels will reduce",sbthatsme123
Adelaide,2020-03-04 14:53:15+00:00,1235216744899153921,"I've uploaded a new video up on my @YouTube channel 
#smashbox #Mentalhealth #YouTubers #Review #foundation #makeupartist #Subscribe
https://t.co/Bu1MBiUpmK https://t.co/eUYtXcTwTy",lipstick_queen8
Adelaide,2020-03-03 22:41:06+00:00,1234972094158405633,@Emiily_Jane3 I took a mental health day last week,SouthOzJohnny
Adelaide,2020-02-28 23:31:31+00:00,1233535229572218881,@drlindagraham @stukitto @dzyngier @Smithre5 @edu_sagov @PamelaSnow2 Evidence for what? Where's your data on how these help teacher and student wellbeing or mental health?,AdamJFitzgerald
Adelaide,2020-02-28 12:43:49+00:00,1233372230513459202,"For any Australians suffering with mental illness #MentalHealth #MentalIllness #MentalHealthTextLine #Lifeline lifelineaustralia #LifelineAustralia #Depression #Anxiety @ Glenelg, South Australia https://t.co/EjRVyarDD2",Tommy_Gunn_Sixx
Adelaide,2020-02-28 06:37:29+00:00,1233280039908601858,Hey Adelaide 👋 I’ve had a great time visiting the past few days to help promote the @SANEAustralia &amp; @Psychunimelb #OurTurnToSpeak survey explores issues of stigma and discrimination in #mentalhealth Learn more: https://t.co/13MOzzVnq2 https://t.co/72jYU5lVB1,Lisaannesweeney
Adelaide,2020-02-27 23:13:59+00:00,1233168429592350721,"I’m recalibrating how I use Twitter.

I’ve spent years following accounts that I feel obligated to so I can be informed and aware. This has brought me nothing but heartache and increasing strain on my mental health.",voxael
Adelaide,2020-02-27 09:11:31+00:00,1232956417566375936,"Took a mental health day today, first ever.
Seriously considering my role, or if I still want to be there at all.",SouthOzJohnny
Adelaide,2020-02-25 03:35:20+00:00,1232147037090529285,"Pretty amazing location for my next meeting, the potential merging of #arts and #mentalhealth research 

#thinkoutsidethebox @SA_Film @OramaMH @Flinders https://t.co/ZbQpTUpPhu",DrMelMcD
Adelaide,2020-02-24 06:16:16+00:00,1231825150468751360,Result was a $5.5billion REAL increase in #mentalhealth funding - 20% off the base. The only increase in real terms in 30yrs. The rest is a series of press releases about very little of substance. Howard &amp; Iemma were serious. @GregHuntMP @Bowenchris https://t.co/UJn4NvsB7k,johno0910
Adelaide,2020-02-24 06:06:56+00:00,1231822801171931136,"@PhoenixButtefly @OddemocracyA You have to apply to different org. to get help as NDIS is set up for disabled people not mental health, still trying to get what l need.",SteveDewhirst1
Adelaide,2020-02-23 06:58:29+00:00,1231473384619421697,"Day one of 500km running challenge in support of TWO amazing charities - Livin &amp; Beyond Blue, breaking the stigma of mental health @beyondblue  @livinorg #itaintweaktospeak #breakthestigma #500km Only 494km to go 😂 https://t.co/cFqGPSAoNd",ZivileUseckaite
Adelaide,2020-02-22 08:21:47+00:00,1231131961290186752,"Here's a thing. Let's stop wondering if an arsehole/rapist/pedo/murderer would have done *the thing* if they had better access to mental health help. It excuses them, and creates more stigma over others with mental health issues.",totallyawry
Adelaide,2020-02-22 03:48:40+00:00,1231063227171135489,@HorusKairos @criprights Mental health was only reported if included in court documents.,jaymar1012
Adelaide,2020-02-20 08:02:17+00:00,1230402278353276928,Greg Hunt: Stop cuts to holistic mental health care https://t.co/x3lh9CUNIf via @ChangeAUS,sbthatsme123
Adelaide,2020-02-19 21:56:40+00:00,1230249870398607360,"The use of #datametrics to determine #mbs patterns and compliance is fraught with complication, forgetting demographics and patient needs. Targeting #mentalhealth and the #GPs who support these complex patients is NOT in the community’s interest @RACGP https://t.co/SlWWee07ut",Dr_EKirkpatrick
Adelaide,2020-02-16 10:39:08+00:00,1228992197141258240,@HunterMezher I did it but not without consequences to my mental health. Then had to take a year off. If there’s anything you need... holler loudly.,di_gillard
