City,Datetime,Tweet Id,Text,Username
Adelaide,2020-03-09 01:23:40+00:00,1236824943913885696,"My only option for dressing and not hating my body and how I look is being visibly transgender. My only option for getting from A to B in any reasonable timeframe is a bicycle.

When one of your depression triggers is ""everybody hates you"", this is not a good combination.",ExcitedLeigh
Adelaide,2020-03-07 09:16:45+00:00,1236219222960689152,"My brain - I see we’re spiraling into depression

Me - Yup

My brain - You know a funny thing I’ve noticed about our friends?

Me - Please, no

My brain - We’re initiate all interactions with them

Me - ...

My brain - If we didn’t force it, they wouldn’t speak to us at all

Me - https://t.co/bpZbOvdDoy",voxael
Adelaide,2020-03-06 15:18:51+00:00,1235947963110711297,not to be dramatic but my depression wouldn’t be a thing if i got to see niall and 5sos this year,sparkIesza
Adelaide,2020-02-28 12:43:49+00:00,1233372230513459202,"For any Australians suffering with mental illness #MentalHealth #MentalIllness #MentalHealthTextLine #Lifeline lifelineaustralia #LifelineAustralia #Depression #Anxiety @ Glenelg, South Australia https://t.co/EjRVyarDD2",Tommy_Gunn_Sixx
Adelaide,2020-02-27 00:17:44+00:00,1232822086298525697,"Sitting in a deserted park during the day after two weeks struggling with depression is nice.

Almost recaptures the feeling I used to get at 14 when me and my mates would go drink in a playground at like 3am.",voxael
Adelaide,2020-02-12 00:46:13+00:00,1227393436723994624,@jamesmcintyre55 @WWEAleister Thankyou so so much brother &amp; I am so sorry about your dad &amp; depression.... if you ever need I’m here to talk ❤️,PeterSheenPana
Adelaide,2020-01-27 14:12:07+00:00,1221798041927110656,@DeadKennedyInS1 I could say some things to make you feel good for a moment but I won't. You know what you need but attainment is hard when you can't reach the shelf. Be strong my friend you are brilliant and don't let the cloud of depression be an ass.,couley69
Adelaide,2020-01-27 07:48:43+00:00,1221701553620258816,A #JBIES systematic review finds strong evidence that mHealth interventions that specifically target #PostpartumDepression can improve maternal depression scores over time @JBIEBHC #EBHC : https://t.co/Urc1SFA9yd,CraigSL01
Adelaide,2020-01-22 09:38:37+00:00,1219917271390289920,@Dusty_Bs @theFledglings @bethbarlow @mememe10101 @Alyssa_Milano The Obama administration confronted the worst economic crisis since the Great Depression when it initially took office. It passed a massive stimulus package in February 2009 to jumpstart the economy - and it was successful.,snish04
Adelaide,2020-01-22 07:02:43+00:00,1219878038768439296,I'm pretty sure I was born 20 yrs too late. (Although I'm rather glad I missed WW2 and the Depression) Everything about the 1940s intrigues me and speaks to my heart. This Australian Pyrex Jade green delphite glass… https://t.co/wAy2lcXXL3,jessabellainoz
Adelaide,2020-01-18 23:13:24+00:00,1218672769841258498,"@bryce0800 #itsokaytotalk,  taking time out when your feeling down can also be good, but talk thru things. Depression is a bitch especially when we think wtf am I like this for. Xxlove Aunty Tullula https://t.co/TultacpRDb",BrockPhillips12
Adelaide,2020-01-18 04:02:37+00:00,1218383164596310016,Wild how much better my sleep and mental health are when my room is clean and wild how I only do it every… 5-6 months? Depression can eat my whole ass,snaxolotl
Adelaide,2020-01-08 06:44:12+00:00,1214799947905634304,@TheCalebBond @theTiser You clearly didn't have parents that lived through the depression and WW2. What an inane senseless comment.,GroverCrasty
