City,Datetime,Tweet Id,Text,Username
Central Coast,2020-03-05 11:46:40+00:00,1235532175333666823,When pregnancy anxiety and sleeplessness are high don't read about baby's first week just before bed 😬. #NoSleep #muchfeeding #poop #baby https://t.co/1tqfTuCxsU,abstalavista
Central Coast,2020-03-01 21:25:48+00:00,1234228369589334016,"@dustinpari Than to keep letting them use my mental/psychological illnesses (such as PTSD, severe social anxiety, with a constant fight response instead of flight) to harm others into doing what the government wants. It’s ridiculous what they’re doing, and I’m not the only one it happens to.",Missxstatic
Central Coast,2020-02-23 08:05:54+00:00,1231490350377656320,When my anxiety is taking over while in line well this has a going to be an interesting night,KaylieMNewman
Central Coast,2020-02-23 02:04:07+00:00,1231399304373231616,"@mel_giancarlo @naomirwolf Not just scientists. I learned about CC at uni in 2001. Since then watched the world dither, anxiety growing each year. Now I'm awake every night at 3am worrying about how my children will cope with a dying biosphere with full blown depression and grief over what society has done",JaneoOakley
Central Coast,2020-02-20 05:22:23+00:00,1230362039626813440,@jmaybay @Chrishell7 I know right. There’s a walking track I walk along with a little bridge &amp; one day there was all these black crows sitting on the bridge 🦅 major anxiety ensued 😱😱😱😱 https://t.co/xOX3xSssFr,NaomiCranfield1
Central Coast,2020-02-19 05:53:27+00:00,1230007468610031616,@stjohnnnn Wow that person has clearly never experienced anxiety.,caitorlena
Central Coast,2020-02-10 20:56:24+00:00,1226973212480802816,"@Ausgrid Any update on Wyoming?
We have three kids, one of which suffers severe anxiety. Just a general ""plan for the week"" doesn't really suffice when trying to deal with emotional meltdowns of a child. 
48 hours now. Frustrating when houses literally around the corner have power.",itsAJBack
Central Coast,2020-02-09 11:24:41+00:00,1226466948185120768,"My anxiety won’t shut up to finished this earlier then expected, @deadcreye 🤙🏻💕 https://t.co/zCiNZdBilN",oomanagarcha
Central Coast,2020-02-05 05:08:12+00:00,1224922649094053889,"@brokemycoccyx As someone with anxiety and panic disorder, I can relate, and I'm sorry you had to go through one. People can never appreciate the severity of a panic attack until they experience one themselves. ❤",rputland
Central Coast,2020-02-04 07:49:17+00:00,1224600798937567232,"We live in a world of abundance 

With a scarcity mentality

We are able to meet most needs easily and simply. 

Yet we always craving the next things 

No surprise why depression and anxiety are at a all time high",Rewired_Mindset
Central Coast,2020-01-26 03:08:05+00:00,1221268545461354496,"@vissersixxx Will you marry me? I ask not just because you're bombshell gorgeous and intelligent as all fuck but equally so because of my undying love for maple syrup. I can offer you a wild time that comes with being with a paranoid schizophrenic with ADHD, anxiety &amp; panic disorder. 🤔",rputland
Central Coast,2020-01-07 08:11:01+00:00,1214459408802926592,"had a great night last night, a great interview today and now i’m riddled w anxiety and feeling hopeless, useless and depressed - and then feeling guilty about that bc of everything that’s happening in the country.",jacksonlangford
Central Coast,2019-12-27 02:45:32+00:00,1210391230720331776,@rainamullen (Works for anxiety),networkjanitor
Central Coast,2019-12-25 00:25:24+00:00,1209631191869120512,This puts my anxiety through the roof! https://t.co/LWZ9zhPdIr,MrWJWilson
Central Coast,2019-12-03 22:57:48+00:00,1201999000682954758,Having to work really hard to control my anxiety and PTSD flashbacks seeing all this smoke around me... '94 and '97 really weren't that long ago... #anxiety #PTSD #livingwithanxiety #livingwithMS #mslife #aussiesummer2019 #NSWbushfires https://t.co/taPexvnMBV,RHeap_1
Central Coast,2019-11-29 09:05:58+00:00,1200340113361735680,"@ozcjr Eh. I was using it to solve my anxiety issues. So solution for me was for to get rid of it all together because I can't be trusted. Haven't really missed it though, which is good!",xCarlyMelissa_x
Central Coast,2019-11-25 20:38:50+00:00,1199064924485382144,"Pro: Theo did his first wee on the toilet. 

Con: I got so excited and screamed, he screamed and had an anxiety meltdown that last 20 mins and now I fear he will never wee again. 

🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️",xCarlyMelissa_x
Central Coast,2019-11-16 07:46:43+00:00,1195609125918347264,@JJRossReaders @Cali__sun This is a serious issue for us anxiety riddled men. One the one hand you're panicking to death that it's been a while and you don't wanna blow your load early when you finally see her (or his) hot naked ass but on the other you worry about panicking too much you lose your wood.🤔,rputland
Central Coast,2019-11-15 22:38:55+00:00,1195471267031183360,"@jacked_uptruck @CrazyAF_ButCute My only adventures out of my house are to doctor's appointments and the ice-cream shop (some people refer to it as a grocery store, but there's only one thing worth buying). Not my best life. Fuck schizophrenia and social anxiety right up the ass. 😔",rputland
Central Coast,2019-11-15 22:26:40+00:00,1195468184565846016,"@contradiction70 Yeah true, but due to my super duper crazy social anxiety and shyness, I still prefer to communicate via my phone even in person so as to avoid eye contact as much as possible. 😔",rputland
Central Coast,2019-11-14 21:41:11+00:00,1195094349933092865,Who I needs #anxiety attacks when I'm soon to have a 6 hour deep tissue massage at 10 with my #ink #bae estelletattoos ? Keen!  #tgif got the #tattoo #handbag out &amp; all n_n @ Charlestown Square https://t.co/u0t48T3PZH,Shazbot333
Central Coast,2019-11-14 10:01:38+00:00,1194918302725763077,My youngest son has just completed year 12 after losing his brother when he was 11 hwas just 17 I am so proud of him he has missed 1/3 of the school days with his anxiety but will be awarded an academic achievement award for his pure intelligence 500 kids in the school ❤️,k_ponga1
Central Coast,2019-11-13 04:20:19+00:00,1194470019251367936,"@AlphaAntonAU Yeah nah same, I’m always overwhelmed at how big my dick is!
.
.
.
For real tho I do get overwhelmed and worried time to time about things and having an anxiety makes it a lot worse too so it’s ok man I feel you ❤️ ever wanna talk, I’m here",tommyfroggy_
Central Coast,2019-11-13 00:06:51+00:00,1194406233245016065,"@jessineave They know what’s going on and they say that if it gets bad, I should call the company they work for and they will sort something out. I probably shouldn’t be stressed because enough people know what’s going on but anxiety is a bitch!",BlindFury_5428
Central Coast,2019-11-11 00:16:44+00:00,1193683945189044226,@yrotftw @MaraWilson Yes! I was obsessed with the B triangle and Nostradamus when I was little. Made myself sick with anxiety. Those were the days.,JenfaScep
