City,Datetime,Tweet Id,Text,Username
Central Coast,2020-02-23 02:04:07+00:00,1231399304373231616,"@mel_giancarlo @naomirwolf Not just scientists. I learned about CC at uni in 2001. Since then watched the world dither, anxiety growing each year. Now I'm awake every night at 3am worrying about how my children will cope with a dying biosphere with full blown depression and grief over what society has done",JaneoOakley
Central Coast,2020-02-12 23:08:28+00:00,1227731221666390018,"@Dundle1 @_Vs_The_World And, given the contextual/spoilers ending, it's something Arthur would have learned/experienced as group therapy. Or is still receiving.

Apart from time/clocks being way off, it's also possible that Arthurs mother didn't have abusive boyfriends, ""all"" imagined vis. PN depression",toliman
Central Coast,2020-02-07 06:58:58+00:00,1225675301482450945,Bush carpentry skills on bell-cote shelters by #Depression-era unemployed relief c1930s #bobbinhead @ Ku-ring-gai Chase National Park https://t.co/gGV0PEkWyd,POCarch
Central Coast,2020-02-04 07:49:17+00:00,1224600798937567232,"We live in a world of abundance 

With a scarcity mentality

We are able to meet most needs easily and simply. 

Yet we always craving the next things 

No surprise why depression and anxiety are at a all time high",Rewired_Mindset
Central Coast,2020-01-28 03:49:27+00:00,1222003728225468416,A new tenant thanked me today and openly said “I suffer from deep depression”. ❤️ All tenants got a new takeaway wooden pallet box herb gardens &amp; Local kids want to see who’s Seedling 🌱 “grows the fastest”. @ruokday #SpeakUp #woodenpallet #smile https://t.co/qk9tYCjhco,BrendenMoore29
Central Coast,2019-12-27 05:35:26+00:00,1210433989153943554,"Can people stop self-diagnosing themselves with mental illnesses such as OCD, depression and anxiety already? I'm getting sick of it.",stseraphine
Central Coast,2019-12-25 21:51:35+00:00,1209954868422557696,"@beachcrazy70 @TimDownie1 @BarryWaldo @jongarysteele Thanks Susan! Insomnia for both of us &amp; some depression for my husband, anger initially for me then resignation 
I’ve been very busy recouping enough of what we’ve lost to make us comfortable &amp; settling my Dad",KiwarrakRailie
Central Coast,2019-11-25 01:27:57+00:00,1198775297027362816,"@ToomeyWright The pedantic amongst us will hold fire, “woke” as we are. Look after yourself ETW. I’m sorry you are in pain. Mr Basket might make you a 🍋 meringue pie 🥧 again. I think there is a general national depression also about the DELIBATELTy (see, typo) lit 🔥 fires. It’s affected me.",suzatzka
Central Coast,2019-11-05 04:55:37+00:00,1191579800214786048,"Not only is it Melbourne Day and Guy Fawkes, but today, is the anniversary of the day I said goodbye to my Uncle to depression. My sister and I miss him so much and always had the best times with him. https://t.co/rmdY79nO9i",YahHugh
Central Coast,2019-10-09 06:15:46+00:00,1181815496657661952,"The countdown is on for the end of the year but something has gotten me into a bit of funk, and I can’t figure out what it is. As I’m sitting here now trying to think what’s going on, I could help but wonder, is my depression setting back in ? https://t.co/USQjIvdbuK",YahHugh
Central Coast,2019-09-19 02:42:30+00:00,1174514071955103745,@ValksyLG I was wondering today what an accurate mathematical statistical probability of being born into a human conciousness vs never existing and I imagine the odds could likely be off the charts in a monumental way. This just added to my depression by acknowledging how cursed I am.,rputland
Central Coast,2019-09-16 08:57:36+00:00,1173521302126116867,Thank you Anita ♥️ so brave of you to talk about this at such a heartbreaking time for you and your girls. Conversation &amp; discussion is so key to inform everyone about depression &amp; mental health and hopefully help others and save lives ♥️♥️♥️ https://t.co/AAjF67PXF4,NaomiCranfield1
Central Coast,2019-09-11 23:05:21+00:00,1171922707606208512,"@marino_angie Thank you Twinster ♥️ as you know this is one very close to my heart ♥️ After having a few of my loved ones struggle with depression &amp; mental illness, education, observation &amp; conversation are so important in helping people deal with their problems &amp; adversities #RUOKDay2019",NaomiCranfield1
Central Coast,2019-09-07 05:04:48+00:00,1170201225972703233,"@maxtheautist I have gone in the opposite direction and my outfit of choice is tracksuit pants and loose fitting t-shirts so I'm comfortable in any situation. It works well for me because I've lost all self-respect and self-worth. Clinical depression and anhedonia make ""effort"" really hard. 🤔",rputland
Central Coast,2019-09-06 14:40:23+00:00,1169983688727134209,"@maxtheautist Totally agree with you on that. I've had depression, anxiety, panic disorder, suicidality, OCD &amp; ADHD my entire life and then schizophrenia developed six years ago. It's a minute by minute challenge.",rputland
Central Coast,2019-08-29 10:55:15+00:00,1167027931509489664,"@bdawks39 I went thru a few years of depression &amp; still get anxiety attacks, a few times a year. Being confident you will be ok soon, is great.",paullyfromaus
Central Coast,2019-07-30 09:30:11+00:00,1156134884332560384,Thank you for telling your friend’s story. I lost my sister to suicide 28 years and 3 male members of my family have batted severe depression &amp; anxiety. The conversations are hard &amp; painful but so important to have #MentalHealth #SuicidePrevention ♥️ https://t.co/V02mqaUWr1,NaomiCranfield1
Central Coast,2019-07-03 10:42:48+00:00,1146368690608197633,*deletes a tweet then puts it straight into the depression folder of my notes app* the people simply aren't ready for nuanced sadness! We shall feed them comedy and horny posting as such,theorywife
Central Coast,2019-07-03 04:58:19+00:00,1146281994646675458,Every employee at the reject shop looks like they have a form of extreme depression I could never even begin to comprehend,theorywife
Central Coast,2019-07-02 05:53:52+00:00,1145933589093052418,@thiccmatisse @weefrenchcow I WISH... My depression stays in the ass,theorywife
Central Coast,2019-06-28 04:45:57+00:00,1144466943098806273,"What a privellege to be part of the development of this important program for those supporting a loved one with depression and/or anxiety. So humbled to hear the stories of courage, resilience, and hope. Thanks to @mhcnsw for the funding to record these stories https://t.co/x1AIclqnfc",ProfFranKayLamb
Central Coast,2019-06-26 19:12:19+00:00,1143960197724905472,"Alanis Morissette on Pregnancy at 45, Childbirth, Postpartum Depression, and #MeToo https://t.co/2DM4NQCk1T via @SELFmagazine",alexmorriswrite
Central Coast,2019-05-28 09:29:42+00:00,1133304331032092673,"@MichaelPhelps Thank you so much for sharing ❤️ it takes not only incredible strength and courage to reach out for help but also to speak out about it. In Australia, 1 in 7 men aged between 17-24 will suffer from anxiety &amp; depression. The more we talk about it, the lesser the stigma 💙💙💙",NaomiCranfield1
Central Coast,2019-05-19 04:49:01+00:00,1129972201929601024,"#Puppies help keep you active &amp; expand your social life, or so I’ve heard:

Meet Aslan!

They can have positive #health impacts on hypertension, infection control, allergies, #stress, blood pressure, psychological issues &amp; help manage #depression.

+ just make you feel good! https://t.co/gDr7qJgmtB",DrWilso
Central Coast,2019-04-21 22:58:37+00:00,1120099548582387712,"@UON_research, we are studying whether our online programs can help #Australian ex-service personnel with feelings of #depression and #alcohol use. If you know any #Veterans aged 18-45yrs or are one yourself, please join our free, private study https://t.co/EdpQz5NVfa #AnzacDay",ProfFranKayLamb
Central Coast,2019-04-21 22:49:44+00:00,1120097313525866496,"It is distressing to hear how common #suicide is among US #Veterans https://t.co/5bLM71Pvrl. For #Australian ex-service personnel, help is available BEFORE it gets to this point.  Join our @UON_research trial https://t.co/EdpQz5NVfa #AnzacDay #depression #alcohol #gethelpnow",ProfFranKayLamb
Central Coast,2019-04-21 01:23:17+00:00,1119773568814833665,"@victorsojo @australian Absolutely spot on👍
A workplace with a negative ""culture"" is bad for mental health in that it only fuels the anxiety and depression that some people are prone to. I worked in one for a few years where the factors you mentioned prevaled and over time it just wears you down.",hecivan70
Central Coast,2019-04-18 04:09:46+00:00,1118728300027764736,"PM says there are 43k fewer unemployed since they came to power. As that was six years ago when the world was recovering from GFC, which they say was only second to the great depression.  Not great effort from where I sit. #auspol",fehowarth
Central Coast,2019-04-10 21:43:53+00:00,1116094476487815168,Excuse me but who decided that depression should be called the black dog? Has anyone ever known a dog who is out to do anything other than love you and make your life better? My real life black has nothing in common with my internal one. Cats on the other hand...,HanLammyB
Central Coast,2019-03-27 10:51:40+00:00,1110856910910033920,"@bdawks39 @DrTardisBox I’ve been there. I had a few yrs of deep depression. I hope you have access to the support of people like I had if things get too tough. My best friend, &amp; his family, did more for me than I will ever be able to repay. Family were good, but he’s closer to me than all but my wife.",paullyfromaus
Central Coast,2019-03-24 05:02:43+00:00,1109681929903730688,@LesStonehouse Could be most were born in the aftermath of the Great Depression &amp; WWW2. We were fully aware of where the extreme right wing takes us. Drilled into us that our democracy is fragile.  We must be always be alert.  #auspol,fehowarth
