City,Datetime,Tweet Id,Text,Username
Central Coast,2020-02-21 22:32:31+00:00,1230983668287467521,How do we 🇦🇺 safeguard our children and young adults from this increasing evil of suicide. Last night I was informed of yet another tragic death and I do hope that I didn’t intrude by sending condolences. But this problem of suicide and it’s causes has to be addressed. Speak up🇦🇺,chrisca54503109
Central Coast,2020-02-01 03:32:57+00:00,1223449127079550976,Check out positivetshirts16 doing great things to help prevent youth suicide. They have a great range of clothing with profits going towards programs and camps in schools as well as training volunteers to assist… https://t.co/bcC4Em7SO0,Thebadge72
Central Coast,2020-01-29 06:25:00+00:00,1222405263036055552,@Peter_Fitz Thank you Peter for taking up this fight on behalf of children trying to figure out who they are. Biggest lesson from Nanette for me was we teach kids to be homophobic. Those who turn out to be gay then hate themselves. No wonder suicide rates are so high. #LoveandCompassionRule,JaneoOakley
Central Coast,2020-01-26 04:14:29+00:00,1221285254717009920,"@DitzMcGeee Please take it from someone who has attempted suicide over 20 times during their life, died on 3 of those attempts, and survived a week long coma during 1.. that suicide is not the answer. I get suicidal at times but there's too many kind people I don't want to hurt, like my mum.",rputland
Central Coast,2020-01-22 23:49:43+00:00,1220131460100706304,"@ValksyLG If Bernie Sanders isn't the next President, I'm taking my bat and ball and joining ISIS, so I can infiltrate one of their cells, blow myself up, and take as many of them down with me as I can. At least then I won't feel like I wasted my suicide..",rputland
Central Coast,2020-01-14 23:36:07+00:00,1217228935328518144,@vissersixxx @TaylorGelbrich Same reasoning behind the nurse in the hospital after I attempted suicide said because I was on disability for mental illness I shouldn't be allowed to have a nice phone or live in a nice house. True story. If I ever saw that nurse again I'd throw her in a woodchipper. Also true.,rputland
Central Coast,2020-01-13 07:42:08+00:00,1216626469100650496,@HCondely I am now feeling very sad for one of the people who was involved in this incident at the library it was reported one of them has died. In not suspicious circumstances does that mean they have committed suicide? 🙁😢 @blackdoginst @Headspace,meekjulie
Central Coast,2020-01-12 22:19:55+00:00,1216484980185919489,"@garydmclean Funny you should mention that. I was just reading Malcolm Gladwell's Talking To Strangers where he points out that the suicide rate is almost ten times higher amongst poets than any other literary profession. So yes, I have actually. You should read my teenage years. Dark stuff😕",rputland
Central Coast,2020-01-10 08:04:54+00:00,1215545033681588225,"@GovEvers 
You had very poor judgement &amp; poor decision in Brendan Dassey's Coerced Confession,Wrongful Incarceration BUT you can change that.
You have the power to do what you know is right.
It may be political suicide but would you rather know you did right by an innocent? https://t.co/heWPnLp6VQ",MidMulPenn
Central Coast,2020-01-02 03:15:02+00:00,1212572985275453440,Going to call out #ScottyFomMarketing's BS once again. Kids are now more pessimistic about their futures than ever before. One only has to look at the high incidences of youth suicide to acknowledge that something is not right but hey keep going with the smokescreens and mirrors https://t.co/wc72w5WlUc,hecivan70
Central Coast,2019-12-23 01:59:51+00:00,1208930185401159680,In the @couriermail today. “Many veterans and RSL branches are calling for a royal commission into veteran suicide. They’re sick of losing former comrades to suicide. I’m aware of four lost this last week alone.” #auspol https://t.co/CRNEI6KbRp,LukeGoslingMP
Central Coast,2019-12-20 10:05:51+00:00,1207965326178160640,"This is a hard time of year for a lot of folks. 

Samaritans Suicide Hotline 116 123.

A simple copy and paste might save someone's life. 

Would 3 Twitter friends please copy this text and post under their own name? Pass it on.",LegacyFlan
Central Coast,2019-12-20 09:19:05+00:00,1207953556050890752,"Hard time of year for a lot of folks. Suicide Hotline 116 123 (Samaritans) A simple copy and paste might save someone's life. 

Would 3 Twitter friends please copy this text and post under their own name? Pass it on",reallyfatmac
Central Coast,2019-12-14 09:14:10+00:00,1205777995161423872,This is probably my all time favourite Nietzsche quote. It has quite literally gotten me through many a bad night. #suicide #suicidepreventuon #suicideawareness #mentalhealth #mentalhealthawareness #mentalillness… https://t.co/sph2DY1W9W,rputland
Central Coast,2019-12-13 13:15:00+00:00,1205476213516460033,@fras99 Why do you think they made the Space Force? They killed Santa already because they mistook him for a jihadist intercontinental suicide bomber. That's why so many kids don't get presents anymore. Not because of the horrors of runaway capitalism! That's what I heard. 🤔,rputland
Central Coast,2019-11-23 05:11:25+00:00,1198106756829696000,"This is indefensible 
#CW discusses suicide &amp; abuse. 
Verity I'm so, so sorry 
#NDIS https://t.co/98aLwd68jB",gillyminn
Central Coast,2019-11-16 01:39:02+00:00,1195516593867902976,suicide bes https://t.co/ZaySWWyTC3,janinemntflcoxx
Central Coast,2019-11-05 15:45:47+00:00,1191743420110237696,How very surprising! Obvious to anybody sane it was not suicide. Cover up. https://t.co/wLmptIbtYS,suzatzka
Central Coast,2019-11-01 19:50:24+00:00,1190355427638165504,"Important we look at trends in Aus for uni students 

Ping @aihw CG Moran suicide surveillance study, also @headspace_aus @chatsafe_au @orygen_aus @JoRobinson_Aus @ReachOut_AUS @KidsHelplineAU @eSafetyOffice https://t.co/jVs8h3OrmE",MarcBryantAu
Central Coast,2019-10-31 23:42:26+00:00,1190051432159797249,"Great news @EverymindAU research

1: @LifeinMindAU lead @s_pont involved in the @MyfMaple bereavement study

2: @EverymindAU carer project lead @DrSally_Fitzpat leading suicide prevention research project re carers/partners of those who attempt/die by suicide

@RosesInTheOcean https://t.co/hpkEM4BtxG",MarcBryantAu
Central Coast,2019-10-30 09:16:42+00:00,1189471176747180032,"@withMEAA @DartCenter Great resource supported by @MindframeMedia 

They (with @dartian1 ) led our self care resources for journos exposed to repeated #suicide stories https://t.co/GaSQyf01vd",MarcBryantAu
Central Coast,2019-10-27 06:01:30+00:00,1188334888828592129,@BlachiKarim @Bilowzki23 @DeanRosario Seeing other reports that he blew himself up with a suicide vest. Funny how they had reportedly withdrawn their forces but now this latest development all of a sudden happens😉,hecivan70
Central Coast,2019-10-24 10:24:21+00:00,1187313873751175173,"Love this term by Nicholas : we are all ""Suicide Prevention Citizens"". Inclusive. Equity. https://t.co/E7HdMDPw14",MarcBryantAu
Central Coast,2019-10-23 20:13:16+00:00,1187099692187807744,"What a great pan panel with @IASPinfo Aus rep Nicholas @MHResearchUniSA , LE stalwart Jill Chapman from MOSH, Indigenous MH advisor Ian, and suicide prevention champion @JohnDawkinsMLC 

Understanding and navigating Grief and loss is vital for post vention

Ping @MyfMaple @s_pont https://t.co/Uu2dSdcD7S",MarcBryantAu
Central Coast,2019-10-19 01:09:41+00:00,1185362350389415937,@suevmurray Thanks Sue. Looking forward to being part of Zero Suicide work too,MarcBryantAu
