City,Datetime,Tweet Id,Text,Username
Gold Coast,2020-03-10 09:13:00+00:00,1237305441920548866,@ThePeterssons Yes. Rising above it. Causing me anxiety  a little tho I have noticed,BeachGirlJan
Gold Coast,2020-03-06 03:49:05+00:00,1235774374835376128,@Avalanche100T I made two weeks without biting my nails (major anxiety) its been atleast 5years since I started biting them and im so proud of myself.,mtherofdoggos
Gold Coast,2020-03-06 01:18:13+00:00,1235736410356723712,@atensnut I can understand that Bill because looking at Hilary there would be no anxiety😜can we really believe Bill coming from a man who LIED straight into camera to the American people.,millpop2
Gold Coast,2020-03-05 22:10:16+00:00,1235689110196482048,"Anxiety focuses our attention on short-term survival, which takes focus away from long-term growth. https://t.co/0sFepryfWS",Expat_Aussie
Gold Coast,2020-03-05 22:09:48+00:00,1235688994416939008,Anxiety has gone up 25% in the last 30 years. What is this doing to our brains and bodies? One consequence is that we’re more likely to misinterpret other people’s emotions. https://t.co/0sFepryfWS,Expat_Aussie
Gold Coast,2020-03-05 22:09:09+00:00,1235688828905459712,"Our stress response system evolved to deal with stalking tigers, not sassy coworkers. Check out these interesting facts about anxiety in the 21st century. https://t.co/0sFepryfWS",Expat_Aussie
Gold Coast,2020-02-27 07:46:31+00:00,1232935026674659328,Lacking Confidence??  - Secret to being more Confident - little book of ... https://t.co/BbPTt38EOp via @YouTube #confidence #anxiety #HowtoPerfect,itsclearlymeme
Gold Coast,2020-02-20 20:02:29+00:00,1230583521644728320,Your mind is stronger than the anxiety it creates․ Learn to shift your mindset. https://t.co/GYFEbcxE08 #mindset #stayandplay,SentisEDU
Gold Coast,2020-02-15 00:53:04+00:00,1228482323705786368,"Shout out to @Dreamworld_AU staff for accommodating me after an error booking my @SkyPoint_AU climb 🇦🇺

You eased this nervous travellers anxiety quickly and efficiently 🥰

#customerservice #tourist",zaigh_
Gold Coast,2020-02-14 03:36:59+00:00,1228161187411447808,"@Laurmo1995 @lilireinhart It gave me anxiety, sadness and excitement all in one. I just want to know what happens next! 🧩🧩",Ness56649185
Gold Coast,2020-02-14 01:18:19+00:00,1228126287555784704,"@faylovesflowers Nope, it's been 9 years since I left him and I still get anxiety whenever I see a painter, I hate him, I'm scared of him.",ArtyMarika
Gold Coast,2020-02-14 01:05:49+00:00,1228123142083600384,"@Jesus_porvida My Anxiety  is Kickin  My was As Well ,  An it's so totally absurd.  ,, Look At  Where I am... https://t.co/4JIO8XTnW6",Wattsmyfrontna1
Gold Coast,2020-02-13 23:46:51+00:00,1228103271635542016,@DylanDaniels81 @samjrakoh @ThatBrianFella I've tried to help him and get him help he suffers from anxiety and depression. He is slowly getting there.,ArtyMarika
Gold Coast,2020-02-13 19:00:53+00:00,1228031303804706816,"If you have ever suffered from #IBS, #insomnia, #migrains, #anxiety or any long term chronic physiological or physiological challenge, there comes a time where the pain can become 'normal.'

Pain and discomfort is… https://t.co/PN7J2d9lpP",GyeStone
Gold Coast,2020-02-13 18:43:24+00:00,1228026903367442432,"If you have ever suffered from #IBS, #insomnia, #migrains, #anxiety or any long term chronic physiological or physiological challenge, there comes a time where the pain can become 'normal.'

Pain and discomfort is… https://t.co/OdKjIDLb70",GyeStone
Gold Coast,2020-02-12 06:09:51+00:00,1227474878787457025,"Rose Quartz is the stone of unconditional love.
.
.
Wear a piece of Rose Quartz to assist with self-love, anxiety, panic attacks and to heal matters of the heart. 💔

https://t.co/6ue6GdyFAk… https://t.co/IcMO5JC156",PTherapeutic
Gold Coast,2020-02-09 22:49:11+00:00,1226639206283268096,"Let's talk respectfully about the facts here. Young women experience gender based violence, high rates of depression/anxiety &amp; online abuse. @Griffith_Uni supports Safe Campuses &amp; educates all students to be respectful in the pursuit of gender equality. https://t.co/CXSZOmPWru",SimoneFullagar
Gold Coast,2020-02-06 09:17:29+00:00,1225347772800331776,@SkyNewsAust No it’s Lyle who’s responsible for all the anxiety that’s ever been experienced in Australia. ☹️,FlatEarthGang
Gold Coast,2020-02-02 06:55:45+00:00,1223862553614352384,"Today in #365daysofpain: 

Pain: 5/10
Ways I was well: okay so let’s just take a minute to consider that this is the time when pmdd usually kicks in, but instead of being isolated in my bedroom by crazy anxiety and… https://t.co/mh73CK3Yze",stefinitely85
Gold Coast,2020-01-31 04:00:36+00:00,1223093700131049473,@isaacmashman Money allows you security and gives you opportunity to escape situations that cause anxiety and unhappiness.  Something as simple as taking a holiday or filling the car with gas without thinking about it - that’s security and make happiness more attainable,sweatandiron
Gold Coast,2020-01-27 22:19:00+00:00,1221920568410161158,"I got 8 hours sleep last night, I think after a few months my anxiety may finally be easing.  Anxiety and depression are motherfuckers.",sweatandiron
Gold Coast,2020-01-27 10:41:02+00:00,1221744918428696577,my anxiety is so high right now I feel like my hesrt is about to pop out my damn chest,kaitlyn5596
Gold Coast,2020-01-25 12:22:08+00:00,1221045585689509889,@JaneMAngel His wife said he was suffering  anxiety. I'm saying she caused it. Customers from hell.,BeachGirlJan
Gold Coast,2020-01-11 10:45:45+00:00,1215947901471526912,I have read many books but this is the most down to earth and easiest book that looks at the brain and how to retrain it!! #unfuckyourbrain #unfuckyourself #depressionawareness #anxiety #ptsd #mentalhealth… https://t.co/nDO2TUNQ1t,Lotusbar
Gold Coast,2020-01-04 10:30:15+00:00,1213407283264118785,It’s difficult not to feel overwhelmed by what is happening here in Australia. I’ve found myself having to ask friends and colleagues if they are okay even when they have not been directly affected. Check your friends. If you are experiencing anxiety please reach out to someone.,VacenTaylor
Gold Coast,2020-01-03 22:27:13+00:00,1213225327104671745,@bloodforbloodau Completely over it. Staying off here for a while. Just going to DM. It's causing me anxiety.,BeachGirlJan
Gold Coast,2020-01-02 02:33:21+00:00,1212562494348120064,I had the opportunity to chat to many people over my time away. No phone was AMAZING! But I recognised some anxiety on the first day without it. In my night job we see a lot of anxious young people who loose their phones. It’s a real thing folks.,VacenTaylor
Gold Coast,2019-12-31 06:28:35+00:00,1211896917665501184,"Happy new year everyone 🍾 On this New Year I wish that you have a superb January, a dazzling February, a Peaceful March, an anxiety free April, a sensational May, and Joy that keeps going from June to November, and… https://t.co/Fi4EwGkUMK",tattoocosmety
Gold Coast,2019-12-23 13:56:06+00:00,1209110434466476033,"☆MANY PEOPLE PREFER TAKING EVERYTHING TO THE EXTREME TO END UP GETTING UNSUSTAINABLE RESULTS ☆

Follow @astridnar 🥑
 
.

People may eat healthy &amp; train hard ,  but their mental health is jailed in anxiety &amp;… https://t.co/1d50oIIbvD",AstridNarAPD
Gold Coast,2019-12-12 08:13:36+00:00,1205037974800355328,"Finally done a bit of good. I'm now an accredited mental health First Aider. Really confronting course covering substance abuse, Anxiety disorders, depression, psychosis, PTSD, self harm and suicide prevention.",gaconthegc
