City,Datetime,Tweet Id,Text,Username
Gold Coast,2020-03-04 15:02:34+00:00,1235219089724805121,Twitter is an evil place that was created by the devil so we can all collectively submerge in depression and our patheticness as human beings. Tbh we deserve this punishment,atlashrugd
Gold Coast,2020-02-22 00:07:30+00:00,1231007570292166656,@LesStonehouse Depression.,RogerPa64159905
Gold Coast,2020-02-19 05:14:56+00:00,1229997775217016837,@VortexM_ Leave before you die from depression,rochehfn
Gold Coast,2020-02-17 09:08:40+00:00,1229331821365608448,@adammarkwatkin She displays 6/9 of bpd traits as an outsider looking in. You only need 5 to be diagnosed. I truly believe she was an undiagnosed bpd but that is my belief. Depression and bpd took my dads life and I see it in her.,missdanaejoy
Gold Coast,2020-02-14 22:25:39+00:00,1228445224633958400,"Depression can effect anyone, anytime, depression does NOT discriminate.

This is 2020 with ‘no home’ what so ever for “man up” or “get a grip”. 

It’s 💯 definitely OK to ‘seek help’ In fact it’s most definitely a strength &amp; nothing whatsoever to do with weekness - nothing. https://t.co/N5Sg2qaKRH",DebPritchardGC
Gold Coast,2020-02-13 23:46:51+00:00,1228103271635542016,@DylanDaniels81 @samjrakoh @ThatBrianFella I've tried to help him and get him help he suffers from anxiety and depression. He is slowly getting there.,ArtyMarika
Gold Coast,2020-02-11 23:50:01+00:00,1227379290888474624,@JoshBBornstein Triptych - The Great Depression. #auspol2020,seearjay
Gold Coast,2020-02-09 22:49:11+00:00,1226639206283268096,"Let's talk respectfully about the facts here. Young women experience gender based violence, high rates of depression/anxiety &amp; online abuse. @Griffith_Uni supports Safe Campuses &amp; educates all students to be respectful in the pursuit of gender equality. https://t.co/CXSZOmPWru",SimoneFullagar
Gold Coast,2020-02-02 09:08:14+00:00,1223895895235674112,"Between attacking the premier for her private struggle with IVF and rolling candidates to parachute in an out of town ""skirt"" to replace an MP resigning with depression and from being bullied by the LNP Deb turns to a global health emergency to score points against @AnnastaciaMP https://t.co/jOPv9SEYPf",Joshlyfry
Gold Coast,2020-01-29 06:41:48+00:00,1222409488935739392,"Correct. Depression is more than being sad. Clinically speaking it’s a mood disorder that interferes with one’s life. six types of depression: major depression, atypical depression, dysthymia, postpartum depression, premenstrual dysphoric disorder, and seasonal affective disorder https://t.co/hKGe3KoKxX",VacenTaylor
Gold Coast,2020-01-27 22:19:00+00:00,1221920568410161158,"I got 8 hours sleep last night, I think after a few months my anxiety may finally be easing.  Anxiety and depression are motherfuckers.",sweatandiron
Gold Coast,2020-01-22 05:14:26+00:00,1219850787167203330,@1TLorch1 @PaulChr30241052 Sociopaths don’t usually suffer depression.  Like all conservatives his shamelessness will protect him from any moral discomfort. The #CrimeMinister belongs in the same lodgings as George Arthur Pell.,FlatEarthGang
Gold Coast,2020-01-13 01:32:38+00:00,1216533482249183232,"“Now we live in an age where an orange juice brand pretends to have depression, while no one really liked this particular event its because people want authenticity” - @desplesda #lcagm #LCA2020",The_McJones
