City,Datetime,Tweet Id,Text,Username
Sydney,2020-03-10 14:52:24+00:00,1237390855066931201,@tomfgoodwin Social feeds driven more by anxiety than ‘official sources’?,NSydInnovation
Sydney,2020-03-10 08:16:08+00:00,1237291131420807169,"Until such time as I can post humble-brag shots of my feet on glamorous beaches, here they are instead at the Kinghorn Day Spa. 

With @hughriminton attentively rubbing them to alleviate prechemo anxiety.

4 of the worst done! (12 more to go.)

#chemo #breastcancer #healthcare https://t.co/ObckLMgarH",MaryLloyd4
Sydney,2020-03-09 10:26:39+00:00,1236961588675928064,"Maybe I see things differently 
If you are healthy &amp; look after yourself 
You should not be panicked @ #COVIDー19 
People die from influenza every year &amp; we don't see stockpiling 
Get out in the fresh air 
Eat Fresh Veg &amp; Protien 
Social Media = Anxiety 
Breath People
Live Love https://t.co/f1nzc3qkyi",Kazzielee1
Sydney,2020-03-09 09:59:55+00:00,1236954864795582464,"This #COVID2019 is givin me anxiety coz

1. I have a weak immune system like that of an elderly
2. I'm more likely to die in the 1st 5mins of a zombie apocalypse 
3. ironically, the more I clean myself, the sicker i get for bein too clean
4. i'm asian &amp; ppl are easy to judge",theeTWINKLE
Sydney,2020-03-09 00:50:00+00:00,1236816472183193600,@TimberMerks_ Cable management gives me anxiety,BIGBEARRAU
Sydney,2020-03-08 09:16:52+00:00,1236581641025277952,"the anxiety is kicking in. Hooray, how's your Sunday? Hngggggh",katyperrybells
Sydney,2020-03-08 05:34:27+00:00,1236525669359603712,#ufc248 MY ANXIETY FUDGE!,xhelenhoangx
Sydney,2020-03-08 00:24:22+00:00,1236447633549361152,"Currently sitting by myself in a packed out restaurant in the middle of an entirely different city, in an entirely different state. I’m getting a few looks and my anxiety is going crazy but I’m here 🤷🏼‍♀️",shanlou__
Sydney,2020-03-08 00:23:48+00:00,1236447489873432576,"This International Women’s Day Being acknowledges that women experience comparatively higher rates of depression, anxiety and PTSD than men &amp; are especially vulnerable during pregnancy and in the first year after the birth of a child. #IWD2020 #EachforEqual #rights #Mentalhealth https://t.co/RtU2N4uHVz",BEINGMHC
Sydney,2020-03-07 18:49:41+00:00,1236363407760052224,"@fangfaang nah finally,,, salam for anxiety",su_de_ming
Sydney,2020-03-07 08:48:39+00:00,1236212150403608583,Isn’t it concerning how easily anxiety can make us so selfish and uncivilized? https://t.co/7Dw1gCFj1n,deliveranz
