City,Datetime,Tweet Id,Text,Username
Adelaide,2021-03-05 21:48:17+00:00,1367955150040539136,"I tell you what I'm rarely frustrated, but when a photo of someone's make up gets 1 million likes and comments and a synopsis of someone's depression gets 10 what the hell are people thinking??",illwah
Adelaide,2021-03-02 15:13:24+00:00,1366768608521543682,@hoyleryan Depression. Years long depression. Usually. Finding a peer group you can commiserate with and bounce off of is a must for your own mental health.,Omahdon
Adelaide,2021-03-02 05:09:41+00:00,1366616678763667457,@The_Vision___ Plenty of iced depression dairy to go around!,JenBarry16
Adelaide,2021-02-09 09:29:03+00:00,1359071805583970308,"@kristin8X YES!! GO FOR IT!! SUE TGE BASTARDS FOR EXACERBATION OF
PAIN,DEPRESSION &amp; LOSS OF LIFE!!",LadyPoop2
Adelaide,2021-02-05 22:38:37+00:00,1357820953309315072,@LawsLawls @SuiSharcy @Sin_Salt @KnowNothingTV Depression and ADHD are comorbid disorders.,totallyawry
Adelaide,2021-02-05 01:04:50+00:00,1357495365654618112,500km run complete over the year of 2020 for @beyondblue #anxiety #depression and #SuicidePrevention and @livin breaking the stigma of #Mentalhealth 💜🧡💛🤍 Such deserving two charities! Well done for your hard work through these #uncertaintimes https://t.co/p0ToWbvXss,ZivileUseckaite
Adelaide,2021-02-03 10:02:03+00:00,1356905782940295168,"Depression has made me so much less… cognitively efficient? Trying to think of a way to phrase it that isn’t ableist? Anyway, I hate it",snaxolotl
Adelaide,2021-01-31 10:40:07+00:00,1355828197703618581,Literally can’t catch a fehkkin break. Finally get out of a week of anxiety and bam depression/isolation/loneliness sets in like oh no bitch we ain’t done just yet 🤦🏻‍♂️🥲😭,AndyS_93
Adelaide,2021-01-31 01:57:13+00:00,1355696606704664580,"@mikewarburton This makes my whole body cringe in on itself, while at the same time thinking these guys probably just felt lucky having work (Depression started 4 months earlier)",rAdelaidegrl
Adelaide,2021-01-25 02:03:40+00:00,1353523904036265985,I was diagnosed with PTSD and Anxious Depression and assessed by my Superannuation insurance as totally and permanently incapacitated.,chalkwhitehands
Adelaide,2021-01-23 03:45:36+00:00,1352824778298548227,"Garden Island Ships' Graveyard

Dorothy H Sterling, built in Portland, Oregon in 1920, arrived in Port Adelaide with a cargo of timber during the Great Depression in 1929. Now has a tree growing in it. #ships #MarineHistory https://t.co/wh4CCDumsZ",pamwhetnall
Adelaide,2021-01-20 10:44:46+00:00,1351843102085050369,@BeingOverall My go to depression movies are Bridget Jones Diary or Romy and Michelle’s High School Reunion. Hope you’re ok xx,AshleyHunterAUS
Adelaide,2021-01-18 05:56:22+00:00,1351045750847893504,"@RealMickFoley Thank you Mick......it’s been very hard for me at times because of depression,  let’s hope things improve soon although we are much better off over here in Australia.",weezbart
Adelaide,2021-01-11 13:29:25+00:00,1348623048748855304,@Covid19_VAX Depression szn,lfclachlan
Adelaide,2021-01-10 11:35:22+00:00,1348231958468337666,Shout out to depression I sleep faster now 🙂,LivingVision_
Adelaide,2021-01-10 01:57:52+00:00,1348086627185291264,"90 years ago #OnThisDay in #Adelaide, 10 Jan 1931, the city read about the ‘beef riot’ outside the Treasury Building. Hardships in the Great Depression led to the clash. Contrast the @theTiser headlines with eyewitness accounts:
https://t.co/6UKFLP9TR1

https://t.co/1tVAJFYDgE https://t.co/P6290cJeyx",KeithConlon
