City,Datetime,Tweet Id,Text,Username
Brisbane,2021-03-10 01:45:21+00:00,1369464360410570756,@besa_andy Over 8 yrs ago I lost my daughter to suicide. Most days are fine but some days take me to a place of sadness I can't shake. I get it. https://t.co/l9HFykrvVo,yolygurl
Brisbane,2021-03-06 00:36:07+00:00,1367997387176701955,@bigtruth2 @geoffrey_payne Indeed. Like #Murdochracy acting like peeping Tom's outside Thompson's pregnant wifes bathroom window.Were these men were afforded the rule of law? Or the 1000's who committed suicide after being told by #RoboDebt they were guilty until the could prove otherwise? #auspol,badtastefatboy
Brisbane,2021-03-05 07:58:17+00:00,1367746273772666880,@cherryalado16 Nag suicide jud diay siya Che?,supervanssssss
Brisbane,2021-03-03 06:47:29+00:00,1367003680717774854,Why would she lie about #ChristianPorter and then suicide? Why?,RuaBrithem
Brisbane,2021-03-03 05:05:57+00:00,1366978126291472389,Lemme get this straight... #ChristianPorter just said that a suicide victim was deluded at best and had a campaign against him at worst and that her unfortunate death was all a ploy/mental health issue?,RuaBrithem
Brisbane,2021-03-03 04:53:42+00:00,1366975042874085383,"Today has been extremely difficult for those of us who have experienced sexual assault. Had close ones assaulted or been witness to suicide.
If you're struggling or need support please contact @1800RESPECT @BlueKnotOrg @LifelineAust 
 @auspol #WomensRightsAreHumanRights",FrancesPWDA
Brisbane,2021-03-03 04:19:44+00:00,1366966498229579776,"A woman committed suicide.
#ChristianPorter #auspol",RuaBrithem
Brisbane,2021-02-23 05:23:26+00:00,1364083426047840258,This is a truly #despicable government. Maybe their end-goal is to get the #jobseekers to commit #suicide - for #cost #effectiveness #shame on @SenatorCash https://t.co/nsqK7RVkdo,Robyn_Grote
Brisbane,2021-02-22 09:24:21+00:00,1363781663621144577,"#suicide is not something to joke about and not something to advertise as a ‘poor me’. 
I am sorry you ended up there, but the way I found out was you digging at people for only caring when you were to take your life... DO NOT think like that! Toxic trait 🤦🏼‍♀️",tbg_brown
Brisbane,2021-02-20 22:40:45+00:00,1363257311419011074,"@fatzgorrie Fatz, your an absolute top bloke.
If it was taken poorly by those effected by suicide that’s unfortunate and I pray for them as sensitivity runs deep &amp; raw.
I know you well enough to know you are there to support anyone.
Anyone condemning you needs to understand this &amp; step back",wjpa
Brisbane,2021-02-16 10:55:35+00:00,1361630297280770049,"Two biomechanics experts have told a coronial inquest in Perth that it was unlikely a woman whose death police ruled a suicide had shot herself.
https://t.co/qJTOqnyRwN",raeallen
Brisbane,2021-02-05 22:40:48+00:00,1357821505380311040,It’s a year since @ScottMorrisonMP announced a National Commissioner for Defence and Veteran Suicide. Veterans and families have rejected this as a marketing exercise - they want a full Royal Commission into veteran suicide now! #auspol #VeteransRCnow https://t.co/0fW6tbWjPz,ShayneNeumannMP
Brisbane,2021-02-03 23:30:11+00:00,1357109158563041281,"@LaytonEWilliams Lucy Meadows. Only famous because of Richard Littlejohn who harassed her in a tabloid rag until she died by suicide. Bastard faced no consequences for it, either.",Natashatashaetc
Brisbane,2021-02-02 11:04:51+00:00,1356559197551218688,"If you are able to help, please do. I am raising money for Suicide Prevention Training. Click to Donate:  https://t.co/E3pDn88XM8 via @gofundme",msquinnscience
