City,Datetime,Tweet Id,Text,Username
Darwin,2021-01-22 14:31:11+00:00,1352624857486254080,My biggest regret is letting my depression ruin my relationships like that. Nobody deserves that,RitzTheKidd
Darwin,2021-01-18 15:08:41+00:00,1351184746332762114,"@slothsforme during the 1930's Great Depression, wasn't it?",TaraVenn
Darwin,2020-10-25 13:38:13+00:00,1320359010260840448,"Emotional stress to the nth power that I suddenly cry and wanting to go back home, it's like the first year I came here to Australia. Depression - you never know when you already had it now it's coming back.",kristinjoanne88
Darwin,2020-10-07 19:51:32+00:00,1313929977553850368,BBC News - Coronavirus: Health experts join global anti-lockdown movement https://t.co/ih01WcKTHD. Depression caused by loss of a family member can last 2 yrs or more Ifu unrestricted covid controls there will be significant non covid related mental harm as a third populace dies,pazniewski
Darwin,2020-08-24 13:22:29+00:00,1297887003938131974,"@dreamrealities Right you are...jumped a decade but, to go back, we had 1890’s Depression, Boer War &amp; WWI, followed by Pandemic/Spanish Flu. Then the Roaring 20’s -my point being history tells us we recover quickly as faith is restored &amp; people spend..The 1930’s Depression not relevant to point",TaraVenn
Darwin,2020-08-18 00:48:36+00:00,1295522951941390336,"It’s fascinating how psilocybin is being studied to help with anxiety, depression, and addiction. So far it looks very promising with helping people.",JazielGalvez
Darwin,2020-08-08 21:27:14+00:00,1292210787478466560,"Are you struggling with the lack of freedom we are experiencing in the world right now.
Is anxiety, depression, overwhelm a real problem for you?

I am Coach Kerry
Let me help you achieve a better mindset. 

Don't… https://t.co/qd3QYEyEil",HobbyCeramics
Darwin,2020-08-02 14:18:58+00:00,1289928682874650626,"@MingYLong As a Mum, teacher &amp; survivor of HSC/VCE &amp; the pot-holed road beyond; I can share that things - including anguish, distress, anxiety &amp; depression - do pass; but they’re all aspects of being human that sometimes take over &amp; we need help to navigate! No shame in that. Not for ever!",TaraVenn
Darwin,2020-07-21 05:31:01+00:00,1285447164122947584,@KenParish1 My high school German teacher who lived and fought through it all said the industrial-political coalition of the 3rd Reich gave everyone jobs after the great depression. Workers suddenly had free Baltic cruise holidays &amp; funded health care. Misguided mass appeaI could repeat it.,ihol6844
Darwin,2020-07-05 05:15:37+00:00,1279645083285860353,"@theheraldsun @tyrelle123 Course it can? Who asks such a ridiculous &amp; deliberately provocative &amp; scaremongering question? 🤨🙄Melbourne survived ‘Smellbourne’, The Great Depression, The Spanish Flu, some horrendous acts of violence by deranged individuals, recessions, Sydney bidding for Capital status...",TaraVenn
Darwin,2020-07-04 00:20:34+00:00,1279208443149037569,"@last_jones @peggymel2001 It’s selective history &amp; he was banging on about 1930’s th other week. A decade that saw The Spanish Civil War, Musso, The Great Depression &amp; rise of #Fascism! Oh &amp; it also ended with #WWII which was horrendous but war is also an #EconomyBooster 🤨😏&amp; notice upping the #anti",TaraVenn
Darwin,2020-06-01 11:53:01+00:00,1267423907486633986,"@Peter_Fox59 How heartwrenching Peter! 😢Was just explaining to my son that his great, great grandmothers would have been having their babies around the time of this Flu &amp; how remarkable it was they survived &amp; the times they went through...wars, The Great Depression, plagues &amp; drought! #Tough",TaraVenn
Darwin,2020-04-21 18:55:02+00:00,1252672207664246785,Depression is REAL😥😭😭😭😭😭,ArleneSouth1
Darwin,2020-04-18 01:57:43+00:00,1251329028893499395,"AFRICANS ARE BEING LED TO THE SLAUGHTER BY DEVELOPED NATIONS WHO ARE HEDGING ON INVESTING IN 3RD NATIONS USING SCRIPTS, ARTIFICAL WEALTH THEY PROTECT USING DEPRESSION BECAUSE THEY WILL KEEP PRIZES UP OPPOSITE TO OIL PRIZES. STOCKS VALUES WHICH AREN'T TIED TO EARNINGS BALLOON UP.",jgwizo
Darwin,2020-04-15 08:32:33+00:00,1250341228618473473,@wef @Oxfam People want ordinary people to hold the rich to their pedestals&amp;condeme everyone else to further destitution. By now riches should have been downgraded to world economic activity level. Instead foolish experts are afraid of depression which they manipulate with artificial wealth.,jgwizo
Darwin,2020-04-15 07:50:25+00:00,1250330624226816000,@AP There is likely people who assume democracy means towing their footsteps instead of talking of how the individual or people needs will be addressed. Its like assuming arresting depression by hedging high salaries to those with jobs is addressing ALL'S needs - not sharing burden.,jgwizo
Darwin,2020-04-14 02:59:52+00:00,1249895119068643328,@9NewsAUS @7NewsBrisbane @abcnews : PETROL PRICES ARE VIEWED IN THE EVENT OF OIL FALLING PRICES &amp; ONE WONDERS WHY PRICE FOR LABOUR OR OTHER COMMODITIES ARE NOT REQUIRED TO TAKE THE SAME RISE &amp; FALL. ITS LIKE THE DREADED DEPRESSION WHICH MIGHT REFLECT LEARNED CUE THAT UP IS GREAT.,jgwizo
Darwin,2020-04-09 01:05:07+00:00,1248054301731127296,Wealth graph is that shows a small number of very with the highest population as poor. If economics is done cooperatively this curve could artificially raised or pulled with no effect. This argument can mean freeze&amp;unfreeze the wealth curve&amp;depression could then be not so dreaded,jgwizo
Darwin,2020-04-07 06:01:08+00:00,1247404020588638208,"@SwannyQLD It might be interesting to learn how critiques of the dark tunnel of COVID19 experiment laboratory would have avoided depression. At times hate dents thinking&amp;people must acknowledge past has no immediate answers to bigger population, power games&amp; binter belief democracy is novel",jgwizo
Darwin,2020-04-07 02:23:45+00:00,1247349312100511745,"@mad6duck @roguebogan @TheNutter64 LOL 🤣my late grandfather used to drink it in hot water - that &amp; Bonox! 🥴Then again he also loved rollmop, kippers &amp; 4-day old bread &amp; manky Home-Brew he made!🤣 Lived till he was 90, through The Depression &amp; WWII... pretty tough old bugger! Maybe it was the hot Vegemite?! 😳",TaraVenn
