City,Datetime,Tweet Id,Text,Username
Gold Coast,2021-03-09 11:56:08+00:00,1369255679983153155,@Channel9 the one question @Oprah didn’t ask... when she left to Canada did she get help? Did she see a therapist or psychologist for her mental health? #HarryandMeghanonOprah,mazfacter
Gold Coast,2021-02-28 02:59:12+00:00,1365859067193823233,"Don't know how I've incorporated Bill Nye into a song about mental health
 But fuck it, if it works it works 🤣",j0n35y_96_l
Gold Coast,2021-02-27 07:41:17+00:00,1365567666774138883,"@GCobber99 I haven’t seen the segment where ABC present the woman’s story &amp; her mental health issues, but perhaps they’re trying to indicate how much the abusive &amp; traumatic anal rape affected her mental health so much so that she tried to kill herself several times &amp; was finally successful",CarolynHastie
Gold Coast,2021-02-27 07:36:43+00:00,1365566516599549954,@GCobber99 Hi Geoff they actually have the wrong end of the stick. Sexual abuse of young women leads to tremendous mental health issues. It is such an overwhelming assault on the sense of self of the girl that it overwhelms them &amp; creates multiple MH issues for the victim.,CarolynHastie
Gold Coast,2021-02-25 09:24:40+00:00,1364868908012826624,"@MatildaFairholm @1inthree Jeepers... I’m concerned for your welfare. If you are feeling threatened by the realisation that men are also victims of family and domestic violence you should take things slowly, avoid alcohol and check in with your mental health provider. Self care is important.",LeithEriksonABF
Gold Coast,2021-02-22 00:57:34+00:00,1363654130070298627,In July this year I’ll be running the Gold Coast Marathon. I’ll be raising funds for the @ruokday charity. Click on my page and help me support the mental health charity! https://t.co/xSXIPb4hlQ,joshblack93
Gold Coast,2021-02-10 07:47:27+00:00,1359408623537975297,"@KenyonLaing So very true, it's the modern life many think, but as a lot of people have added, it's also up to us to take our own 'time out' for ourselves, our mental health and emotional well-being. Hard but should do, often, guilt free. @DalaiLama https://t.co/evspv1hQz2",Expat_Aussie
Gold Coast,2021-02-08 23:27:19+00:00,1358920374755364864,Yesterday I was so happy and on top of the world. Today I feel too scared to even go outside and my kids want me to go swimming with them. Fuck mental health 😩,novablooming
Gold Coast,2021-02-05 00:29:10+00:00,1357486387524640768,"FINALLY FRIDAY! Almost the weekend. A lot of consultancy meetings as a mental health rep to NSW Health, a lot of good positive outcomes and some good work done as a caregiver and a library assistant. Can I unbutton my shirt now, relax and put on my weekend party pants? You bet ! https://t.co/FTglMUX5CX",JasonBu97617597
Gold Coast,2021-02-02 06:23:50+00:00,1356488477915840513,"@ArchDejan @Peter_Fitz It's freedom to be proud of who they are. It's not about denying professional counselling to any person who feels they need it. Conversion therapy is coercive, unprofessional and clearly proven to endanger the lives and mental health of those subjected to it.",kimjim45
Gold Coast,2021-02-02 01:12:08+00:00,1356410039414624256,"the patients. And family members. Because even after all this time, I would still do these jobs for free. Bringing positive change and helping others? Priceless! #Mentalhealth #MentalHealthMatters",JasonBu97617597
Gold Coast,2021-02-01 22:05:52+00:00,1356363162677755904,@ColleenMcmilin @melissa__eaton I am more than happy to have a zoom meeting with the undergrad students to discuss the field of nutrition and mental health.,MeganLeePhD
Gold Coast,2021-02-01 18:06:45+00:00,1356302984636887041,@melissa__eaton I only have 6 months of my nutrition and mental health PhD to go. If you want to have a chat about anything let me know. I am ore than happy to help,MeganLeePhD
Gold Coast,2021-01-31 20:24:33+00:00,1355975278468587522,"Do not consent to the order until you have obtained good legal advice. Then you can consent with out admission, be vilified by your media colleagues, lose your career regardless of what role your partner played in the incident and struggle through life with mental health issues. https://t.co/2L1MiR7KB8",LeithEriksonABF
Gold Coast,2021-01-31 03:36:16+00:00,1355721535781097474,"@MsSiennaCharles @NobodyCaresJim I meant more in regards to repeatedly violating bail conditions but still not being taken seriously as a danger to society. Too often nothing seems to happen until somebody dies, &amp; that part of mental health needs reform too. He shouldn't be able to refuse treatment in this case",xFaeryPrincessx
Gold Coast,2021-01-31 03:29:03+00:00,1355719718401761287,@MsSiennaCharles @NobodyCaresJim 😔 This sounds like it isn't going to end well 💔 mental health in Australia (and worldwide) needs urgent reform &amp; funding,xFaeryPrincessx
Gold Coast,2021-01-29 01:01:59+00:00,1354957933633703945,"The Morrison govt certainly is dysfunctional but let's not forget other ""attributes"" they exhibit which impact on our mental health: cruel, secretive, lawless, Trumpian toxic populism and monumentally incompetent. https://t.co/pALgjHHHBp",Bruceneeds2know
Gold Coast,2021-01-24 02:16:25+00:00,1353164725853556738,"@14JJ_Candy It's a little concerning that poor mental health is good for minimising... 😶

I made the decision in June/July while in a pretty dark place too 😅",xFaeryPrincessx
Gold Coast,2021-01-22 21:34:18+00:00,1352731340689477632,@brissydeb I am sorry to hear this Debbie. If you ever want to talk I am a very good listener and an advocate for academics mental health.,MeganLeePhD
Gold Coast,2021-01-11 05:24:51+00:00,1348501102598131712,"Saw an interest tweet asking people to identify their 1 word for 2021.
Mine is ‘momentum’. All too often I allow the bumps of life to derail my mental health. I can only try hey!",teachthisorthat
Gold Coast,2021-01-10 20:55:06+00:00,1348372821546737664,"Sticky date pancakes full of complex carbohydrates and dietary fibre to fuel my brain on the first day of the work year. Full of wholemeal flour, dates, nuts and seeds and topped with natural yoghurt and berries. @SCUonline @OpenAcademics  #Mentalhealth #nutrition #foodandmood https://t.co/HN3XTuP7F7",MeganLeePhD
Gold Coast,2021-01-04 01:42:44+00:00,1345908490233995264,"Internship day 1

Improved 100%

I LOVE mental health research. It's my jam.

#ResearchNerd
#Internship
#GCUH",Ailuj_Nostrebor
Gold Coast,2021-01-02 21:31:53+00:00,1345482974104408064,At what point do we give up on this kid. Thought he was away from the team to work on his mental health #Titans https://t.co/qSe5xS7mGV,kieran_shaker
Gold Coast,2021-01-02 13:49:01+00:00,1345366489734365184,"Somethings been borrowed, and somethings been blue. Thanks to you.... @folklorestanner 

Looks - 7/10 (hate rating myself)
Creativity - 7/10
Mental health - 5/10
Empathy - 10/10
Humor - 6/10
Patience - 7/10
Social skills - 8/10
Memory - 9/10
Intelligence - 6/10
🤷🏼‍♂️",Prince_Phoenix
Gold Coast,2020-12-29 07:02:59+00:00,1343814757531324416,it’s actually really hilarious and fun how much my mental health is suffering laugh out loud xo,lexaprolover
Gold Coast,2020-12-25 17:18:50+00:00,1342520187099041793,"@RitaPanahi @TitaniaMcGrath Perfect gift for those stuck between four walls in isolation during the perpetual Covid lockdowns. Great mental health stimulus. Lucky you Rita, enjoy and Merry Christmas 🎄",Margare59705941
Gold Coast,2020-12-22 06:29:05+00:00,1341269508682465281,"Is there any fashion look you can’t pull off you look so good In everything also B I’m having a really low day and my mental health is dipping fancy popping in my DMs or tweeting me  something to Help me through it 🥺🥺🖤 xx 

@brandon_arreaga https://t.co/mKh2Fcg1bW",brandonssmiles
Gold Coast,2020-12-18 12:13:56+00:00,1339906741488603138,I’m blocking Covid catastrophists. Harsh but ... I don’t really care if it’s harsh. It’s a mental health measure.,profsarahj
Gold Coast,2020-12-12 23:41:21+00:00,1337905411505016832,@DrLizBates @male_bps The economic and productivity loss associated with child access restrictions is the hidden byproduct of female perpetrated DV and child abuse that is seen in male mental health trauma and suicide. When you can quantify the huge financial losses you might get their attention!,LeithEriksonABF
