City,Datetime,Tweet Id,Text,Username
Gold Coast,2021-03-02 20:02:09+00:00,1366841277002653696,"@DrKW12 @peggymel2001 @georgiedent @ScottMorrisonMP @4corners @Milliganreports She subsequently withdraws her complaint from SA police and then, the next day  commits suicide, thereby saving the alleged perp from prosecution. How convenient.",RogerPa64159905
Gold Coast,2021-02-06 12:04:03+00:00,1358023647584161792,"heart disease still #1 and it barely gets a mention, why? Suicide very high, hardly gets mentioned https://t.co/lRPA2GotF1",mebsites
Gold Coast,2021-01-18 00:33:34+00:00,1350964514016161792,@MJDraperBlake The suicide stats are incredibly depressing.,Arsenic82
Gold Coast,2021-01-17 06:21:51+00:00,1350689776089722880,"Very Sad....Japan's suicide rate rises 16% in second wave of Covid, study finds https://t.co/nRllF4GMfs",mryansisland
Gold Coast,2020-12-19 07:23:15+00:00,1340195978305912832,@PrincessMattie1 @MColvinMcKenzie A mate I grew up with in high school committed suicide in 1979. It’s been 40 years but he still crosses my thoughts even now. It was devastating for everyone close to him. So difficult to understand.,FlatEarthGang
Gold Coast,2020-12-14 07:58:24+00:00,1338392885054488577,#Robodebt suicide not a concern to this ‘guy’. (He’s no bloke.) If he’s a Trump fan I’d like to see where it leaves his argument. #COVID19Vic https://t.co/e8QaGvFFol,FlatEarthGang
Gold Coast,2020-12-12 23:41:21+00:00,1337905411505016832,@DrLizBates @male_bps The economic and productivity loss associated with child access restrictions is the hidden byproduct of female perpetrated DV and child abuse that is seen in male mental health trauma and suicide. When you can quantify the huge financial losses you might get their attention!,LeithEriksonABF
Gold Coast,2020-12-10 22:04:36+00:00,1337156287511973889,Crowdsourcing a suicide cable warning sign. https://t.co/H9wlb4Aspm https://t.co/cI2iFJ0uv3,unixbigot
Gold Coast,2020-12-03 02:45:11+00:00,1334327796131196928,@ALeighMP @LindaBurneyMP This is what is causing suicide rates to increase not lock downs. It’s the fear of being unemployed and with no hope that causes suicide to rise. People deserve to feel safe. Especially as this Australia a so called rich country.,ezerelief
Gold Coast,2020-11-19 02:17:26+00:00,1329247382723207168,@briffa_michael I had work acquaintances  both male couples who moved to Tas a few years back now. One committed suicide and the other couple only lasted 12 months because of days without seeing the sun.,BeachGirlJan
Gold Coast,2020-11-18 04:55:42+00:00,1328924823511154694,"I'm supporting American Foundation for Suicide Prevention! https://t.co/QXhxiBRpfV via @DonorDrive
#UsUnited 
#WhyWeFight",Goldcoastbatman
Gold Coast,2020-11-13 20:05:25+00:00,1327341818585907200,"Almost halfway into @MovemberAUS &amp; I’ve managed to run 71km so far. If you’re curious as to where your money goes, it helps support men's health projects for: prostate &amp; testicular cancer, mental health &amp; suicide prevention. Thank you to the legends that have donated already ❤️ https://t.co/95EcDyqw6Z",_jennafulton
Gold Coast,2020-10-29 21:43:37+00:00,1321930714737070080,"MOVEMBER: On average, one man dies by suicide every minute, every day. Sadly, my Dad was one of those men. Which is the reason behind why this Movemeber I’ll be running as far as I can to raise awareness about men’s mental health ❤️

https://t.co/uyhMAkICrb https://t.co/UigWHJBzqO",_jennafulton
Gold Coast,2020-10-29 12:17:13+00:00,1321788176269074437,@MisterMJTH @Top_Doug @TennS4Ever @joerogan @YouTube @TheMcVader In court Jones blamed psychosis and the media for his claims that Sandy Hook was staged . Shortly thereafter he questioned a Sandy Hook parents suicide as being faked.,GravWaveRider
Gold Coast,2020-10-29 11:32:46+00:00,1321776988982407169,"@smh The ones who committed suicide due to the weight of the unending #robodebt persecution? Those dead Australians? 

#auspol https://t.co/Ay8a5F2ZEP",FlatEarthGang
Gold Coast,2020-10-23 01:15:09+00:00,1319447232744058882,"Male suicide is a national emergency that the Qld state government could do much more to address and reduce.

If elected I will work to ensure Qld has a Minister For Boys and Men

Would you support policy that introduced a new ministerial portfolio for a #MinisterForMen? https://t.co/FNTM5ZMd7z",LeithEriksonABF
Gold Coast,2020-09-09 08:41:09+00:00,1303614406853423104,Getting ready for our morning tea as our office marks World Suicide Prevention Day. Most policy makers don’t acknowledge the connection between broken family law social policy and male suicide. That’s why we do what we do! #21fathers #endalldv #WSPD2020 #Menshealth https://t.co/PzCnKuN69D,LeithEriksonABF
Gold Coast,2020-09-08 22:08:29+00:00,1303455191866499078,"@albericie @esquizzical Emma appears to be surprised, that honest scrutiny of LNP Policy is Career Suicide for Any Australian journalist with MSM aspirations ? Will she also be surprised when Gov appointed judiciary Start awarding bankrupting  defamation payouts against, social media Criticism?",75merc
