City,Datetime,Tweet Id,Text,Username
Melbourne,2021-03-10 23:59:03+00:00,1369799996250353673,Lost a great friend on this day 11 years ago. The stigma around #Mentalhealth and #Menshealth has thankfully moved on dramatically since then. Speak up and speak out. ❤️ https://t.co/8YhNcepN9i,tommyheddon
Melbourne,2021-03-10 22:48:51+00:00,1369782331251122181,‘The pain inside gets so great’: Farmer calls for better mental health support in rural Victoria https://t.co/mG2bobe7z5,Dpeters1977
Melbourne,2021-03-10 21:21:18+00:00,1369760299188809728,"@Social_Citizen @jasonkeath As a consumer / individual first, communicator second. Preserving mental health comes first. But from a comms perspective, it’s good to have more certainty that audiences engage with content because the content is great and they love the brand, rather than impacted by groupthink.",ItsEmmaHeath
Melbourne,2021-03-10 12:28:23+00:00,1369626184040947713,@erinpeterson191 I know how you feel honey some family members are toxic to your mental health I Know It All Too Well. You will always have us. We are a great family and we love you 💖😘,deidre_lovell
Melbourne,2021-03-10 08:31:55+00:00,1369566674605592580,But you do not have the right to undermine somebody’s mental health on national TV... as it will in turn make other people think that this is ok to do as well... it is not. 😠 https://t.co/gdQN4Iy75z,benscholefield
Melbourne,2021-03-10 07:48:04+00:00,1369555638783672324,@ACurrentAffair9 Use logic!🤔Stop “jobkeeper” means they change to “jobseeker” &amp; the unemployment figures skyrocket!🤷🏼‍♂️💔😭If “jobkeeper” stays then even though the government is paying at least they are still contributing to the economy &amp; maybe save their mental health!👌🏻👍🏻,TurcanLee
Melbourne,2021-03-10 01:46:05+00:00,1369464546235064321,"@NWMHgrads @JamesMerlinoMP @VicGovDH We need to highlight Specialist Mental Health nurse issues, recruitment and retention- Direct Entry and Specialist registration #mhncrisis",Mickholloways
Melbourne,2021-03-09 23:38:56+00:00,1369432546765910018,"Of course you are!

No one should ever make a statement and say someone is lying when they come clean publicly about their mental health and suicidal thoughts.

This is shameful. A disgrace! https://t.co/Rr6JszoFrm",owen_minogue
Melbourne,2021-03-09 11:20:08+00:00,1369246619686813698,@john_JustFacts @alyxei1 @abcnews If by drug dealers she means Pharmacies and Mental Health professionals rather than Pub Owners,Bosley1007Barry
Melbourne,2021-03-09 08:52:26+00:00,1369209453241720840,"@RonniSalt Extreme stress affects the immune system adversely. The entire COALition are at risk of not only mental health issues but physical issues as well. Even though these increased extreme stresses are largely their doing I do not wish them ill. However, if they're not up to the job...",lachiemc64
Melbourne,2021-03-09 07:59:42+00:00,1369196180043755522,"Surely, an inquest which called for mental health witnesses who had direct access to Kate’s narrative, could offer an array of professional opinions? https://t.co/aVhUiBQ9jP https://t.co/pWClLJU0a1",lesposen
Melbourne,2021-03-09 07:14:44+00:00,1369184865342529536,If only footballers believed rape victims as much as they believe their mates declaring mental health.,Jizzlobberz
Melbourne,2021-03-09 00:27:16+00:00,1369082319953346564,"Our SHINE program helps families from 29 different suburbs in  south-east Melbourne to improve mental health &amp; wellbeing.

Mainly located in the @CityOfCasey (57%); &amp; the @greaterdandy (36%).

Find out about our SHINE program Performance &amp; Impact Report:
https://t.co/HuozFRbi5W https://t.co/hz3RiEoXFs",FamilyLifeAU
Melbourne,2021-03-09 00:10:12+00:00,1369078025740906498,"@ScottMorrisonMP  Did you just imply that PHYSICAL health issues are more important/legit than mental health issues????
#health #auspoI https://t.co/VhxGQDPcKj",MissOGisMe
Melbourne,2021-03-08 22:33:11+00:00,1369053611586592768,"@TheMelburnienne @Ljwj5 @RandaltsRandal @jeff_kennett I work in mental health/addiction and we’re always changing, very innovative and always improving what and when we can, we’re always doing the best we can for clients.",demon_dave
Melbourne,2021-03-08 22:28:06+00:00,1369052334039330820,"@hipstergeddon At least he’s not taking mental health leave after covering up/being accused of allegedly committing a rape. 

And that rape allegation is an historical one, not an historic one as some media commentators have said.",HeathRyan16
Melbourne,2021-03-08 21:50:57+00:00,1369042983685824515,"My suicidal ex Housemate’s confession online! She did not realised the repercussions she caused. Sympathetic as we try to be, it was hell to lived through lockdown with her. Coping with a (COVID-induced) Mental Health Crisis – The Research Whisperer https://t.co/AuvWpZ8RKt",YeeKeeKu
Melbourne,2021-03-08 21:50:53+00:00,1369042968636575744,@RowdyTrader I would like you to examine the commission report into mental health and how the Andrew’s government responded to the recommendations.,KayeStirland
Melbourne,2021-03-08 12:43:41+00:00,1368905260761186310,To anyone who is suffer mental health remember #DontBeSilent Overcome whatever it is your feeling and don't let it beat you you got this don't give up and don't give in to the voices inside your head come out strong and a winner ☠ #MentalHealthMatters,officialmatty00
Melbourne,2021-03-08 07:52:53+00:00,1368832075818618880,"25 years ago @jeff_kennett closed all the mental health &amp; addiction hospitals down, in Victoria we are seeing the results of those decisions now #thedrum",demon_dave
Melbourne,2021-03-08 07:48:55+00:00,1368831077222031360,"A person who has mental health and/or addiction issues must talk to people who have been there done that, they need peers, people who have lived the life too #TheDrum",demon_dave
Melbourne,2021-03-08 05:50:17+00:00,1368801224183582722,"I wad having mental health issues at work brought on by PTSD. I was self-medicating.
I was charged with serious misconduct and forced to resign.
That university celebrates RUOK Day and all the other inclusivity and diversity days.
The HR department is staffed by little Hitlers.",ethicalmartini
Melbourne,2021-03-08 03:23:55+00:00,1368764391345168389,@wjgr98 Do you really want to cry over someone who would have been horrible for your mental health long-term though?,chasejamesxxx
Melbourne,2021-03-07 22:26:15+00:00,1368689477921562624,"In my 30s:
- watching girls and women go through the same
- anger and exhaustion 
- trying to fight and recover mental health issues so I can focus on advocating for girls and women 

It's 2021 and we are fucking tired and angry
#IWD2021 #InternationalWomensDay",AureliePanko
Melbourne,2021-03-07 20:30:02+00:00,1368660232314884097,Death in custody: Indigenous inmate dies in cell at Long Bay Hospital https://t.co/4ELzN797Si #mentalhealth,psychwrite
Melbourne,2021-03-06 09:08:23+00:00,1368126300360089600,A public sector psychiatrist response to @RCMentalHealth #rcmentalhealth #PuttingItAllTogether #Mentalhealth https://t.co/HMMo67UUbC,psychwrite
Melbourne,2021-03-06 01:22:38+00:00,1368009091231064068,"@ABCTSGMSIG Hey peeps! I’m interested in the mental health, grief and identity development of LGBTQ people.
Snackwise, I think roasted chickpeas deserve more attention. 
I tag @drkarenlambert and @GraceMackiePhD",DrPatlamazoglou
Melbourne,2021-03-05 07:05:25+00:00,1367732966504337411,"Just a shout out to fellow social workers, &amp; other mental health clinicians: I know many of you are dealing with your own triggering, distress &amp; outrage, as well as trying to support your clients who are trauma survivors. 
Solidarity to you all. 

#MentalHealthMatters",JosieMcskimming
Melbourne,2021-03-05 05:27:01+00:00,1367708203736166402,@RealMsLove Attempting to use mental health issues likely caused by trauma resulting from sexual abuse as a way of trying to discredit the victim demonstrates the disgusting irony typically lost on people like Bolt.,Aaronsmith333
Melbourne,2021-03-05 04:09:10+00:00,1367688615174631427,"This 2021 edition also includes recommended habits and practices to build resilience for COVID-19.

FREE copies available for reviews. Please contact Christopher Shen christopher@christophershen.com.au
.
#psychology #resilience #mentaltoughness #mentalhealth #book #selfhelp 2/2 https://t.co/pWrcotvvYo",Christophershen
Melbourne,2021-03-05 00:44:00+00:00,1367636980096528384,"Our FREE mental health webinar: 23 MAR 2021

Guest speaker, Christina Shi: Child Psychotherapist, Mental Health Clinician &amp; Team Leader @AMES_Australia Humanitarian Settlement Program which provides settlement support for newly arrived refugees.

REGISTER:
https://t.co/diLNQFfBOd https://t.co/zdI732pgTn",FamilyLifeAU
Melbourne,2021-03-04 23:42:08+00:00,1367621411427164163,Is Christian Porter fit to be Attorney- General as he needs mental health support due to fear of an investigation! This type of mental illness does not fit exactly into a DSM psychiatric category. He is just shit scared of a full investigation. https://t.co/R8TAbK7UkP,MaureenAHuebel
Melbourne,2021-03-04 20:46:11+00:00,1367577134328246272,@schmutzie @missbritt Perimenopause has brought my anxiety back. I'm sure the pandemic hasn't helped any of us with our mental health. ❤️,sesameellis
Melbourne,2021-03-03 21:53:46+00:00,1367231751693639681,Vic to roll out local mental health hubs https://t.co/gwxB6KczUq via @walchanews,Dpeters1977
Melbourne,2021-03-03 13:23:16+00:00,1367103283106484226,@michellegrattan @rogerwilkinson3 We probably need an enquiry into Mental Health?,Mickholloways
Melbourne,2021-03-03 09:28:22+00:00,1367044168145543171,@LornaMoxham This may be a reason that they do not identify dedicated mental health units in undergraduate curriculum? A nurse can teach nursing but you need specialist quals to teach MHN units? MH becomes communication skills etc!! #mhncrisis,Mickholloways
Melbourne,2021-03-03 07:42:44+00:00,1367017583329730560,Fuck Christian Porter's mental health https://t.co/9XnnkVYPP7,DXPetti
Melbourne,2021-03-03 06:40:44+00:00,1367001979709386755,Sharing some home truths this morning on @LaTrioli re OVA dangers working in mental health service in 21st century Australia. This #RCMHV talks of workforce expansion - how about supporting and protecting the current cohort? @RCMentalHealth @RANZCP @JamesMerlinoMP https://t.co/zwlFeJgZLx,KillianAshe
Melbourne,2021-03-03 06:13:01+00:00,1366995007249346562,@BiancaMinnie4 @NikkiGemmell Agree so many women victims carry mental health and drug abuse as a result of their attack and then the system holds that against their credibility as well.,glennfdavies
Melbourne,2021-03-03 06:10:56+00:00,1366994482369994753,"Great to see the report acknowledge the work of the @firstpeoplesvic and share our resolve for a state-wide truth telling process. ✊🏾✊🏾

#RoyalCommission | #TruthTelling | #MentalHealth (2/2)",marcusbstewart
Melbourne,2021-03-03 05:04:15+00:00,1366977697956519938,"@mick_minion @PatsKarvelas His mental health matters, not the girls?! With his we must feel empathy. With hers she’s crazy and saying these thing bc she’s Gaga, right. How do LNP voters live with themselves? Oh yes, franking credits, forgives all",reinedelanuit05
Melbourne,2021-03-03 05:00:50+00:00,1366976842029170689,"@EddyJokovich @3wombats Probyn continually mentions the Mental health status of the woman, his roundabout way of casting doubt on her testimony. 
And ends with “if he is innocent he’s a shattered man” 
A woman took her own life after being shattered for 33 years..",kif_inti_mary
Melbourne,2021-03-03 04:21:52+00:00,1366967033447862272,"A reminder that rapists in power get to make speeches to the public and take leave for ‘mental health’ whereas victims and survivors hide, are forced into silence and suffer the emotional toll for life.",DivyaRinak
Melbourne,2021-03-03 02:49:48+00:00,1366943862602694657,@RCMentalHealth produces a final report and addressed issues raised in recent @ACMHN media release - data sources for workforce are flawed and we need a workforce plan and implementation. RN is not Specialist Mental Health Nurse,Mickholloways
Melbourne,2021-03-03 02:25:28+00:00,1366937740927848456,"@RCMentalHealth Glad the @RCMentalHealth has addressed the inaccurate data on workforce, the @ACMHN has highlighted this issue in recent media release. RN is not Specialist Mental Health nurse! #mhncrisis",Mickholloways
Melbourne,2021-03-03 00:34:16+00:00,1366909758049984515,"While #covid19 numbers in Australia are extremely low right now, with no known community spread, mental health issues such as depression and anxiety are creeping up. How are you? Can we help support you in any way? 💙 #BladderCancerAware #WeeAreFamily",bca_australia
Melbourne,2021-03-02 22:34:57+00:00,1366879729677004803,"Probyn drawing a very long bow of supposition about the victim of rape allegations, referring to lockdown and her mental health",kif_inti_mary
Melbourne,2021-03-02 09:18:28+00:00,1366679285994450947,"I am glad to hear that ambulances will be prioritised over police when responding to people with mental health issues. The amount of people  charged in the midst of a mental health episode, that requires in that moment care and compassion is staggering. 
 https://t.co/bDncQKoy2s",benwatson200
Melbourne,2021-03-02 09:13:58+00:00,1366678154958360577,What a busy night to join @Bill_oshea &amp; @dontattempt on @abcmelbourne #writsandcures. Looking forward to talking about my presidential year @yourLIV as well as aged care and mental health Royal Commissions &amp; more!,LIVPresident
Melbourne,2021-03-02 08:09:14+00:00,1366661865837748227,A momentous and moving day for #mentalhealth in #victoria with the @RCMentalHealth report being tabled in the unique and special joint sitting of the two houses of the Victorian Parliament. The work to enact these reforms starts now #notimetowaste #reform #youthmh #transformative https://t.co/FnrWR2b6dT,KerrynPennell
Melbourne,2021-03-02 04:09:56+00:00,1366601641604968449,@SteveHainesCMHN @ozprodcom Excellent news - we as Specialist Mental Health nurses all must agree!! #mhncrisis,Mickholloways
Melbourne,2021-03-02 03:39:57+00:00,1366594095393595397,It very moving to attend the Special Sitting for the Victorian Mental Health Royal Commission Report which includes extraordinary contributions from across Vic.I note the hard work of former &amp; current Mental Health Ministers @MartinFoleyMP &amp; @JamesMerlinoMP &amp; Commrs #springst https://t.co/m84Y7awZGi,NinaTaylorMP
Melbourne,2021-03-02 03:06:01+00:00,1366585557371875328,This month I’m swimming to raise funds for mental health resources for young people through ReachOut. If you’d like to support you can donate on my page. It’s good to have this focus as I go round &amp; round @BrightonBaths @LapsForLife_Aus #LapsForLife https://t.co/ncTl0JUEzt,KAOSVIC
Melbourne,2021-03-02 02:01:16+00:00,1366569262832185350,Such a monumental day for all of us who are involved in the #mentalhealth system here in Vic. Was an honour to virtually listen and watch the report be tabled in parliament today. Let's get on with it. https://t.co/mwZ0Q7c22T,heeno_face
Melbourne,2021-03-02 01:42:05+00:00,1366564435863560194,This is a pretty fine report. And it properly recognises the importance of secure housing in people‘s mental health and well-being!! Hooray! Props to my colleague @DamienPatterson who wrote a LOT of words saying HOUSING is important all the way through the process #RCMentalHealth https://t.co/vO3SNNshRB,ColvinKate
Melbourne,2021-03-02 01:40:33+00:00,1366564050029531137,The Royal Commission into Victoria's Mental Health system final report leading @ABCNews online; second story on the News Channel (behind the Aged Care Royal Commission Federal response) #RCMentalHealth https://t.co/6VFHPEfchG,tomwoodau
Melbourne,2021-03-02 00:22:32+00:00,1366544414131122177,"It’s out! Thank you Amelia &amp; Al for sharing your truth. Let’s build a strong, connected empathetic mental health system #RCMentalHealth https://t.co/lQA01O7QIO",gigi101072
Melbourne,2021-03-01 23:43:46+00:00,1366534658880512003,.@PatMcGorry says he believes the federal government is on the same wavelength regarding mental health and willing to co-invest.  Changes could shape a national blueprint.  #springst,KieranRooneyCM
Melbourne,2021-03-01 23:40:11+00:00,1366533755834261505,"State and Federal Governments, both Labor and Liberal, have underfunded and neglected the mental health system for so long. We’re glad it’s finally getting the attention it deserves. We haven’t seen what’s actually in the report yet but will keep you posted.",ellensandell
