City,Datetime,Tweet Id,Text,Username
Sunshine Coast,2021-03-09 05:25:46+00:00,1369157440344780807,"@bouta_nt Very bloody ordinary mate , Hope you said the same about Porter and Reynolds then with their crocodile tears and now mental health sick leave or is it just Labor Premiers you attack I’m curious",camo2572
Sunshine Coast,2021-03-08 11:59:59+00:00,1368894262562091014,@StaffieTyson Tyson you must say to yourself “I am loved” - here is Roger who has similar mental health issues https://t.co/XQBMQD4T4w,mary_warming
Sunshine Coast,2021-03-03 00:41:57+00:00,1366911690432909313,⬇️ 🙏 #Anxiety #Mentalhealth #MentalHealthAwareness https://t.co/YpfvXd2UqF,belt_go
Sunshine Coast,2021-02-26 00:58:19+00:00,1365103870121189376,"Having an invisible illness that people don’t see, doesn’t make you weak. It makes you stronger because you are showing them that you’re way stronger than they are. 

#Mentalhealth #MentalHealthAwareness",belt_go
Sunshine Coast,2021-02-14 12:24:16+00:00,1360927841005670408,"@baeoflight That's why I started it last year, took advantage of being by the beach when work shut up, doing my brain some good, exploring the island. I'm fit, healthy, strong and doing wonders for my mental health, even if I don't always look it.",The_Eccles
Sunshine Coast,2021-01-30 04:55:27+00:00,1355379071484534791,"Let's fly away. #MeMatePaints
#Mentalhealth https://t.co/RkD5T0FvyH",tatrooster
Sunshine Coast,2021-01-06 12:54:59+00:00,1346802443896594433,"@Rordan508 @Qldaah True. Like I am concerned about the mental health of my grandchildren. 

They will witness the death of the #GreatBarrierReef, regular 50ºC summers, failed agriculture, societal break down. 

Hopefully 1 more Democrat Senator in #Georgia will be the turning point.

#ClimateCrisis",MikeFitzAU
Sunshine Coast,2021-01-06 12:05:40+00:00,1346790030421889024,"@Qldaah Brad Hazzard claims the Test at the SCG (#SydneyCovidGenerator) is needed for mental health reasons and for wellbeing.

Yeah, the wellbeing of the 10,000 well-heeled who can afford tickets.✅

NOT the mental health of 5,300,000 Sydneysiders who will then be terrified of spread.❌",MikeFitzAU
Sunshine Coast,2020-12-31 10:59:33+00:00,1344599067301613569,"@charminglydaft Just gotta keep safe, out families safe. Hoping for some big changes in the way we work, and the way we get help with out mental health.
I've burnt though most of my savings dealing with centerlink, and doing care work for the family to keep busy.",The_Eccles
Sunshine Coast,2020-12-30 07:25:45+00:00,1344182874350772224,"@AnneMarie That is 💯% correct I  hear friends say it and I tell them the same . It's not being a failure, nobody is a failure just because they are struggling with mental health issues. I think its something we struggle with and if you recognise the issue and get help be proud of urself.",jacquikye11
Sunshine Coast,2020-12-21 09:13:19+00:00,1340948452667138050,How’s your Monday?!? This is livin! #holiday #livin #selfcare #Mentalhealth https://t.co/RXU2PqaQb4,cjruiz18
