City,Datetime,Tweet Id,Text,Username
Sunshine Coast,2021-03-03 22:58:24+00:00,1367248017879797762,"@TristanPaglian1 @1116sen @IncrediblyBozza Stop talking out of your bum , who do you think will take over now at the start of the season with a game plan to design 🤷‍♂️ do you want to derail Collingwood before a ball has been kicked, come mid season and if we are in the bottom 8 then yes not now that’s suicide",camo2572
Sunshine Coast,2021-02-25 21:09:09+00:00,1365046195807154176,"Last day at the Thompson Institute.  Thank you @usceduau for the opportunity to work here and develop with community an important initiative - the Alliance for Suicide Prevention, First Nations Suicide Prevention strategy.",teganschefe
Sunshine Coast,2021-02-19 00:57:00+00:00,1362566822155874305,#MyBankHorrorStory #debtdisaster  we cannot afford to have lending laws that do not protect all Australians. Going into debt beyond one’s ability to pay is -for some - a life limiting decision-with suicide an outcome for some when they realise they cannot pay the loan,Ponda51
Sunshine Coast,2021-02-13 23:12:23+00:00,1360728555080966147,"@MColvinMcKenzie @dodona777 At our kitchen table, we had a guest from the US. We discussed how our government’s treatment of children on Nauru had led some to attempt suicide.

From my wife’s handbag, Siri piped up, “If you are considering suicide, help is available from...”

We laughed. Nervously.",MikeFitzAU
Sunshine Coast,2021-02-11 00:41:30+00:00,1359663819945988100,Support @GQuattromani as he takes on the March On with Soldier On Challenge and raise funds to help prevent veteran suicide. https://t.co/px29jBRoqR,Ryssa_Fiu
Sunshine Coast,2021-01-24 00:02:48+00:00,1353131096620208128,"Changing ‘Australia day sits in the desirable category(or indulgent for the safe) what is jmportant ,indeed essential’ is making those Indigenous kids in the remote safe, suicide, abuse is rife- just ask those that live,and work in the field in the North of WA- to hard🥊",BillHayward13
Sunshine Coast,2021-01-18 07:30:05+00:00,1351069332827238405,@THE_Russell Don't want any CEOs getting depressed and concidering suicide,gazman143
Sunshine Coast,2021-01-12 08:00:33+00:00,1348902673219637249,"Keen 4 a run next week at Warba Wangarunya Rugby League Carnival in Rockhampton. This years memorial sides are 4 suicide awareness n 2 of my family members gone by suicide but never forgotten. 
We have included @LivingWorksAus training programs on the sleeves 🙌🏽 https://t.co/627T2Qsaem",teganschefe
Sunshine Coast,2020-12-15 10:39:45+00:00,1338795878383984641,@maxii30 Jake Paul is the biggest flog out someone should’ve knocked him years ago and his brother Logan can join in McGregor fight too and get arsed kicked especially after he u-tubed that suicide in the forest and made fun of it a few years back,camo2572
Sunshine Coast,2020-12-13 21:19:44+00:00,1338232157014114305,"Lastly, when farmers eat poison and do suicide no body from these questioner's speak. But many from these raising question on farmers pizza

#farmersprotest #farmbill2020 #kissanprotest",saabchutiyehain
Sunshine Coast,2020-12-03 21:11:05+00:00,1334606103812816897,"@cbpatsisp @NACCHOAustralia @AipaAust It was this day two years ago that I had the first community consultation  for suicide prevention. 2 years later we're reviewing n developing new projects, strengthening our collaborations and now working on providing a pathway for students to do research",teganschefe
Sunshine Coast,2020-11-17 21:10:44+00:00,1328807810218426369,Off to Gympie today for a community workshop. We've been asked by community to include Gympie in our suicide prevention program for Aboriginal and Torres Strait Islander peoples. Looking forward to working with Gympie community.,teganschefe
Sunshine Coast,2020-11-01 10:08:35+00:00,1322842969758552064,"@kalos_kat @TrashcanLeftist ...as Artaud said of van Gogh...
« suicide by society »",ofterror_
Sunshine Coast,2020-10-23 07:07:40+00:00,1319535947084484610,"https://t.co/DpaJabsIDl
Data released today by the Australian Bureau of Statistics (ABS) showing an increase in deaths by suicide is tragic and sends a resounding message that more needs to be done to support vulnerable people in our communities.",teganschefe
Sunshine Coast,2020-10-12 05:23:35+00:00,1315523490175311874,@macsween_prue @GladysB Do we need you to be on suicide watch Prue?,gazman143
