City,Datetime,Tweet Id,Text,Username
Townsville,2021-02-27 02:33:47+00:00,1365490282167291908,"I can’t stop thinking about this... she was so open about her depression, tourette’s, relationships and the pressure of fame...
I only love her more after this and wish her nothing but a happy future 💕 https://t.co/6HauYeRVEb",madisonjcullen
Townsville,2020-11-04 22:20:45+00:00,1324114387649523713,@shaunmicallef Imagine the depression levels after all this bravado! Huge cliff......,JChandler66
Townsville,2020-09-28 20:58:17+00:00,1310685283424169985,@SenatorWong THIS COUNTRY THAT I LOVE 💗 IS HEADING FOR A DEPRESSION NEXT YEAR. Morrison JOBS JOBS JOBS THERE ARE NO JOBS.,GraemePenny
Townsville,2020-08-27 21:17:07+00:00,1299093611951210496,"Sadly, we don’t always know the depths of someone’s depression until it is too late.
May I please get 2 friends or family members to copy and re-post? I am trying to demonstrate that someone is always listening.
#SuicideAwareness
Just two. Any two.
Say DONE.",lilsweetdreamk
Townsville,2020-06-18 05:13:25+00:00,1273483936056750081,Depression ? https://t.co/L3hmw8TfvX,wickedpeep
Townsville,2020-03-23 08:26:02+00:00,1242004668294631429,@vanOnselenP Shades of bread lines in the Great Depression,KateDaytropick1
Townsville,2020-03-12 08:41:22+00:00,1238022259941330944,This clip has cured my depression https://t.co/Gx8i4GHCyR,madisonjcullen
Townsville,2021-02-11 03:57:22+00:00,1359713110911717382,"Prayer ...
More powerful than anxiety. 

Blessya!
 #lovegod #lovepeople https://t.co/Z1ezrLgtNb",PastorWas
Townsville,2020-10-22 09:31:28+00:00,1319209746700775424,"So Bruce just scared the crap out of housemates mum who has a heart condition, so my anxieties have kicked in hard core, he didn't mean to scare her and she not used to big dogs, but I feel so bad 😢😢",slotheswench
Townsville,2020-07-22 11:18:39+00:00,1285897039151116289,We are currently receiving wet season levels of rain here in #Townsville in the middle of winter... It’s obviously not going to stick around for long but anxiety.. 😬,lukeacl
Townsville,2020-07-10 03:41:38+00:00,1281433371495653376,"@TheBeagleGirls Yes I do , mine suffers bad seperation anxiety and when I leave he tries to find me , I settles him for a while,",slotheswench
Townsville,2020-06-27 03:13:49+00:00,1276715330413268992,Just had a coffee for the first time in a year and I'm just wondering if it's socially acceptable to have an anxiety attack in the middle or a shopping centre,itsmaddyrowe
Townsville,2020-06-11 10:50:20+00:00,1271032008664215552,Let the record state that I will be going on 2 X Tinder escapades over the weekend because treat YOself (to social anxiety),itsmaddyrowe
Townsville,2020-03-23 21:07:44+00:00,1242196356606951425,"In times of great uncertainty, stress and anxiety you can only try to control your reaction to the situation you find yourself in. 

Breathing, meditation and stretching are all key practices FGS would recommend you… https://t.co/JVjuspSKEB",FitGreyStrong
Townsville,2020-03-18 09:57:24+00:00,1240215721109417989,@StirlHinchliffe @gracextwo @StevenJMiles please don’t forget about the school staff who are in at risk categories (+70yo 👴 pregnant 🤰 woman etc). They can’t social distance in the classroom. No comms on what they should do. UK ordered 🤰 to stay home. Lots of anxiety.,raroson
Townsville,2021-01-30 02:00:04+00:00,1355334934857097216,Australian christian conservatives are trotting out the “criminalisation of christianity” defence against Victoria’s conversion therapy ban. Perhaps then we just ask people like Lyle Shelton to take criminal responsibility for every LGBT youth bullied to suicide by such ideas.,twistieman
Townsville,2021-01-06 16:41:36+00:00,1346859471792869376,"Suicide figures are up. Could 2 followers please copy and re-post this tweet? We’re trying to demonstrate that someone is always listening. 

Call 1-800-273-8255 (USA Hotline)

Just two. Any two. Copy, not retweet. We are listening. We care about you.",ChrisGBarba
Townsville,2020-12-04 19:20:09+00:00,1334940574474854401,@jreichert Agreed. Europe is too close to this. America has been our voice for the last 65 years. We need them back. Don’t start me on BREXIT. Watching a country I love commit economic and political suicide is painful. Similar feelings to the 2016 American election.,paultravers007
Townsville,2020-11-28 12:02:51+00:00,1332656197824987136,I want to write a thread reflecting on the year of 2020. My first few days involved authoring and delivering a eulogy for a good friend that had died by suicide late in 2019. I remember distinctly feeling that 2020 couldn’t be worse *for me* 1/,MarcoParigi1
